"Achnanthes austriaca minor","Achnanthes helvetica","Amphinemura sulcicollis","Brachyptera risi","Chironomidae","Chloroperla tripunctata","CPOM","Ecclisopteryx guttulata","Eunotia exigua","Eunotia rhomboidea","Eunotia vanheurckii","FPOM","Fragilaria vaucheriae","Isoperla grammatica","Leuctra inermis","Limnius volckmari","Pinnularia subcapitata","Protonemura meyeri","Salmo trutta","Simuliidae","Siphonoperla torrentium","Tabellaria flocculosa","Tipulidae"
0,0,0.0337832638836,0.0337832638836,0.0337832638836,0,0,0.0337832638836,0,0,0,0,0,0,0.0337832638836,0.0337832638836,0,0.0337832638836,0,0.0337832638836,0,0,0.0337832638836
0,0,0.0783305485508,0.0783305485508,0.0783305485508,0,0,0.0783305485508,0,0,0,0,0,0,0.0783305485508,0.0783305485508,0,0.0783305485508,0,0.0783305485508,0,0,0.0783305485508
0,0,0,0,0,0,0,0,0,0,0,0,0,0.000439978330721664,0,0,0,0,0.000439978330721664,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00771098379151806,0,0,0,0
0,0,0,0,0,0.000163948014242716,0,0,0,0,0,0,0,0.000163948014242716,0,0,0,0,0.000163948014242716,0,0.000163948014242716,0,0
0,0,0,0,0,0.00135711910061408,0,0,0,0,0,0,0,0,0,0,0,0,0.00135711910061408,0,0.00135711910061408,0,0
0,0,2.25348771304495,2.25348771304495,0.88136817068295,0,0,2.25348771304495,0,0,0,0,0,1,2.25348771304495,2.25348771304495,0,2.25348771304495,0,0.734355459419,0,0,0.099100995574
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.070264997312,1.070264997312,1.070264997312,0,0,1.070264997312,0,0,0,0,0,0,1.070264997312,1.070264997312,0,1.070264997312,0,0,0,0,0
0,0,0.0899052661179,0.0899052661179,0.0899052661179,0,0,0.0899052661179,0,0,0,0,0,0,0.0899052661179,0.0899052661179,0,0.0899052661179,0,0,0,0,0
0,0,0.404364086788,0.404364086788,0.404364086788,0,0,0.404364086788,0,0,0,0,0,0,0.404364086788,0.404364086788,0,0.404364086788,0,0,0,0,0
0,0,2.25348771304495,2.25348771304495,0.88136817068295,0,0,2.25348771304495,0,0,0,0,0,0,2.25348771304495,2.25348771304495,0,2.25348771304495,0,0.734355459419,0,0,0.099100995574
0,0,0.0860881787136,0.0860881787136,0.0860881787136,0,0,0.0860881787136,0,0,0,0,0,0,0.0860881787136,0.0860881787136,0,0.0860881787136,0,0.0860881787136,0,0,0.0860881787136
0,0,0,0,0,0,0,0,0,0,0,0,0,0.048188109312,0,0,0,0,0.048188109312,0,0.048188109312,0,0
0,0,0,0,0,0.0215560002324543,0,0,0,0,0,0,0,0.0215560002324543,0,0,0,0,0.0215560002324543,0,0.0215560002324543,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00266745277849995,0,0,0,0
0,0,1.27050892769,1.27050892769,0,0,0,1.27050892769,0,0,0,0,0,0,1.27050892769,1.27050892769,0,1.27050892769,0,1.27050892769,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119203893703789,0,0,0,0,0.00119203893703789,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.000592084062229623,0,0,0,0,0.000592084062229623,0,0.000592084062229623,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.026718422367241,0,0,0,0,0,0,0.026718422367241,0,0
0,0,1.473730157034,1.473730157034,0,0,0,1.473730157034,0,0,0,0,0,0,1.473730157034,1.473730157034,0,1.473730157034,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000233872037362567,0,0,0,0
