"Achnanthes levanderi","Achnanthes minutissima","Adicella reducta","Amphinemura sulcicollis","Bacillaria paxillifer","Baetis muticus","Baetis rhodani","Brachyptera risi","Brachysira vitrea","Chironomidae","Chloroperla tripunctata","CPOM","Diatoma hyemalis","Diploneis ovalis","Drusus annulatus","Electrogena lateralis","Elmis aenea","Encyonema minutum","Eunotia pectinalis","FPOM","Fragilaria arcus","Fragilaria capucina","Fragilaria construens","Fragilaria ulna","Frustulia rhomboides","Glossosoma conformis","Gomphonema olivaceum","Gomphonema truncatum","Hydropsyche siltalai","Isoperla grammatica","Leuctra inermis","Meridion circulare constrictum","Navicula angusta","Navicula lanceolata","Nemoura erratica","Oligochaeta","Pisidium","Plectrocnemia conspersa","Potamophylax latipennis","Rhithrogena semicolorata","Sericostoma personatum","Serratella ignita","Silo pallipes","Simuliidae","Siphonoperla torrentium","Tanypodinae","Tipulidae"
0,0,0,0.0004223074773042,0,0,0,0.0004223074773042,0,0.0004223074773042,0,0,0,0,0.0004223074773042,0.0004223074773042,0.0004223074773042,0,0,0,0,0,0,0,0,0.0004223074773042,0,0,0.0004223074773042,0,0.0004223074773042,0,0,0,0.0004223074773042,0.0004223074773042,0.0004223074773042,0,0.0004223074773042,0.0004223074773042,0.0004223074773042,0,0.0004223074773042,0.0004223074773042,0,0,0.0004223074773042
0,0,0,0.01431293717409,0,0,0,0.01431293717409,0,0.01431293717409,0,0,0,0,0.01431293717409,0.01431293717409,0.01431293717409,0,0,0,0,0,0,0,0,0.01431293717409,0,0,0.01431293717409,0,0.01431293717409,0,0,0,0.01431293717409,0.01431293717409,0.01431293717409,0,0.01431293717409,0.01431293717409,0.01431293717409,0,0.01431293717409,0.01431293717409,0,0,0.01431293717409
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002175375285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0122931072,0.0122931072,0,0,0,0.0122931072,0,0.0122931072,0,0,0,0,0.0122931072,0.0122931072,0.0122931072,0,0,0,0,0,0,0,0,0.0122931072,0,0,0.0122931072,0,0.0122931072,0,0,0,0.0122931072,0.0122931072,0.0122931072,0,0.0122931072,0.0122931072,0.0122931072,0,0.0122931072,0.0122931072,0,0,0.0122931072
0,0,0,0,0,0,0,0,0,0,0.03140268494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03140268494,0.03140268494,0,0,0,0,0,0,0,0.03140268494,0.03140268494,0,0,0,0,0,0.03140268494,0.03140268494,0
0,0,0,0,0,0,0,0,0,0,0.072848589705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072848589705,0.072848589705,0,0,0,0,0,0,0,0.072848589705,0.072848589705,0,0,0,0,0,0.072848589705,0.072848589705,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.00246341120082,0,0,0,0.00246341120082,0,0,0,0,0,0,0.00246341120082,0.00246341120082,0.00246341120082,0,0,0,0,0,0,0,0,0.00246341120082,0,0,0.00246341120082,0,0.00246341120082,0,0,0,0.00246341120082,0.00246341120082,0.00246341120082,0,0.00246341120082,0.00246341120082,0.00246341120082,0,0.00246341120082,0.00246341120082,0,0,0
0,0,0.00075722529,0,0,0,0,0,0,0,0.00075722529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075722529,0.00075722529,0,0,0,0,0,0,0,0.00075722529,0.00075722529,0,0.00075722529,0.00075722529,0,0,0.00075722529,0.00075722529,0
0,0,0,0,0,0,0,0,0,0,0.001858117416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001858117416,0,0,0,0,0,0,0.001858117416,0.001858117416,0
0,0,0.196765688160014,0.211644681173835,0,0.175489307920069,0.175489307920069,0.211644681173835,0,0.204741783760415,0,0,0,0,0.211644681173835,0.211644681173835,0.211644681173835,0,0,0,0,0,0,0,0,0.211644681173835,0,0,0.211644681173835,1,0.211644681173835,0,0,0,0.211644681173835,0.059160932055435,0.211644681173835,1,0.211644681173835,0.211644681173835,0.21129082357378,0,0.211644681173835,0.21129082357378,0,0,0.204387926160361
0,0,0.01755593573553,0.01755593573553,0,0,0,0.01755593573553,0,0.01755593573553,0,0,0,0,0.01755593573553,0.01755593573553,0.01755593573553,0,0,0,0,0,0,0,0,0.01755593573553,0,0,0.01755593573553,0,0.01755593573553,0,0,0,0.01755593573553,0,0.01755593573553,0,0.01755593573553,0.01755593573553,0.01755593573553,0,0.01755593573553,0.01755593573553,0,0,0.01755593573553
0,0,0,0.01005489066602,0,0,0,0.01005489066602,0,0,0,0,0,0,0.01005489066602,0.01005489066602,0.01005489066602,0,0,0,0,0,0,0,0,0.01005489066602,0,0,0.01005489066602,0,0.01005489066602,0,0,0,0.01005489066602,0.01005489066602,0.01005489066602,0,0.01005489066602,0.01005489066602,0.01005489066602,0,0.01005489066602,0.01005489066602,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008034161643,0,0,0,0,0,0,0,0.008034161643,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00328980256,0.00328980256,0
0,0,0,0.000509231349298,0,0,0,0.000509231349298,0,0.000509231349298,0,0,0,0,0.000509231349298,0.000509231349298,0.000509231349298,0,0,0,0,0,0,0,0,0.000509231349298,0,0,0.000509231349298,0,0.000509231349298,0,0,0,0.000509231349298,0.000509231349298,0.000509231349298,0,0.000509231349298,0.000509231349298,0.000509231349298,0,0.000509231349298,0.000509231349298,0,0,0.000509231349298
0,0,0,0.000707715200109,0,0,0,0.000707715200109,0,0.000707715200109,0,0,0,0,0.000707715200109,0.000707715200109,0.000707715200109,0,0,0,0,0,0,0,0,0.000707715200109,0,0,0.000707715200109,0,0.000707715200109,0,0,0,0.000707715200109,0.000707715200109,0.000707715200109,0,0.000707715200109,0.000707715200109,0,0,0.000707715200109,0,0,0,0
