"Achnanthes","Achnanthes joursacense","Achnanthes lanceolata","Amphora ovalis","Amphora pediculus","Anabolia nervosa","Ancylus fluviatilis","Anguilla anguilla","Aphelocheirus aestivalis","Asellus aquaticus","Baetis niger","Bithynia leachii","Caenis rivulorum","Calopteryx splendens","Ceratopogonidae","Chironomidae","Cocconeis placentula","CPOM","Cymatopleura solea","Cymbella lanceolata","Diatoma vulgaris","Dicranota","Ecdyonurus dispar","Elmis aenea","Empididae","Encyonema minutum","Encyonema silesiacum","Ephemera danica","Erpobdella octoculata","FPOM","Fragilaria elliptica","Fragilaria leptostauron","Fragilaria ulna","Fragilaria vaucheriae","Gammarus pulex","Gobio gobio","Gomphonema olivaceum","Gyrinidae","Heptagenia sulphurea","Hydracarina","Hydropsyche contubernalis","Hydropsyche instabilis","Hydropsyche pellucidula","Hydropsyche siltalai","Hydroptila","Lepidostoma hirtum","Leuciscus leuciscus","Leuctra geniculata","Limnius volckmari","Melosira varians","Navicula capitatoradiata","Navicula cryptotenella","Navicula gregaria","Navicula lanceolata","Navicula menisculus","Navicula pseudofrugalis","Navicula tripunctata","Nitzschia amphibia","Nitzschia dissipata","Nitzschia perminuta","Oligochaeta","Oulimnius tuberculatus","Piscicola geometra","Pisidium","Plectrocnemia conspersa","Polycentropus kingi","Rhithrogena semicolorata","Rhoicosphenia abbreviata","Rutilus rutilus","Salmo trutta","Sericostoma personatum","Serratella ignita","Silo pallipes","Simuliidae","Squalius cephalus","Surirella ovalis","Tabellaria flocculosa","Tanypodinae","Theodoxus fluviatilis","Thymallus thymallus","Tipulidae"
0,0,0,0,0,0,56.392,0,0,56.392,0,56.392,56.392,0,56.392,56.392,0,0,0,0,0,56.392,56.392,56.392,56.392,0,0,56.392,56.392,0,0,0,0,0,56.392,56.392,0,56.392,56.392,0,56.392,56.392,56.392,56.392,56.392,56.392,56.392,56.392,56.392,0,0,0,0,0,0,0,0,0,0,0,56.392,56.392,0,56.392,0,0,56.392,0,0,0,56.392,0,56.392,56.392,56.392,0,0,0,56.392,0,56.392
0,0,0,0,0,0,79.524,0,0,79.524,0,79.524,79.524,0,79.524,79.524,0,0,0,0,0,79.524,79.524,79.524,79.524,0,0,79.524,79.524,0,0,0,0,0,79.524,79.524,0,79.524,79.524,0,79.524,79.524,79.524,79.524,79.524,79.524,79.524,79.524,79.524,0,0,0,0,0,0,0,0,0,0,0,79.524,79.524,0,79.524,0,0,79.524,0,0,0,79.524,0,79.524,79.524,79.524,0,0,0,79.524,0,79.524
0,0,0,0,0,0,418.8,0,0,418.8,0,418.8,418.8,0,418.8,418.8,0,0,0,0,0,418.8,418.8,418.8,418.8,0,0,418.8,418.8,0,0,0,0,0,418.8,418.8,0,418.8,418.8,0,418.8,418.8,418.8,418.8,418.8,418.8,418.8,418.8,418.8,0,0,0,0,0,0,0,0,0,0,0,418.8,418.8,0,418.8,0,0,418.8,0,0,0,418.8,0,418.8,418.8,418.8,0,0,0,418.8,0,418.8
0,0,0,0,0,28.5243,28.5243,0,0,28.5243,28.5243,28.5243,28.5243,0,28.5243,28.5243,0,0,0,0,0,0,28.5243,28.5243,28.5243,0,0,28.5243,28.5243,0,0,0,0,0,28.5243,28.5243,0,28.5243,28.5243,0,28.5243,28.5243,28.5243,28.5243,28.5243,28.5243,28.5243,28.5243,28.5243,0,0,0,0,0,0,0,0,0,0,0,28.5243,28.5243,0,28.5243,0,28.5243,28.5243,0,0,0,28.5243,0,28.5243,28.5243,28.5243,0,0,0,28.5243,0,28.5243
0,0,0,0,0,0.41912,0.41912,0,0,0.41912,0.41912,0.41912,0.41912,0,0.41912,0.41912,0,0,0,0,0,0,0.41912,0.41912,0.41912,0,0,0.41912,0.41912,0,0,0,0,0,0.41912,0.41912,0,0.41912,0.41912,0,0.41912,0.41912,0.41912,0.41912,0.41912,0.41912,0.41912,0.41912,0.41912,0,0,0,0,0,0,0,0,0,0,0,0.41912,0.41912,0,0.41912,0,0.41912,0.41912,0,0,0,0.41912,0,0.41912,0.41912,0.41912,0,0,0,0.41912,0,0.41912
0,0,0,0,0,0,0,0.0032635880432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032635880432,0,0,0,0,0,0,0,0,0,0,0.0032635880432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032635880432,0,0,0,0,0.0032635880432,0,0,0,0,0,0
0,0,0,0,0,0,0,0.047894081216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047894081216,0,0,0,0,0,0,0,0,0,0,0.047894081216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047894081216,0,0,0,0,0.047894081216,0,0,0,0,0.047894081216,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3906,0,0,0,0,0,0,0,0,0,0,0.3906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3906,0,0,0,0,0,0,0.3906,0,0,0,0,0.3906,0,0,0,0,0.3906,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1293635891856,0,0,0,0,0,0,0,0,0,0.1293635891856,0
0,0,0,0,0,0,0,0.0103096984656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103096984656,0,0,0,0,0,0,0.0103096984656,0,0,0,0,0,0,0,0,0,0,0.0103096984656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103096984656,0,0,0,0,0,0.0103096984656,0.0103096984656,0,0,0,0,0.0103096984656,0,0,0,0,0.0103096984656,0
0,0,0,0,0,0.018598666368,0,0.018598666368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018598666368,0,0,0,0,0,0.018598666368,0.018598666368,0,0,0,0,0.018598666368,0.018598666368,0.018598666368,0.018598666368,0,0,0.018598666368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018598666368,0.018598666368,0,0,0,0.018598666368,0,0,0,0,0.018598666368,0,0,0.018598666368,0,0.018598666368,0
0,0,0,0,0,0,0,0.0110629862784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110629862784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110629862784,0,0,0,0,0,0,0.0110629862784,0,0,0,0,0,0,0,0,0,0.0110629862784,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275467251584,0,0,0,0,0,0,0,0,0,0,0.0275467251584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275467251584,0.0275467251584,0,0,0.0275467251584,0.0275467251584,0,0,0,0,0.0275467251584,0,0,0,0,0.0275467251584,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007225056056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007225056056,0,0,0,0,0,0,0,0,0,0,0.007225056056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007225056056,0,0,0,0.007225056056,0,0,0,0,0.007225056056,0,0,0,0,0.007225056056,0
0,0,0,0,0,0.0772428538752,0,0.0772428538752,0,0,0,0,0,0.0772428538752,0,0,0,0,0,0,0,0.0772428538752,0,0,0.0772428538752,0,0,0,0.0772428538752,0,0,0,0,0,0.0772428538752,0.0772428538752,0,0.0772428538752,0,0.0772428538752,0.0772428538752,0.0772428538752,0.0772428538752,0.0772428538752,0,0,0.0772428538752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772428538752,0,0.0772428538752,0.0772428538752,0,0,0.0772428538752,0.0772428538752,0.0772428538752,0.0772428538752,0,0,0.0772428538752,0,0,0.0772428538752,0,0.0772428538752,0
0,0,0,0,0,3920.8,3920.8,0,0,3920.8,3920.8,3920.8,3920.8,0,3920.8,3920.8,0,0,0,0,0,0,3920.8,3920.8,3920.8,0,0,3920.8,3920.8,0,0,0,0,0,3920.8,3920.8,0,3920.8,3920.8,0,3920.8,3920.8,3920.8,3920.8,3920.8,3920.8,3920.8,3920.8,3920.8,0,0,0,0,0,0,0,0,0,0,0,3920.8,3920.8,0,3920.8,0,3920.8,3920.8,0,0,0,3920.8,0,3920.8,3920.8,3920.8,0,0,0,3920.8,0,3920.8
