"Achnanthes","Achnanthes delicatula","Achnanthes helvetica","Achnanthes lanceolata","Achnanthes minutissima","Agapetus fuscipes","Amphora pediculus","Ancylus fluviatilis","Asellus aquaticus","Athripsodes","Baetis rhodani","Barbatula barbatula","Caenis luctuosa","Calopteryx splendens","Chironomidae","Cocconeis disculus","Cocconeis placentula","CPOM","Elmis aenea","Ephemera danica","FPOM","Fragilaria capucina","Fragilaria fasciculata","Gammarus pulex","Gasterosteus aculeatus","Glossiphonia complanata","Goera pilosa","Gomphonema acuminatum","Gyrosigma acuminatum","Halesus radiatus","Heptagenia sulphurea","Hydracarina","Hydropsyche pellucidula","Hydropsyche siltalai","Ithytrichia","Lepidostoma hirtum","Limnephilidae","Limnephilus lunatus","Limnephilus rhombicus","Limnius volckmari","Meridion circulare","Mystacides longicornis","Navicula capitata","Navicula cincta","Navicula cryptocephala","Navicula radiosa","Nemoura avicularis","Nitzschia recta","Oligochaeta","Orectochilus villosus","Oulimnius tuberculatus","Physa fontinalis","Pinnularia","Pisidium","Platambus","Polycentropus flavomaculatus","Potamophylax cingulatus","Ptychoptera scutellaris","Salmo trutta","Sericostoma personatum","Sialis lutaria","Simuliidae","Sphaeromias","Staurosira elliptica","Tanypodinae","Tipulidae"
0,0,0,0,0,0.0029660308944,0,0.0029660308944,0.0029660308944,0.0029660308944,0,0,0.0029660308944,0,0.0029660308944,0,0,0,0.0029660308944,0.0029660308944,0,0,0,0.0029660308944,0.0029660308944,0.0029660308944,0.0029660308944,0,0,0,0.0029660308944,0,0.0029660308944,0.0029660308944,0.0029660308944,0.0029660308944,0.0029660308944,0.0029660308944,0.0029660308944,0.0029660308944,0,0,0,0,0,0,0.0029660308944,0,0.0029660308944,0.0029660308944,0.0029660308944,0,0,0.0029660308944,0.0029660308944,0.0029660308944,0.0029660308944,0.0029660308944,0,0.0029660308944,0.0029660308944,0.0029660308944,0.0029660308944,0,0,0.0029660308944
0,0,0,0,0,0.005874923354769,0,0.005874923354769,0.005874923354769,0.005874923354769,0,0,0.005874923354769,0,0.005874923354769,0,0,0,0.005874923354769,0.005874923354769,0,0,0,0.005874923354769,0.005874923354769,0.005874923354769,0.005874923354769,0,0,0,0.005874923354769,0,0.005874923354769,0.005874923354769,0.005874923354769,0.005874923354769,0.005874923354769,0.005874923354769,0.005874923354769,0.005874923354769,0,0,0,0,0,0,0.005874923354769,0,0.005874923354769,0.005874923354769,0.005874923354769,0,0,0.005874923354769,0.005874923354769,0.005874923354769,0.005874923354769,0.005874923354769,0,0.005874923354769,0.005874923354769,0.005874923354769,0.005874923354769,0,0,0.005874923354769
0,0,0,0,0,0.0438204352883,0,0.0438204352883,0.0438204352883,0.0438204352883,0,0,0.0438204352883,0,0.0438204352883,0,0,0,0.0438204352883,0.0438204352883,0,0,0,0.0438204352883,0.0438204352883,0.0438204352883,0.0438204352883,0,0,0,0.0438204352883,0,0.0438204352883,0.0438204352883,0.0438204352883,0.0438204352883,0.0438204352883,0.0438204352883,0.0438204352883,0.0438204352883,0,0,0,0,0,0,0.0438204352883,0,0.0438204352883,0.0438204352883,0.0438204352883,0,0,0.0438204352883,0.0438204352883,0.0438204352883,0.0438204352883,0.0438204352883,0,0.0438204352883,0.0438204352883,0.0438204352883,0.0438204352883,0,0,0.0438204352883
0,0,0,0,0,0.0175188421792,0,0.0175188421792,0.0175188421792,0.0175188421792,0,0,0.0175188421792,0,0.0175188421792,0,0,0,0.0175188421792,0.0175188421792,0,0,0,0.0175188421792,0.0175188421792,0.0175188421792,0.0175188421792,0,0,0,0.0175188421792,0,0.0175188421792,0.0175188421792,0.0175188421792,0.0175188421792,0.0175188421792,0.0175188421792,0.0175188421792,0.0175188421792,0,0,0,0,0,0,0.0175188421792,0,0.0175188421792,0.0175188421792,0.0175188421792,0,0,0.0175188421792,0.0175188421792,0.0175188421792,0.0175188421792,0.0175188421792,0,0.0175188421792,0.0175188421792,0.0175188421792,0.0175188421792,0,0,0.0175188421792
0,0,0,0,0,0.055839807864,0,0.055839807864,0.055839807864,0.055839807864,0,0,0.055839807864,0,0.055839807864,0,0,0,0.055839807864,0.055839807864,0,0,0,0.055839807864,0.055839807864,0.055839807864,0.055839807864,0,0,0,0.055839807864,0,0.055839807864,0.055839807864,0.055839807864,0.055839807864,0.055839807864,0.055839807864,0.055839807864,0.055839807864,0,0,0,0,0,0,0.055839807864,0,0.055839807864,0.055839807864,0.055839807864,0,0,0.055839807864,0.055839807864,0.055839807864,0.055839807864,0.055839807864,0,0.055839807864,0.055839807864,0.055839807864,0.055839807864,0,0,0.055839807864
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01632344262,0,0,0,0,0,0,0
0,0,0,0,0,0.0002406878862785,0,0.0002406878862785,0.0002406878862785,0.0002406878862785,0.0002406878862785,0,0.0002406878862785,0,0.0002406878862785,0,0,0,0.0002406878862785,0.0002406878862785,0,0,0,0.0002406878862785,0.0002406878862785,0.0002406878862785,0.0002406878862785,0,0,0.0002406878862785,0.0002406878862785,0,0.0002406878862785,0.0002406878862785,0.0002406878862785,0.0002406878862785,0.0002406878862785,0.0002406878862785,0.0002406878862785,0.0002406878862785,0,0.0002406878862785,0,0,0,0,0.0002406878862785,0,0.0002406878862785,0.0002406878862785,0.0002406878862785,0,0,0.0002406878862785,0.0002406878862785,0.0002406878862785,0.0002406878862785,0.0002406878862785,0,0.0002406878862785,0.0002406878862785,0.0002406878862785,0.0002406878862785,0,0,0.0002406878862785
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01682151404,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.03971583056,0,0,0,0,0,0,0,0,0,0,0,0,0.03971583056,0.03971583056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03971583056,0,0,0,0.03971583056,0,0.03971583056,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267251351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267251351,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.05310344802,0,0,0,0,0,0,0,0,0,0,0,0.05310344802,0.05310344802,0,0,0,0,0,0,0,0.05310344802,0.05310344802,0,0,0.05310344802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05310344802,0.05310344802,0.05310344802,0.05310344802,0,0,0,0,0,0.05310344802,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065727272793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011909166,0.00011909166,0,0,0.00011909166,0,0.00011909166,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.008411983145,0,0.008411983145,0,0,0,0,0,0,0,0,0,0.008411983145,0.008411983145,0.008411983145,0,0,0,0.008411983145,0,0.008411983145,0.008411983145,0.008411983145,0,0,0.008411983145,0.008411983145,0.008411983145,0,0,0.008411983145,0,0,0,0,0,0,0,0.008411983145,0,0,0,0,0.008411983145,0.008411983145,0.008411983145,0.008411983145,0.008411983145,0.008411983145,0.008411983145,0,0,0,0.008411983145,0
0,0,0,0,0,0.0412917251838,0,0.0412917251838,0.0412917251838,0.0412917251838,0.0412917251838,0,0.0412917251838,0,0.0412917251838,0,0,0,0.0412917251838,0.0412917251838,0,0,0,0.0412917251838,0.0412917251838,0.0412917251838,0.0412917251838,0,0,0.0412917251838,0.0412917251838,0,0.0412917251838,0.0412917251838,0.0412917251838,0.0412917251838,0.0412917251838,0,0,0.0412917251838,0,0.0412917251838,0,0,0,0,0.0412917251838,0,0.0412917251838,0.0412917251838,0.0412917251838,0,0,0.0412917251838,0.0412917251838,0.0412917251838,0.0412917251838,0.0412917251838,0,0.0412917251838,0.0412917251838,0.0412917251838,0.0412917251838,0,0,0.0412917251838
0,0,0,0,0,0.1616638284016,0,0.1616638284016,0.1616638284016,0.1616638284016,0.1616638284016,0,0.1616638284016,0,0.1616638284016,0,0,0,0.1616638284016,0.1616638284016,0,0,0,0.1616638284016,0.1616638284016,0.1616638284016,0.1616638284016,0,0,0.1616638284016,0.1616638284016,0,0.1616638284016,0.1616638284016,0.1616638284016,0.1616638284016,0.1616638284016,0,0,0.1616638284016,0,0.1616638284016,0,0,0,0,0.1616638284016,0,0.1616638284016,0.1616638284016,0.1616638284016,0,0,0.1616638284016,0.1616638284016,0.1616638284016,0.1616638284016,0.1616638284016,0,0.1616638284016,0.1616638284016,0.1616638284016,0.1616638284016,0,0,0.1616638284016
0,0,0,0,0,0.836839547444084,0,0.836839547444084,0.836839547444084,0.836839547444084,0.717491265854849,0,0.836839547444084,0,0.799341259341184,0,0,0,0.836839547444084,0.836839547444084,0,0,0,0.836839547444084,0.836839547444084,0.753221646514384,0.836839547444084,0,0,0.736636800751649,0.836839547444084,0,0.836839547444084,0.836839547444084,0.836839547444084,0.836839547444084,0.836839547444084,0.613926095622994,0.613926095622994,0.836839547444084,0,0.736636800751649,0,0,0,0,0.836839547444084,0,0.753221646514384,0.836839547444084,0.836839547444084,1,0,0.836839547444084,0.836839547444084,0.831700751344244,0.836839547444084,0.836839547444084,0,0.836839547444084,0.836839547444084,0.836839547444084,0.836533986243284,0,0,0.799646820541984
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01865064768,0,0.01865064768,0.01865064768,0,0,0,0,0,0.01865064768,0
0,0,0,0,0,0,0,0,0,0,0,0.136640320605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136640320605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136640320605,0,0,0.136640320605,0,0,0,0,0,0,0
0,0,0,0,0,0.836839547444084,0,0.836839547444084,0.836839547444084,0.836839547444084,0.717491265854849,0,0.836839547444084,0,0.799341259341184,0,0,0,0.836839547444084,0.836839547444084,0,0,0,0.836839547444084,0.836839547444084,0.753221646514384,0.836839547444084,0,0,0.736636800751649,0.836839547444084,0,0.836839547444084,0.836839547444084,0.836839547444084,0.836839547444084,0.836839547444084,0.613926095622994,0.613926095622994,0.836839547444084,0,0.736636800751649,0,0,0,0,0.836839547444084,0,0.753221646514384,0.836839547444084,0.836839547444084,1,0,0.836839547444084,0.836839547444084,0.831700751344244,0.836839547444084,0.836839547444084,0,0.836839547444084,0.836839547444084,0.836839547444084,0.836533986243284,0,0,0.799646820541984
0,0,0,0,0,0.0832825463816,0,0.0832825463816,0.0832825463816,0.0832825463816,0.0832825463816,0,0.0832825463816,0,0.0832825463816,0,0,0,0.0832825463816,0.0832825463816,0,0,0,0.0832825463816,0.0832825463816,0,0.0832825463816,0,0,0.0832825463816,0.0832825463816,0,0.0832825463816,0.0832825463816,0.0832825463816,0.0832825463816,0.0832825463816,0,0,0.0832825463816,0,0.0832825463816,0,0,0,0,0.0832825463816,0,0,0.0832825463816,0.0832825463816,0,0,0.0832825463816,0.0832825463816,0.0832825463816,0.0832825463816,0.0832825463816,0,0.0832825463816,0.0832825463816,0.0832825463816,0.0832825463816,0,0,0.0832825463816
