"Achnanthes","Achnanthes levanderi","Achnanthes minutissima","Amphinemura sulcicollis","Baetis muticus","Baetis rhodani","Barbatula barbatula","Brachysira vitrea","Caenis rivulorum","Chironomidae","Corixidae","CPOM","Diatoma hyemalis","Elmis aenea","Encyonema minutum","Encyonema silesiacum","Erpobdella octoculata","Esolus parallelepipedus","Eunotia incisa","Eunotia pectinalis","Eunotia rhomboidea","FPOM","Fragilaria capucina","Frustulia rhomboides","Gomphonema acuminatum","Gomphonema parvulum","Hydropsyche siltalai","Hydroptila","Isoperla grammatica","Leuctra hippopus","Leuctra nigra","Limnius volckmari","Navicula minima","Navicula seminulum","Nitzschia recta","Odontocerum albicorne","Oligochaeta","Oulimnius","Pinnularia microstauron","Plectrocnemia conspersa","Polycentropus flavomaculatus","Rhithrogena semicolorata","Rhyacophila dorsalis","Rhyacophila fasciata","Salmo trutta","Serratella ignita","Simuliidae","Siphonoperla torrentium","Synedra acus","Tabellaria flocculosa","Tanypodinae","Tipulidae"
0,0,0,0.0811934830784,0,0,0,0,0.0811934830784,0.0811934830784,0,0,0,0.0811934830784,0,0,0.0811934830784,0,0,0,0,0,0,0,0,0,0.0811934830784,0.0811934830784,0,0.0811934830784,0.0811934830784,0.0811934830784,0,0,0,0.0811934830784,0.0811934830784,0.0811934830784,0,0,0.0811934830784,0.0811934830784,0,0,0,0,0.0811934830784,0,0,0,0,0.0811934830784
0,0,0,0.000220296560022,0,0,0,0,0.000220296560022,0.000220296560022,0,0,0,0.000220296560022,0,0,0.000220296560022,0,0,0,0,0,0,0,0,0,0.000220296560022,0.000220296560022,0,0.000220296560022,0.000220296560022,0.000220296560022,0,0,0,0.000220296560022,0.000220296560022,0.000220296560022,0,0,0.000220296560022,0.000220296560022,0,0,0,0,0.000220296560022,0,0,0,0,0.000220296560022
0,0,0,0.00818391219915,0,0,0,0,0.00818391219915,0.00818391219915,0,0,0,0.00818391219915,0,0,0.00818391219915,0,0,0,0,0,0,0,0,0,0.00818391219915,0.00818391219915,0,0.00818391219915,0.00818391219915,0.00818391219915,0,0,0,0.00818391219915,0.00818391219915,0.00818391219915,0,0,0.00818391219915,0.00818391219915,0,0,0,0,0.00818391219915,0,0,0,0,0.00818391219915
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000485165391,0,0,0,0,0,0,0,0,0,0,0,0.000485165391,0,0,0,0.000485165391,0,0,0,0,0,0,0
0,0,0,0,0,0,0.000134900142,0,0,0,0,0,0,0,0,0,0.000134900142,0,0,0,0,0,0,0,0,0,0.000134900142,0,0.000134900142,0,0,0,0,0,0,0.000134900142,0,0,0,0.000134900142,0.000134900142,0,0.000134900142,0.000134900142,0.000134900142,0,0,0.000134900142,0,0,0.000134900142,0
0,0,0,0,0,0,0.023318333688,0,0,0,0,0,0,0,0,0,0.023318333688,0,0,0,0,0,0,0,0,0,0.023318333688,0,0.023318333688,0,0,0,0,0,0,0.023318333688,0,0,0,0.023318333688,0.023318333688,0,0.023318333688,0.023318333688,0.023318333688,0,0,0.023318333688,0,0,0.023318333688,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.003032842666777,0,0,0,0,0.003032842666777,0,0,0,0,0.003032842666777,0,0,0.003032842666777,0,0,0,0,0,0,0,0,0,0.003032842666777,0.003032842666777,0,0.003032842666777,0.003032842666777,0.003032842666777,0,0,0,0.003032842666777,0.003032842666777,0.003032842666777,0,0,0.003032842666777,0.003032842666777,0,0,0,0,0.003032842666777,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000175109191,0.000175109191,0,0,0,0.000175109191,0,0,0,0,0,0,0
0,0,0,0,0,0,0.003394872702,0,0,0,0.003394872702,0,0,0,0,0,0.003394872702,0,0,0,0,0,0,0,0,0,0.003394872702,0,0.003394872702,0,0,0,0,0,0,0,0,0,0,0.003394872702,0.003394872702,0,0.003394872702,0.003394872702,0.003394872702,0.003394872702,0,0.003394872702,0,0,0.003394872702,0
