"FW_name","species","biomass","units","bodymass","abundance","species_type","metabolic_type","taxonomic_level","movement_type","losses","efficiencies"
"Afon Gwy 2012","Achnanthes minutissima",0.00265132368,"dry g.m2",2.27e-10,11679840,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Gwy 2012","Amphinemura sulcicollis",0.000312394348,"dry g.m2",0.000156197174,2,"animal","ectotherm invertebrate","species","walking",5.94427913442938e-08,0.88459897241344
"Afon Gwy 2012","Baetis rhodani",0.001625323106,"dry g.m2",0.000147756646,11,"animal","ectotherm invertebrate","species","walking",3.14291271221141e-07,0.88459897241344
"Afon Gwy 2012","Brachysira brebissonii",0.00410987647866,"dry g.m2",4.02e-10,10223573.33,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Gwy 2012","Brachysira vitrea",0.01801627989491,"dry g.m2",4.73e-10,38089386.67,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Gwy 2012","Chironomidae",0.001603050255,"dry g.m2",1.381939875e-05,116,"animal","ectotherm invertebrate","subfamily","walking",6.16263621403528e-07,0.88459897241344
"Afon Gwy 2012","Chloroperla tripunctata",0.000987417318,"dry g.m2",0.000987417318,1,"animal","ectotherm invertebrate","species","walking",1.10066909535287e-07,0.88459897241344
"Afon Gwy 2012","CPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"Afon Gwy 2012","Elmis aenea",0.000183062882,"dry g.m2",0.000183062882,1,"animal","ectotherm invertebrate","species","walking",3.32665265092267e-08,0.88459897241344
"Afon Gwy 2012","Eunotia exigua",0.0628357130826,"dry g.m2",4.78e-10,131455466.7,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Gwy 2012","Eunotia incisa",0.002727534933444,"dry g.m2",3.32e-10,8215466.667,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Gwy 2012","Eunotia vanheurckii intermedia",0.0028330672,"dry g.m2",4.1e-10,6909920,"plant","plant","infraspecies","sessile",NA,0.487432933611077
"Afon Gwy 2012","FPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"Afon Gwy 2012","Fragilaria vaucheriae",0.001458237440088,"dry g.m2",2.64e-10,5523626.667,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Gwy 2012","Frustulia rhomboides",0.001592162400159,"dry g.m2",4.77e-10,3337866.667,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Gwy 2012","Hydracarina",9.6287818e-05,"dry g.m2",9.6287818e-05,1,"animal","ectotherm invertebrate","genus","walking",2.10812763924269e-08,0.88459897241344
"Afon Gwy 2012","Isoperla grammatica",0.011724990158,"dry g.m2",0.001674998594,7,"animal","ectotherm invertebrate","species","walking",1.12126830073716e-06,0.88459897241344
"Afon Gwy 2012","Leuctra inermis",0.002781134504,"dry g.m2",0.000347641813,8,"animal","ectotherm invertebrate","species","walking",4.19618820360694e-07,0.88459897241344
"Afon Gwy 2012","Lype phaeopa",0.000144500129,"dry g.m2",0.000144500129,1,"animal","ectotherm invertebrate","species","walking",2.81233915812581e-08,0.88459897241344
"Afon Gwy 2012","Oulimnius",0.000150711168,"dry g.m2",0.000150711168,1,"animal","ectotherm invertebrate","genus","walking",2.89764052234079e-08,0.88459897241344
"Afon Gwy 2012","Pinnularia subcapitata",0.02425640106472,"dry g.m2",5.84e-09,4153493.333,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Gwy 2012","Salmo trutta",0.21885777776,"dry g.m2",5.471444444,0.04,"animal","ectotherm vertebrate","species","swimming",0.0306840696877161,0.88459897241344
"Afon Gwy 2012","Simuliidae",0.00010117191,"dry g.m2",3.372397e-05,3,"animal","ectotherm invertebrate","family","walking",3.00274861162205e-08,0.88459897241344
"Afon Gwy 2012","Siphonoperla torrentium",0.016705318124,"dry g.m2",0.000379666321,44,"animal","ectotherm invertebrate","species","walking",2.45691083840613e-06,0.88459897241344
"Afon Gwy 2012","Surirella linearis",0.0254383360077,"dry g.m2",2.31e-09,11012266.67,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Gwy 2012","Synedra minuscula",0.2161133098796,"dry g.m2",3.88e-09,55699306.67,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Gwy 2012","Tabellaria flocculosa",0.318192943513,"dry g.m2",1.39e-09,228915786.7,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Gwy 2012","Tanypodinae",2.4150127e-05,"dry g.m2",2.4150127e-05,1,"animal","ectotherm invertebrate","subfamily","walking",7.89648899816281e-09,0.88459897241344
"Afon Gwy 2012","Tinodes",0.000813753682,"dry g.m2",0.000406876841,2,"animal","ectotherm invertebrate","genus","walking",1.1730322498737e-07,0.88459897241344
"Afon Gwy 2012","Tipulidae",0.002396471136,"dry g.m2",0.001198235568,2,"animal","ectotherm invertebrate","family","walking",2.52555138854573e-07,0.88459897241344
