"FW_name","species","biomass","units","bodymass","abundance","species_type","metabolic_type","taxonomic_level","movement_type","losses","efficiencies"
"Afon Hafren 2005","Achnanthes austriaca minor",0.0337832638836,"dry g.m2",2.31e-10,146247895.6,"plant","plant","infraspecies","sessile",NA,0.487432933611077
"Afon Hafren 2005","Achnanthes helvetica",0.0783305485508,"dry g.m2",1.82e-10,430387629.4,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Hafren 2005","Amphinemura sulcicollis",0.000439978330721664,"dry g.m2",0.000247487811,1.777777778,"animal","ectotherm invertebrate","species","walking",7.32591589861329e-08,0.88459897241344
"Afon Hafren 2005","Brachyptera risi",0.00771098379151806,"dry g.m2",0.001445809461,5.333333333,"animal","ectotherm invertebrate","species","walking",7.69553520560592e-07,0.88459897241344
"Afon Hafren 2005","Chironomidae",0.000163948014242716,"dry g.m2",9.2220758e-05,1.777777778,"animal","ectotherm invertebrate","family","walking",3.63468759364405e-08,0.88459897241344
"Afon Hafren 2005","Chloroperla tripunctata",0.00135711910061408,"dry g.m2",0.000763379494,1.777777778,"animal","ectotherm invertebrate","species","walking",1.62998822891657e-07,0.88459897241344
"Afon Hafren 2005","CPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"Afon Hafren 2005","Ecclisopteryx guttulata",0.00652319407725984,"dry g.m2",0.003669296668,1.777777778,"animal","ectotherm invertebrate","species","walking",4.96926923286053e-07,0.88459897241344
"Afon Hafren 2005","Eunotia exigua",1.070264997312,"dry g.m2",3.36e-10,3185312492,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Hafren 2005","Eunotia rhomboidea",0.0899052661179,"dry g.m2",3.07e-10,292851029.7,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Hafren 2005","Eunotia vanheurckii",0.404364086788,"dry g.m2",7.1e-10,569526882.8,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Hafren 2005","FPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"Afon Hafren 2005","Fragilaria vaucheriae",0.0860881787136,"dry g.m2",8.88e-10,96946147.2,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Hafren 2005","Isoperla grammatica",0.048188109312,"dry g.m2",0.000752939208,64,"animal","ectotherm invertebrate","species","walking",5.81086464418098e-06,0.88459897241344
"Afon Hafren 2005","Leuctra inermis",0.0215560002324543,"dry g.m2",0.000391137101,55.11111111,"animal","ectotherm invertebrate","species","walking",3.14306970864149e-06,0.88459897241344
"Afon Hafren 2005","Limnius volckmari",0.00266745277849995,"dry g.m2",0.000500147396,5.333333333,"animal","ectotherm invertebrate","species","walking",3.62175913008644e-07,0.88459897241344
"Afon Hafren 2005","Pinnularia subcapitata",1.27050892769,"dry g.m2",1.78e-08,71376906.05,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Hafren 2005","Protonemura meyeri",0.00119203893703789,"dry g.m2",0.000670521902,1.777777778,"animal","ectotherm invertebrate","species","walking",1.48659246745259e-07,0.88459897241344
"Afon Hafren 2005","Salmo trutta",0.184,"dry g.m2",1.15,0.16,"animal","ectotherm vertebrate","species","swimming",0.00406737619947265,0.88459897241344
"Afon Hafren 2005","Simuliidae",0.000592084062229623,"dry g.m2",6.6609457e-05,8.888888889,"animal","ectotherm invertebrate","family","walking",1.44251125038268e-07,0.88459897241344
"Afon Hafren 2005","Siphonoperla torrentium",0.026718422367241,"dry g.m2",0.000683141481,39.11111111,"animal","ectotherm invertebrate","species","walking",3.31408747660068e-06,0.88459897241344
"Afon Hafren 2005","Tabellaria flocculosa",1.473730157034,"dry g.m2",9.54e-10,1544790521,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Hafren 2005","Tipulidae",0.000233872037362567,"dry g.m2",0.000131553021,1.777777778,"animal","ectotherm invertebrate","family","walking",4.67735471613178e-08,0.88459897241344
