"FW_name","species","biomass","units","bodymass","abundance","species_type","metabolic_type","taxonomic_level","movement_type","losses","efficiencies"
"Lone Oak","Chironomidae",0.0106458997584,"dry g.m2",0.000116731357,91.2,"animal","ectotherm invertebrate","family","walking",2.2042418048015e-06,0.88459897241344
"Lone Oak","CPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"Lone Oak","Eunotia exigua",0.00655509181752,"dry g.m2",3.88e-10,16894566.54,"plant","plant","species","sessile",NA,0.487432933611077
"Lone Oak","Eunotia incisa",0.00118098603495,"dry g.m2",1.5e-09,787324.0233,"plant","plant","species","sessile",NA,0.487432933611077
"Lone Oak","Eunotia rhomboidea",0.001829662267917,"dry g.m2",3.09e-10,5921237.113,"plant","plant","species","sessile",NA,0.487432933611077
"Lone Oak","Eunotia vanheurckii",0.00221301281124,"dry g.m2",7.92e-10,2794208.095,"plant","plant","species","sessile",NA,0.487432933611077
"Lone Oak","FPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"Lone Oak","Leuctra nigra",0.0074434792944,"dry g.m2",0.000273657327,27.2,"animal","ectotherm invertebrate","species","walking",1.20378015214072e-06,0.88459897241344
"Lone Oak","Nemoura cinerea",0.0824485954432,"dry g.m2",0.001051640248,78.4,"animal","ectotherm invertebrate","species","walking",9.02408175236924e-06,0.88459897241344
"Lone Oak","Nemurella pictetii",0.01275175692,"dry g.m2",0.000318793923,40,"animal","ectotherm invertebrate","species","walking",1.9729376593949e-06,0.88459897241344
"Lone Oak","Pisidium",0.000171861216,"dry g.m2",5.370663e-05,3.2,"animal","ectotherm invertebrate","genus","walking",4.45688097381302e-08,0.88459897241344
"Lone Oak","Plectrocnemia conspersa",0.1343785822784,"dry g.m2",0.001953177068,68.8,"animal","ectotherm invertebrate","species","walking",1.22906891039782e-05,0.88459897241344
"Lone Oak","Simuliidae",0.0104801816576,"dry g.m2",0.000225865984,46.4,"animal","ectotherm invertebrate","family","walking",1.79189813315626e-06,0.88459897241344
"Lone Oak","Siphonoperla torrentium",0.0034178665968,"dry g.m2",0.000712055541,4.8,"animal","ectotherm invertebrate","species","walking",4.18877788983445e-07,0.88459897241344
"Lone Oak","Tabellaria",0.002187193575,"dry g.m2",1e-09,2187193.575,"plant","plant","genus","sessile",NA,0.487432933611077
"Lone Oak","Tabellaria flocculosa",0.004121764156384,"dry g.m2",9.28e-10,4441556.203,"plant","plant","species","sessile",NA,0.487432933611077
"Lone Oak","Tanypodinae",0.04605173464,"dry g.m2",0.000351004075,131.2,"animal","ectotherm invertebrate","subfamily","walking",6.92893862899315e-06,0.88459897241344
"Lone Oak","Tipulidae",0.0022911101296,"dry g.m2",0.001431943831,1.6,"animal","ectotherm invertebrate","family","walking",2.29291881292217e-07,0.88459897241344
