"FW_name","species","biomass","units","bodymass","abundance","species_type","metabolic_type","taxonomic_level","movement_type","losses","efficiencies"
"River Loddon","Achnanthes lanceolata",0.062837651196,"dry g.m2",9e-10,69819612.44,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Achnanthes minutissima",0.0962103177924,"dry g.m2",2.92e-10,329487389.7,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Acroloxus lacustris",0.00776001379,"dry g.m2",0.000776001379,10,"animal","ectotherm invertebrate","species","walking",9.27606145481746e-07,0.88459897241344
"River Loddon","Amphora pediculus",4.026182804469e-05,"dry g.m2",5.71e-12,7051108.239,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Ancylus fluviatilis",0.47443364176,"dry g.m2",0.003649489552,130,"animal","ectotherm invertebrate","species","walking",3.61984027684226e-05,0.88459897241344
"River Loddon","Antocha",0.00118108789,"dry g.m2",0.000118108789,10,"animal","ectotherm invertebrate","genus","walking",2.43714641576052e-07,0.88459897241344
"River Loddon","Asellus aquaticus",0.00244436505,"dry g.m2",1.685769e-05,145,"animal","ectotherm invertebrate","species","walking",8.87065878746109e-07,0.88459897241344
"River Loddon","Athripsodes",0.057541811755,"dry g.m2",0.000195056989,295,"animal","ectotherm invertebrate","genus","walking",1.02659215101566e-05,0.88459897241344
"River Loddon","Baetis",0.002177047985,"dry g.m2",6.2201371e-05,35,"animal","ectotherm invertebrate","genus","walking",5.41037367312416e-07,0.88459897241344
"River Loddon","Baetis rhodani",0.00550946052,"dry g.m2",9.1824342e-05,60,"animal","ectotherm invertebrate","species","walking",1.22296084673559e-06,0.88459897241344
"River Loddon","Baetis scambus",0.00196880524,"dry g.m2",4.9220131e-05,40,"animal","ectotherm invertebrate","species","walking",5.23651801337868e-07,0.88459897241344
"River Loddon","Baetis vernus",0.02900553316,"dry g.m2",9.3566236e-05,310,"animal","ectotherm invertebrate","species","walking",6.40350191678528e-06,0.88459897241344
"River Loddon","Barbatula barbatula",0.357106729389868,"dry g.m2",2.18921952,0.163120567,"animal","ectotherm vertebrate","species","swimming",0.00278065739656545,0.88459897241344
"River Loddon","Caenis luctuosa",0.00027952324,"dry g.m2",2.7952324e-05,10,"animal","ectotherm invertebrate","species","walking",8.76027967796944e-08,0.88459897241344
"River Loddon","Caenis rivulorum",0.00017215521,"dry g.m2",3.4431042e-05,5,"animal","ectotherm invertebrate","species","walking",5.0788556484161e-08,0.88459897241344
"River Loddon","Calopteryx splendens",0.06146631072,"dry g.m2",0.001365918016,45,"animal","ectotherm invertebrate","species","walking",6.23627489390774e-06,0.88459897241344
"River Loddon","Calopteryx virgo",0.0393517759,"dry g.m2",0.001574071036,25,"animal","ectotherm invertebrate","species","walking",3.83167379195222e-06,0.88459897241344
"River Loddon","Chironomidae",0.04083476767,"dry g.m2",1.05244246572165e-05,3880,"animal","ectotherm invertebrate","family","walking",1.6988452130751e-05,0.88459897241344
"River Loddon","Cocconeis placentula",0.4077570925013,"dry g.m2",8.53e-09,47802707.21,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Cottus gobio",0.534087324032009,"dry g.m2",1.060652292,0.503546099,"animal","ectotherm vertebrate","species","swimming",0.00022927722656217,0.88459897241344
"River Loddon","CPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"River Loddon","Dendrocoelum lacteum",0.012903483585,"dry g.m2",0.000860232239,15,"animal","ectotherm invertebrate","species","walking",1.49702710466842e-06,0.88459897241344
"River Loddon","Diatoma vulgaris",0.044966070639,"dry g.m2",6.3e-10,71374715.3,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Elmis aenea",0.01600413892,"dry g.m2",7.2746086e-05,220,"animal","ectotherm invertebrate","species","walking",3.80074529443505e-06,0.88459897241344
"River Loddon","Encyonema silesiacum",1.061813946624e-05,"dry g.m2",2.56e-11,414771.0729,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Ephemera danica",0.086640302,"dry g.m2",0.001083003775,80,"animal","ectotherm invertebrate","species","walking",9.40239545417171e-06,0.88459897241344
"River Loddon","Eunotia bilunaris",0.0057523086294,"dry g.m2",2.13e-09,2700614.38,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","FPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"River Loddon","Fragilaria capucina",0.162540714243,"dry g.m2",1.41e-09,115277102.3,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Fragilaria fasciculata",0.0098270062548,"dry g.m2",4.97e-09,1977264.84,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Fragilaria ulna",12.1216024747,"dry g.m2",9.26e-08,130902834.5,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Gammarus pulex",8.26514439888,"dry g.m2",0.001012885343,8160,"animal","ectotherm invertebrate","species","swimming",0.000914532638457257,0.88459897241344
"River Loddon","Gobio gobio",0.16554255128775,"dry g.m2",5.835375,0.028368794,"animal","ectotherm vertebrate","species","swimming",0.000384665198329581,0.88459897241344
"River Loddon","Goera pilosa",0.07253173676,"dry g.m2",0.007253173676,10,"animal","ectotherm invertebrate","species","walking",4.53457074288176e-06,0.88459897241344
"River Loddon","Gomphonema olivaceum",0.0251543984224,"dry g.m2",1.04e-10,241869215.6,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Gomphonema parvulum",0.00865641385996,"dry g.m2",6.13e-11,141213929.2,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Hydracarina",0.00278257641,"dry g.m2",9.2752547e-05,30,"animal","ectotherm invertebrate","genus","walking",6.15862628613058e-07,0.88459897241344
"River Loddon","Hydropsyche pellucidula",0.0217768376,"dry g.m2",0.00217768376,10,"animal","ectotherm invertebrate","species","walking",1.92991225527844e-06,0.88459897241344
"River Loddon","Hydropsyche siltalai",0.23994394848,"dry g.m2",0.001999532904,120,"animal","ectotherm invertebrate","species","walking",2.17972531179676e-05,0.88459897241344
"River Loddon","Hydroptila",0.00131471274,"dry g.m2",2.1911879e-05,60,"animal","ectotherm invertebrate","genus","walking",4.42175859307976e-07,0.88459897241344
"River Loddon","Ithytrichia",0.00048107292,"dry g.m2",3.2071528e-05,15,"animal","ectotherm invertebrate","genus","walking",1.44876337685107e-07,0.88459897241344
"River Loddon","Lampetra planeri",0.009382979277,"dry g.m2",1.323,0.007092199,"animal","ectotherm vertebrate","species","swimming",0.000201174447718498,0.88459897241344
"River Loddon","Limnephilus lunatus",0.00227229759,"dry g.m2",0.000227229759,10,"animal","ectotherm invertebrate","species","walking",3.87839059281314e-07,0.88459897241344
"River Loddon","Limnius volckmari",0.06042717532,"dry g.m2",4.3472788e-05,1390,"animal","ectotherm invertebrate","species","walking",1.66613607452525e-05,0.88459897241344
"River Loddon","Lype reducta",0.0065270733,"dry g.m2",0.00043513822,15,"animal","ectotherm invertebrate","species","walking",9.22736797715032e-07,0.88459897241344
"River Loddon","Navicula atomus",0.001883525957705,"dry g.m2",2.59e-10,7272300.995,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Navicula cryptotenella",0.00627898138978,"dry g.m2",1.21e-09,5189240.818,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Navicula lanceolata",0.00391958663985,"dry g.m2",3.15e-09,1244313.219,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Navicula minima",0.0033144727966,"dry g.m2",2.9e-10,11429216.54,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Navicula pupula",0.055774576703,"dry g.m2",1.22e-08,4571686.615,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Navicula radiosa",0.03061010518002,"dry g.m2",7.38e-09,4147710.729,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Navicula seminulum",0.00102224592228,"dry g.m2",5.17e-10,1977264.84,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Navicula tripunctata",0.02519989948476,"dry g.m2",6.93e-09,3636349.132,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Nitzschia dissipata",0.024371658174,"dry g.m2",1.74e-10,140067001,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Nitzschia palea",0.01085690267732,"dry g.m2",1.81e-10,59982887.72,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Nitzschia recta",0.001130995488766,"dry g.m2",2.86e-10,3954529.681,"plant","plant","species","sessile",NA,0.487432933611077
"River Loddon","Oligochaeta",0.16245039764,"dry g.m2",6.7406804e-05,2410,"animal","ectotherm invertebrate","class","walking",3.94419104221001e-05,0.88459897241344
"River Loddon","Oulimnius troglodytes",0.01022019147,"dry g.m2",0.000113557683,90,"animal","ectotherm invertebrate","species","walking",2.13308168962881e-06,0.88459897241344
"River Loddon","Oulimnius tuberculatus",0.004173846975,"dry g.m2",0.000278256465,15,"animal","ectotherm invertebrate","species","walking",6.71751497591695e-07,0.88459897241344
"River Loddon","Phoxinus phoxinus",0.497483536847775,"dry g.m2",0.3896954371,1.276595745,"animal","ectotherm vertebrate","species","swimming",2.81552281790802e-05,0.88459897241344
"River Loddon","Physa fontinalis",0.01376755574,"dry g.m2",0.002753511148,5,"animal","ectotherm invertebrate","species","walking",1.1398584085222e-06,0.88459897241344
"River Loddon","Pisidium",0.037979388,"dry g.m2",7.9123725e-05,480,"animal","ectotherm invertebrate","genus","walking",8.80238295936209e-06,0.88459897241344
"River Loddon","Potamopyrgus antipodarum",0.67073061627,"dry g.m2",0.000677505673,990,"animal","ectotherm invertebrate","species","walking",8.33958858804996e-05,0.88459897241344
"River Loddon","Rhyacophila dorsalis",0.00227875968,"dry g.m2",0.000227875968,10,"animal","ectotherm invertebrate","species","walking",3.88621837593218e-07,0.88459897241344
"River Loddon","Salmo trutta",0.6692836896834,"dry g.m2",18.8738,0.035460993,"animal","ectotherm vertebrate","species","swimming",0.000442592663991555,0.88459897241344
"River Loddon","Sericostoma personatum",0.01116325981,"dry g.m2",5.8753999e-05,190,"animal","ectotherm invertebrate","species","walking",2.82053455355895e-06,0.88459897241344
"River Loddon","Serratella ignita",0.10604248979,"dry g.m2",7.6289561e-05,1390,"animal","ectotherm invertebrate","species","walking",2.48385522996266e-05,0.88459897241344
"River Loddon","Silo nigricornis",0.01506968695,"dry g.m2",0.00301393739,5,"animal","ectotherm invertebrate","species","walking",1.21539250026937e-06,0.88459897241344
"River Loddon","Simuliidae",0.00961485668,"dry g.m2",1.3447352e-05,715,"animal","ectotherm invertebrate","family","walking",3.72562721979079e-06,0.88459897241344
"River Loddon","Sphaeromias",0.00252985953,"dry g.m2",7.666241e-06,330,"animal","ectotherm invertebrate","genus","walking",1.15379523011809e-06,0.88459897241344
"River Loddon","Squalius cephalus",0.0382510660866,"dry g.m2",5.3934,0.007092199,"animal","ectotherm vertebrate","species","swimming",0.000181872292670224,0.88459897241344
"River Loddon","Tanypodinae",0.00409212972,"dry g.m2",2.9229498e-05,140,"animal","ectotherm invertebrate","subfamily","walking",1.26596717786358e-06,0.88459897241344
