"FW_name","species","species_type","metabolic_type","functional_group","taxonomic_level","movement_type","bodymass","abundance","biomass","losses","efficiencies"
"IS9","Achnanthes","plant","plant","plant","genus","sessile",1.068e-09,42789938.64,0.04569965446752,NA,0.534109079083809
"IS9","Amphora","plant","plant","plant","genus","sessile",1.64666666666667e-10,18012608.5390333,0.00296607620609415,NA,0.534109079083809
"IS9","Asterionella","plant","plant","plant","genus","sessile",1.016e-08,1273051.049,0.01293419865784,NA,0.534109079083809
"IS9","Bacteria","detritus","heterotrophic bacteria","nonfeeding",NA,"sessile",NA,NA,NA,NA,0.152858971180092
"IS9","Chaetocladius sp.","animal","ectotherm invertebrate","herbivore","genus","walking",3.9978768e-05,4,0.000159915072,9.91919907886497e-08,0.902353149212339
"IS9","Cocconeis","plant","plant","plant","genus","sessile",2.686e-09,136744051.94,0.36729452351084,NA,0.534109079083809
"IS9","CPOM","detritus","detritus","detritus",NA,"sessile",NA,NA,NA,NA,0.152858971180092
"IS9","Cyclotella","plant","plant","plant","genus","sessile",4.2e-09,948514.6481,0.00398376152202,NA,0.534109079083809
"IS9","Cymbella","plant","plant","plant","genus","sessile",2.198e-09,1906691.73405,0.0041909084314419,NA,0.534109079083809
"IS9","Diatoma","plant","plant","plant","genus","sessile",2.124e-09,27390576.61,0.05817758471964,NA,0.534109079083809
"IS9","Epithemia","plant","plant","plant","genus","sessile",1.9784e-08,52609145.04,1.04081932547136,NA,0.534109079083809
"IS9","Eukiefferiella minor","animal","ectotherm invertebrate","herbivore","species","walking",0.000120416904,576,0.069360136704,3.12484380846887e-05,0.902353149212339
"IS9","Eunotia","plant","plant","plant","genus","sessile",1.984e-09,716217.2051,0.0014209749349184,NA,0.534109079083809
"IS9","Filamentous algae","plant","plant","plant",NA,"sessile",NA,NA,NA,NA,0.534109079083809
"IS9","FPOM","detritus","detritus","detritus",NA,"sessile",NA,NA,NA,NA,0.152858971180092
"IS9","Fragilaria","plant","plant","plant","genus","sessile",2.0051e-09,91753243.427,0.183974428395478,NA,0.534109079083809
"IS9","Fungi","detritus","heterotrophic fungi","nonfeeding",NA,"sessile",NA,NA,NA,NA,0.152858971180092
"IS9","Gomphonema","plant","plant","plant","genus","sessile",3.447e-10,183000703.8065,0.0630803426021005,NA,0.534109079083809
"IS9","Green algae","plant","plant","plant",NA,"sessile",NA,NA,NA,NA,0.534109079083809
"IS9","Limnophora riparia","animal","ectotherm invertebrate","carnivore","species","walking",0.000722933972,88,0.063618189536,1.70435648958345e-05,0.902353149212339
"IS9","Macrophytes","plant","plant","plant",NA,"sessile",NA,NA,NA,NA,0.534109079083809
"IS9","Melosira","plant","plant","plant","genus","sessile",8.32e-09,78416320.98,0.6524237905536,NA,0.534109079083809
"IS9","Meridion","plant","plant","plant","genus","sessile",1.784e-09,5013520.435,0.00894412045604,NA,0.534109079083809
"IS9","Metriocnemus sp. A","animal","ectotherm invertebrate","herbivore","genus","walking",0.000313796888,20,0.00627593776,2.14174746340603e-06,0.902353149212339
"IS9","Micropsectra atrofasciata","animal","ectotherm invertebrate","herbivore","species","walking",0.000126136216,60,0.00756817296,3.36407170221001e-06,0.902353149212339
"IS9","Navicula","plant","plant","plant","genus","sessile",1.1652e-09,5120006.719,0.0059658318289788,NA,0.534109079083809
"IS9","Nitzschia","plant","plant","plant","genus","sessile",2.432e-10,12732028.018,0.0030964292139776,NA,0.534109079083809
"IS9","Oligochaeta indet.","animal","ectotherm invertebrate","herbivore","class","walking",2.9596016e-05,2424,0.071740742784,4.85541059961067e-05,0.902353149212339
"IS9","Pinnularia","plant","plant","plant","genus","sessile",2.32e-09,948514.6481,0.002200553983592,NA,0.534109079083809
"IS9","Potamophylax cingulatus","animal","ectotherm invertebrate","omnivore","species","walking",0.000712178404,20,0.01424356808,3.83253191727021e-06,0.902353149212339
"IS9","Procladius islandicus","animal","ectotherm invertebrate","omnivore","species","walking",0.002323241796,48,0.111515606208,2.12954100360031e-05,0.902353149212339
"IS9","Radix balthica","animal","ectotherm invertebrate","herbivore","species","walking",0.001628276052,4604,7.496582943408,0.00158701107244916,0.902353149212339
"IS9","Rheocricotopus effesus","animal","ectotherm invertebrate","herbivore","species","walking",0.000219364404,64,0.014039321856,5.3152743013334e-06,0.902353149212339
"IS9","Rhoicosphenia","plant","plant","plant","genus","sessile",2.316e-10,34207879.46,0.007922544882936,NA,0.534109079083809
"IS9","Rhopalodia","plant","plant","plant","genus","sessile",7.8e-08,3329463.706,0.259698169068,NA,0.534109079083809
"IS9","Simulium aureum","animal","ectotherm invertebrate","omnivore","species","walking",0.001079759508,296,0.319608814368,7.62204737759691e-05,0.902353149212339
"IS9","Simulium vittatum","animal","ectotherm invertebrate","omnivore","species","walking",0.000306690916,100,0.0306690916,1.05359908455788e-05,0.902353149212339
"IS9","Sperchon glandulosus","animal","ectotherm invertebrate","herbivore","species","walking",0.000358464528,156,0.055920466368,1.83611182383921e-05,0.902353149212339
"IS9","Synedra","plant","plant","plant","genus","sessile",3.236e-08,63580946.72,2.0574794358592,NA,0.534109079083809
"IS9","Terrestrial","detritus","ectotherm invertebrate","nonfeeding",NA,"flying",NA,NA,NA,NA,0.152858971180092
"IS9","Thienemanniella sp.","animal","ectotherm invertebrate","herbivore","genus","walking",7.4882808e-05,336,0.025160623488,1.30097311033401e-05,0.902353149212339
