"PhytoP","Gammaridae","Zooplankton","Copepoda","Palaemon.elegans","Acanthonyx.lunulatus","Insecta","Ulva.sp.","Gibbula.pennanti","Omalogyra.atomus","Pachygrapsus.transversus","Codium.adhaerens","Valonia.sp.","Cladostephus.spongiosus","Cystoseira.abies.marina","Padina.pavonica","Polychaeta"
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
