"PhytoP","Copepoda","Zooplankton","Mytilaster.solisianus","Tanaidacea","Isopoda","Sebidae","Polychaeta","Ulva.lactuca","Lottia.subrugosa","Fissurella.clenchi","Microphrys.bicornutus","Pachygrapsus.transversus","Scartella.cristata","Asteronema.breviarticulatum","Bachelotia.sp","Hypnea.musciformis","Jania.rubens"
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0
