"Polychaeta","Alitta.virens","PhytoP","Mytilus.sp.","Zooplankton","Hediste.diversicolor","Oligochaeta","Gammarus.oceanicus","Ulvaria.obscura","Littorina.littorea","Littorina.obtusata","Littorina.saxatilis","Testudinalia.testudinalis","Nematoda","Monostroma.grevillei","Dictyosiphon.foeniculaceus","Fucus","Petalonia.fascia","Coilodesme.bulligera","Clathromorphum.circumscriptum","Diatomophyceae"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
