"Alitta.virens","PhytoP","Mytilus.sp.","Zooplankton","Hediste.diversicolor","Oligochaeta","Gammarus.oceanicus","Sertulariidae","Monostroma.grevillei","Littorina.obtusata","Littorina.saxatilis","Testudinalia.testudinalis","Nematoda","Fucus","Ralfsia.fungiformis","Ralfsia.verrucosa","Ascophyllum.nodosum","Clathromorphum.circumscriptum","Diatomophyceae"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0
1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0
1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0
1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0
1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
