"Alitta.virens","PhytoP","Mytilus.sp.","Zooplankton","Hediste.diversicolor","Eteone.longa","Oligochaeta","Gammarus.oceanicus","Fucus","Littorina.littorea","Littorina.obtusata","Littorina.saxatilis","Testudinalia.testudinalis","Nematoda","Petalonia.fascia","Ralfsia.verrucosa","Ascophyllum.nodosum","Clathromorphum.circumscriptum","Diatomophyceae"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0
1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0
1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0
1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
