"Leucothoidae","Lipophrys.pholis","Coryphoblennius.galerita","Pachygrapsus.transversus","PhytoP","Gammaridae","Zooplankton","Parablennius.parvicornis","Tanaidacea","Isopoda","Polychaeta","Oligochaeta","Ulva.sp.","Omalogyra.atomus","Codium.sp.","Codium.adhaerens","Sargassum.vulgare","Dictyota.bartayresiana","Padina.pavonica","Rhodomelaceae","Ceramium.sp."
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
