"Insecta","Nassariidae","Turbellaria","Polychaeta","Lipophrys.pholis","Palaemon.longirostris","Gobius.paganellus","Carcinus.maenas","PhytoP","Porifera","Gammaridae","Caprella.sp.","Musculus.costulatus","Zooplankton","Cardiidae","Copepoda","Chthamalus.sp.","Actinothoe.sphyrodeta","Sagartia.elegans","Ophiuroidea","Nematoda","Oligochaeta","Mytilus.galloprovincialis","Solecurtus.strigilatus","Tanaidacea","Ulva.lactuca","Pantopoda","Asterina.gibbosa","Paracentrotus.lividus","Acanthochitona.crinita","Lepidochitona.cinerea","Leptochiton.algesirensis","Patella.ulyssiponensis","Gibbula.umbilicalis","Rissoidae","Omalogyra.atomus","Barleeia.sp.","Littorina.sp.","Aplysia.punctata","Sphaeromatidae","Ampithoidae","Stenothoidae","Calliopidae","Lophozozymus.incisus","Pirimela.denticulata","Codium.sp.","Colpomenia.peregrina","Bifurcaria.bifurcata","Cystoseira.sp.","Sphacelaria.cirrosa","Saccorhiza.polyschides","Anemonia.sulcata","Asparagopsis.armata","Lithophyllum.sp.","Ceramium.ciliatum","Turridae","Melitidae","Nucella.sp.","Ellisolandia.elongata"
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
