"PhytoP","Mytilus.sp.","Zooplankton","Hediste.diversicolor","Gammarus.oceanicus","Fucus","Testudinalia.testudinalis","Littorina.obtusata","Littorina.saxatilis","Ralfsia.fungiformis","Ralfsia.verrucosa","Hildenbrandia.rubra"
0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,1,1,0,0,0
0,0,0,1,1,0,1,1,1,0,0,0
0,0,0,1,1,0,1,1,1,0,0,0
