"PhytoP","Mytilus.sp.","Zooplankton","Hediste.diversicolor","Oligochaeta","Macoma.balthica","Gammarus.oceanicus","Balanus.crenatus","Fucus","Testudinalia.testudinalis","Littorina.obtusata","Littorina.saxatilis","Petalonia.fascia","Ralfsia.fungiformis","Ralfsia.verrucosa"
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,1,1,1,0,0,0
0,0,0,1,0,0,1,0,0,1,1,1,0,0,0
0,0,0,1,0,0,1,0,0,1,1,1,0,0,0
