"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",0.5,"AP1.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"AP1.csv"
"Zooplankton","swimming",0.001,"invertebrate",3,"AP1.csv"
"Tetraclita stalactifera","sessile",0.28,"invertebrate",1.41,"AP1.csv"
"Crassostrea virginica","sessile",7.88,"invertebrate",39.39,"AP1.csv"
"Colomastigidae","swimming",0.01,"invertebrate",0.001,"AP1.csv"
"Sebidae","swimming",0.01,"invertebrate",0.001,"AP1.csv"
"Polychaeta","walking",0.01,"invertebrate",0.01,"AP1.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",22940,"AP1.csv"
"Lottia subrugosa","walking",0.12,"invertebrate",0.12,"AP1.csv"
"Lischkeia","walking",0.01,"invertebrate",0.01,"AP1.csv"
"Nodilittorina lineolata","walking",0.15,"invertebrate",0.15,"AP1.csv"
"Stramonita haemastoma","walking",0.13,"invertebrate",0.63,"AP1.csv"
