"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",0.5,"BP3.csv"
"Hymeniacidon heliophila","sessile",0.01,"invertebrate",0.1,"BP3.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"BP3.csv"
"Petaloconchus sp","sessile",0.74,"invertebrate",1.47,"BP3.csv"
"Zooplankton","swimming",0.001,"invertebrate",3,"BP3.csv"
"Tetraclita stalactifera","sessile",0.16,"invertebrate",0.32,"BP3.csv"
"Mytilaster solisianus","sessile",0.02,"invertebrate",0.04,"BP3.csv"
"Isognomon bicolor","sessile",0.01,"invertebrate",0.1,"BP3.csv"
"Tanaidacea","walking",0.01,"invertebrate",0.001,"BP3.csv"
"Isopoda","walking",0.01,"invertebrate",0.001,"BP3.csv"
"Sebidae","swimming",0.01,"invertebrate",0.001,"BP3.csv"
"Plathelminthes","walking",0.01,"invertebrate",0.01,"BP3.csv"
"Polychaeta","walking",0.01,"invertebrate",0.01,"BP3.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",5.5,"BP3.csv"
"Fissurella clenchi","walking",0.01,"invertebrate",0.1,"BP3.csv"
"Pachygrapsus transversus","walking",0.33,"invertebrate",0.33,"BP3.csv"
"Caulerpa racemosa","sessile",0.000228,"primary producer",0.01,"BP3.csv"
"Sargassum cymosum","sessile",0.000228,"primary producer",0.01,"BP3.csv"
"Colpomenia peregrina","sessile",0.000228,"primary producer",0.01,"BP3.csv"
"Hypnea musciformis","sessile",0.000228,"primary producer",64,"BP3.csv"
"Amphiroa sp","sessile",0.000228,"primary producer",77,"BP3.csv"
"Stramonita haemastoma","walking",6.62,"invertebrate",26.48,"BP3.csv"
