"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",0.5,"CGP1.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"CGP1.csv"
"Zooplankton","swimming",0.001,"invertebrate",3,"CGP1.csv"
"Tetraclita stalactifera","sessile",0.02,"invertebrate",0.57,"CGP1.csv"
"Mytilaster solisianus","sessile",0.03,"invertebrate",0.33,"CGP1.csv"
"Crassostrea virginica","sessile",8.94,"invertebrate",62.6,"CGP1.csv"
"Cumacea","walking",0.01,"invertebrate",0.001,"CGP1.csv"
"Isopoda","walking",0.01,"invertebrate",NA,"CGP1.csv"
"Oedicerotidae","swimming",0.01,"invertebrate",0.001,"CGP1.csv"
"Colomastigidae","swimming",0.01,"invertebrate",0.001,"CGP1.csv"
"Sebidae","swimming",0.01,"invertebrate",0.001,"CGP1.csv"
"Polychaeta","walking",0.01,"invertebrate",0.01,"CGP1.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",0.1,"CGP1.csv"
"Lottia subrugosa","walking",0.4,"invertebrate",1.19,"CGP1.csv"
"Pachygrapsus transversus","walking",0.03,"invertebrate",0.1,"CGP1.csv"
"Nodilittorina lineolata","walking",0.21,"invertebrate",0.41,"CGP1.csv"
"Potamididae","walking",0.01,"invertebrate",0.01,"CGP1.csv"
"Stramonita haemastoma","walking",0.01,"invertebrate",0.1,"CGP1.csv"
