"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Insecta","swimming",0.01,"invertebrate",0.001,"CR2P2.csv"
"Nassariidae","walking",0.0383,"invertebrate",11.86,"CR2P2.csv"
"Lipophrys pholis","swimming",0.679,"ectotherm vertebrate",8.15,"CR2P2.csv"
"Sardina pilchardus","swimming",0.01,"ectotherm vertebrate",0.1,"CR2P2.csv"
"Liza ramada","swimming",0.01,"ectotherm vertebrate",0.1,"CR2P2.csv"
"Palaemon serratus","swimming",1.52,"invertebrate",1.52,"CR2P2.csv"
"Palaemon adspersus","swimming",0.51,"invertebrate",0.51,"CR2P2.csv"
"Palaemon longirostris","swimming",0.301,"invertebrate",6.01,"CR2P2.csv"
"Palaemon elegans","swimming",0.723,"invertebrate",14.46,"CR2P2.csv"
"Gobius paganellus","swimming",0.251,"ectotherm vertebrate",5.27,"CR2P2.csv"
"Lipophrys trigloides","swimming",0.536,"ectotherm vertebrate",4.82,"CR2P2.csv"
"PhytoP","other",1e-04,"primary producer",2.5,"CR2P2.csv"
"Zooplankton","swimming",0.001,"invertebrate",4,"CR2P2.csv"
"Botryllus schlosseri","sessile",0.01,"invertebrate",0.1,"CR2P2.csv"
"Musculus costulatus","sessile",0.0175,"invertebrate",0.105,"CR2P2.csv"
"Cardiidae","sessile",0.0014,"invertebrate",0.0027,"CR2P2.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"CR2P2.csv"
"Chthamalus sp.","sessile",0.01,"invertebrate",0.1,"CR2P2.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"CR2P2.csv"
"Oligochaeta","walking",9e-04,"invertebrate",9e-04,"CR2P2.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",4226.67,"CR2P2.csv"
"Asterina gibbosa","walking",0.19,"invertebrate",0.19,"CR2P2.csv"
"Ophiuroidea","walking",0.533,"invertebrate",3.73,"CR2P2.csv"
"Paracentrotus lividus","walking",1.278,"invertebrate",25.55,"CR2P2.csv"
"Acanthochitona crinita","walking",0.41,"invertebrate",1.23,"CR2P2.csv"
"Lepidochitona cinerea","walking",0.219,"invertebrate",2.63,"CR2P2.csv"
"Leptochiton algesirensis","walking",0.19,"invertebrate",0.95,"CR2P2.csv"
"Patella vulgata","other",0.01,"invertebrate",0.1,"CR2P2.csv"
"Patella rustica","walking",0.01,"invertebrate",0.1,"CR2P2.csv"
"Gibbula umbilicalis","walking",0.376,"invertebrate",7.52,"CR2P2.csv"
"Rissoidae","walking",0.0022,"invertebrate",0.0022,"CR2P2.csv"
"Omalogyra atomus","walking",4e-04,"invertebrate",4e-04,"CR2P2.csv"
"Barleeia sp.","walking",0.0011,"invertebrate",0.013,"CR2P2.csv"
"Aplysia punctata","walking",0.695,"invertebrate",11.82,"CR2P2.csv"
"Sphaeromatidae","walking",0.17,"invertebrate",0.17,"CR2P2.csv"
"Ampithoidae","swimming",0.0022,"invertebrate",0.0044,"CR2P2.csv"
"Stenothoidae","swimming",4e-04,"invertebrate",4e-04,"CR2P2.csv"
"Lophozozymus incisus","walking",0.6,"invertebrate",0.6,"CR2P2.csv"
"Pirimela denticulata","walking",0.45,"invertebrate",0.45,"CR2P2.csv"
"Colpomenia peregrina","sessile",0.000228,"primary producer",0.1,"CR2P2.csv"
"Holothuria sp.","walking",60.8,"invertebrate",60.8,"CR2P2.csv"
"Anemonia sulcata","sessile",41.3,"invertebrate",289.1,"CR2P2.csv"
"Cystoseira sp.","sessile",0.000228,"primary producer",763.3,"CR2P2.csv"
"Sphacelaria cirrosa","sessile",0.000228,"primary producer",11243.3,"CR2P2.csv"
"Asparagopsis armata","sessile",0.000228,"primary producer",6260,"CR2P2.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",0.01,"CR2P2.csv"
"Ceramium ciliatum","sessile",0.000228,"primary producer",0.1,"CR2P2.csv"
"Polychaeta","walking",0.0019,"invertebrate",0.0158,"CR2P2.csv"
"Turridae","walking",0.0064,"invertebrate",0.03,"CR2P2.csv"
"Chrysallida pellucida","walking",0.002,"invertebrate",0.002,"CR2P2.csv"
"Nucella sp.","walking",0.0015,"invertebrate",0.002,"CR2P2.csv"
"Bifurcaria bifurcata","sessile",0.000228,"primary producer",325.4,"CR2P2.csv"
"Mytilus galloprovincialis","sessile",2.19,"invertebrate",6.59,"CR2P2.csv"
"Marthasterias glacialis","walking",12.89,"invertebrate",12.89,"CR2P2.csv"
"Ellisolandia elongata","sessile",0.000228,"primary producer",7773.3,"CR2P2.csv"
