"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Sphaeromatidae","walking",0.0355,"invertebrate",0.036,"F2P1.csv"
"Scartella emarginata","swimming",1.52,"ectotherm vertebrate",1.52,"F2P1.csv"
"Bunodactis reynaudi","sessile",0.0289,"invertebrate",0.029,"F2P1.csv"
"Helcogramma obtusirostris","swimming",0.67,"ectotherm vertebrate",0.67,"F2P1.csv"
"Tanaidacea","walking",3e-04,"invertebrate",3e-04,"F2P1.csv"
"Platyhelminthes","walking",0.0016,"invertebrate",0.0032,"F2P1.csv"
"Nemertea","walking",2e-04,"invertebrate",2e-04,"F2P1.csv"
"PhytoP","other",1e-04,"primary producer",0.5,"F2P1.csv"
"Zooplankton","swimming",0.001,"invertebrate",3,"F2P1.csv"
"Palythoa nelliae","sessile",26.2,"invertebrate",26.2,"F2P1.csv"
"Bryozoa","sessile",0.131,"invertebrate",0.13,"F2P1.csv"
"Musculus sp.","sessile",6e-04,"invertebrate",6e-04,"F2P1.csv"
"Polychaeta","walking",0.0067,"invertebrate",0.142,"F2P1.csv"
"Oligochaeta","walking",4e-04,"invertebrate",0.0016,"F2P1.csv"
"Ophiurida","walking",0.0038,"invertebrate",0.019,"F2P1.csv"
"Acanthonyx quadridentatus","walking",0.2254,"invertebrate",0.07,"F2P1.csv"
"Pinnidae","sessile",0.0124,"invertebrate",0.012,"F2P1.csv"
"Skeneopsidae","walking",2e-04,"invertebrate",2e-04,"F2P1.csv"
"Dendropoma tholia","sessile",0.0164,"invertebrate",0.16,"F2P1.csv"
"Porcellana sp.","walking",0.21,"invertebrate",0.21,"F2P1.csv"
"Bryopsis pennata","sessile",0.000228,"primary producer",93.0666666666667,"F2P1.csv"
"Diodora sp.","walking",0.0021,"invertebrate",0.0021,"F2P1.csv"
"Echinometra mathaei","walking",0.0066,"invertebrate",0.0066,"F2P1.csv"
"Chiton sp.","walking",0.0192,"invertebrate",0.02,"F2P1.csv"
"Amphitoidae","swimming",8e-04,"invertebrate",8e-04,"F2P1.csv"
"Menaethius monoceros","walking",1.99,"invertebrate",1.99,"F2P1.csv"
"Oxystele spp.","walking",0.01,"invertebrate",0.1,"F2P1.csv"
"Caulerpa racemosa v. uvifera","sessile",0.000228,"primary producer",372.6,"F2P1.csv"
"Codium lucasii","sessile",0.000228,"primary producer",184.8,"F2P1.csv"
"Halimeda cuneata","sessile",0.000228,"primary producer",23.85,"F2P1.csv"
"Halimeda tuna","sessile",0.000228,"primary producer",0.01,"F2P1.csv"
"Pseudocodium devriesii","sessile",0.000228,"primary producer",353.6,"F2P1.csv"
"Cladophora vagabunda","sessile",0.000228,"primary producer",0.01,"F2P1.csv"
"Charybdis natator","walking",32.29,"invertebrate",32.29,"F2P1.csv"
"Dictyosphaeria cavernosa","sessile",0.000228,"primary producer",51.8,"F2P1.csv"
"Valonia macrophysa","sessile",0.000228,"primary producer",34.38,"F2P1.csv"
"Ulva sp.","sessile",0.000228,"primary producer",0.01,"F2P1.csv"
"Acrosorium sp.","sessile",0.000228,"primary producer",457,"F2P1.csv"
"Chondria armata","sessile",0.000228,"primary producer",194,"F2P1.csv"
"Griffithsia sp.","sessile",0.000228,"primary producer",0.01,"F2P1.csv"
"Osmundaria melvillii","sessile",0.000228,"primary producer",245,"F2P1.csv"
"Jania intermedia","sessile",0.000228,"primary producer",2670,"F2P1.csv"
"Gracilaria corticata","sessile",0.000228,"primary producer",343.6,"F2P1.csv"
"Gracilaria salicornia","sessile",0.000228,"primary producer",77.5,"F2P1.csv"
"Dictyota sp.","sessile",0.000228,"primary producer",0.01,"F2P1.csv"
"Padina boryana","sessile",0.000228,"primary producer",95.7,"F2P1.csv"
"Hormophysa cuneiformis","sessile",0.000228,"primary producer",239.4,"F2P1.csv"
"Sargassum aquifolium","sessile",0.000228,"primary producer",0.01,"F2P1.csv"
"Sargassum elegans","sessile",0.000228,"primary producer",23.4714285714286,"F2P1.csv"
"Codium prostratum","sessile",0.000228,"primary producer",6.26666666666667,"F2P1.csv"
"Haliclona sp.","sessile",55.6,"invertebrate",55.6,"F2P1.csv"
"Triphoridae","walking",0.0207,"invertebrate",0.021,"F2P1.csv"
"Anemonia natalensis","sessile",0.0013,"invertebrate",0.025,"F2P1.csv"
"Aeolidiidae","walking",0.0174,"invertebrate",NA,"F2P1.csv"
"Epitoniidae","walking",0.0024,"invertebrate",0.0024,"F2P1.csv"
"Mitridae","walking",7e-04,"invertebrate",7e-04,"F2P1.csv"
"Capulidae","walking",0.1601,"invertebrate",0.16,"F2P1.csv"
"Purpura panama","walking",0.7754,"invertebrate",0.77,"F2P1.csv"
