"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",0.5,"FP1.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"FP1.csv"
"Zooplankton","swimming",0.001,"invertebrate",3,"FP1.csv"
"Tetraclita stalactifera","sessile",1.24,"invertebrate",6.19,"FP1.csv"
"Megabalanus tintinnabulum","sessile",0.12,"invertebrate",0.46,"FP1.csv"
"Mytilaster solisianus","sessile",0.33,"invertebrate",1.31,"FP1.csv"
"Perna perna","sessile",0.01,"invertebrate",0.1,"FP1.csv"
"Isognomon bicolor","sessile",0.01,"invertebrate",0.1,"FP1.csv"
"Isopoda","walking",0.01,"invertebrate",0.001,"FP1.csv"
"Sebidae","swimming",0.01,"invertebrate",0.001,"FP1.csv"
"Polychaeta","walking",0.01,"invertebrate",0.01,"FP1.csv"
"Chaetomorpha gracilis","other",0.000228,"primary producer",1145,"FP1.csv"
"Lottia subrugosa","walking",0.09,"invertebrate",0.62,"FP1.csv"
"Fissurella clenchi","walking",0.31,"invertebrate",0.31,"FP1.csv"
"Echinometra lucunter","walking",0.01,"invertebrate",0.1,"FP1.csv"
"Pachygrapsus transversus","walking",0.24,"invertebrate",0.24,"FP1.csv"
"Bathygobius soporator","swimming",0.5,"ectotherm vertebrate",0.5,"FP1.csv"
"Sargassum cymosum","sessile",0.000228,"primary producer",0.01,"FP1.csv"
"Asteronema breviarticulatum","sessile",0.000228,"primary producer",0.01,"FP1.csv"
"Bachelotia sp","sessile",0.000228,"primary producer",0.01,"FP1.csv"
"Dictyota sp","sessile",0.000228,"primary producer",740,"FP1.csv"
"Stramonita haemastoma","walking",6.9,"invertebrate",6.9,"FP1.csv"
