"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",0.5,"FXBP3.csv"
"Zooplankton","swimming",0.001,"invertebrate",2,"FXBP3.csv"
"Cinachyrella alloclada","sessile",4.9,"invertebrate",4.9,"FXBP3.csv"
"Zoanthus sociatus","sessile",0.01,"invertebrate",0.1,"FXBP3.csv"
"Turbellaria","swimming",0.004,"invertebrate",0.004,"FXBP3.csv"
"Eudistoma vannamei","sessile",0.01,"invertebrate",0.1,"FXBP3.csv"
"Polychaeta","walking",0.0018,"invertebrate",0.0158,"FXBP3.csv"
"Polysyncraton amethysteum","sessile",0.01,"invertebrate",0.1,"FXBP3.csv"
"Phallusia nigra","sessile",0.01,"invertebrate",0.1,"FXBP3.csv"
"Sipunculidae","swimming",0.2,"invertebrate",0.2,"FXBP3.csv"
"Cystodytes dellechiajei","sessile",0.01,"invertebrate",0.1,"FXBP3.csv"
"Gammaridae","swimming",0.0012,"invertebrate",0.0035,"FXBP3.csv"
"Fissurella rosea","walking",5e-04,"invertebrate",5e-04,"FXBP3.csv"
"Stramonita haemastoma","walking",1.59,"invertebrate",4.78,"FXBP3.csv"
"Ophiuroidea","walking",0.43,"invertebrate",0.43,"FXBP3.csv"
"Ophiura sp.","walking",0.0054,"invertebrate",0.0107,"FXBP3.csv"
"Idotea","walking",9e-04,"invertebrate",0.0019,"FXBP3.csv"
"Panopeus herbstii","walking",0.18,"invertebrate",0.18,"FXBP3.csv"
"Calliopidae","swimming",0.0035,"invertebrate",0.0035,"FXBP3.csv"
"Amphitoidae","swimming",0.0011,"invertebrate",0.0057,"FXBP3.csv"
"Oligochaeta","walking",6e-04,"invertebrate",0.0012,"FXBP3.csv"
"Clibanarius antillensis","walking",0.372,"invertebrate",1.86,"FXBP3.csv"
"Bryopsis pennata","sessile",0.000228,"primary producer",0.14,"FXBP3.csv"
"Tegula viridula","walking",3.04,"invertebrate",15.2,"FXBP3.csv"
"Aplysia dactylomela","walking",13.59,"invertebrate",26.87,"FXBP3.csv"
"Pachygrapsus transversus","walking",4.35,"invertebrate",4.35,"FXBP3.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"FXBP3.csv"
"Ischnochiton striolatus","walking",0.01,"invertebrate",0.02,"FXBP3.csv"
"Bathygobius soporator","swimming",0.98,"ectotherm vertebrate",3.94,"FXBP3.csv"
"Caulerpa racemosa","sessile",0.000228,"primary producer",114.8,"FXBP3.csv"
"Caulerpa scalpelliformis","sessile",0.000228,"primary producer",26.7,"FXBP3.csv"
"Valonia aegagropila","sessile",0.000228,"primary producer",35.3,"FXBP3.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",87.3,"FXBP3.csv"
"Padina gymnospora","sessile",0.000228,"primary producer",5.025,"FXBP3.csv"
"Dictyota menstrualis","sessile",0.000228,"primary producer",6.62,"FXBP3.csv"
"Spatoglossum schroederi","sessile",0.000228,"primary producer",8.98,"FXBP3.csv"
"Sargassum vulgare","sessile",0.000228,"primary producer",18.33,"FXBP3.csv"
"Sphacelaria sp.","sessile",0.000228,"primary producer",11,"FXBP3.csv"
"Centroceras clavulatum","sessile",0.000228,"primary producer",33,"FXBP3.csv"
"Chondria curvilineata","sessile",0.000228,"primary producer",36.5,"FXBP3.csv"
"Acanthophora spicifera","sessile",0.000228,"primary producer",21.25,"FXBP3.csv"
"Corallina sp.","sessile",0.000228,"primary producer",5,"FXBP3.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",0.01,"FXBP3.csv"
"Hypnea musciformis","sessile",0.000228,"primary producer",847,"FXBP3.csv"
"Gracilaria Birdiae","sessile",0.000228,"primary producer",6.36,"FXBP3.csv"
"Gracilaria sp.","sessile",0.000228,"primary producer",19.33,"FXBP3.csv"
"Plocamium brasiliense","sessile",0.000228,"primary producer",28.5,"FXBP3.csv"
"Neogonodactylus sp.","walking",0.925,"invertebrate",1.85,"FXBP3.csv"
