"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",0.5,"GJAP3.csv"
"Didemnum granulatum","sessile",0.01,"invertebrate",0.1,"GJAP3.csv"
"Tedania sp.","sessile",0.01,"invertebrate",0.1,"GJAP3.csv"
"Zooplankton","swimming",0.001,"invertebrate",2,"GJAP3.csv"
"Eudistoma vannamei","sessile",0.01,"invertebrate",0.1,"GJAP3.csv"
"Polychaeta","walking",9e-04,"invertebrate",0.0029,"GJAP3.csv"
"Pagurus sp.","walking",0.98,"invertebrate",0.98,"GJAP3.csv"
"Fissurella rosea","walking",0.0027,"invertebrate",0.0087,"GJAP3.csv"
"Olivancillaria sp.","walking",0.0867,"invertebrate",0.0867,"GJAP3.csv"
"Eulithidium affine","walking",0.0019,"invertebrate",0.0038,"GJAP3.csv"
"Aplysia dactylomela","walking",0.24,"invertebrate",0.24,"GJAP3.csv"
"Tanaidacea","walking",7e-04,"invertebrate",7e-04,"GJAP3.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",6.4,"GJAP3.csv"
"Tegula viridula","walking",2.46,"invertebrate",4.91,"GJAP3.csv"
"Lithopoma phoebium","walking",9.92,"invertebrate",9.92,"GJAP3.csv"
"Padina gymnospora","sessile",0.000228,"primary producer",3.54,"GJAP3.csv"
"Spatoglossum schroederi","sessile",0.000228,"primary producer",30.45,"GJAP3.csv"
"Acanthophora spicifera","sessile",0.000228,"primary producer",7.33,"GJAP3.csv"
"Corallina sp.","sessile",0.000228,"primary producer",36.95,"GJAP3.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",0.01,"GJAP3.csv"
"Hypnea musciformis","sessile",0.000228,"primary producer",54.8,"GJAP3.csv"
"Gracilaria sp.","sessile",0.000228,"primary producer",21,"GJAP3.csv"
"Plocamium brasiliense","sessile",0.000228,"primary producer",8.33,"GJAP3.csv"
