"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",0.5,"GJBP4.csv"
"Zooplankton","swimming",0.001,"invertebrate",2,"GJBP4.csv"
"Harparticoida","swimming",0.001,"invertebrate",0.001,"GJBP4.csv"
"Tedania sp.","sessile",0.01,"invertebrate",0.1,"GJBP4.csv"
"Brachidontes sp.","sessile",0.001,"invertebrate",0.001,"GJBP4.csv"
"Polychaeta","walking",4e-04,"invertebrate",0.0016,"GJBP4.csv"
"Gammaridae","swimming",0.00032,"invertebrate",0.0016,"GJBP4.csv"
"Pagurus sp.","walking",0.25,"invertebrate",0.25,"GJBP4.csv"
"Fissurella rosea","walking",9e-04,"invertebrate",0.0063,"GJBP4.csv"
"Tanaidacea","walking",4e-04,"invertebrate",4e-04,"GJBP4.csv"
"Oligochaeta","walking",0.0015,"invertebrate",0.0015,"GJBP4.csv"
"Bryopsis pennata","sessile",0.000228,"primary producer",4,"GJBP4.csv"
"Eulithidium affine","walking",2e-04,"invertebrate",2e-04,"GJBP4.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"GJBP4.csv"
"Centroceras clavulatum","sessile",0.000228,"primary producer",12.6,"GJBP4.csv"
"Acanthophora spicifera","sessile",0.000228,"primary producer",14.05,"GJBP4.csv"
"Bostrychia sp.","sessile",0.000228,"primary producer",0.16,"GJBP4.csv"
"Corallina sp.","sessile",0.000228,"primary producer",17.2,"GJBP4.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",0.01,"GJBP4.csv"
"Hypnea musciformis","sessile",0.000228,"primary producer",27.3,"GJBP4.csv"
"Gracilaria Birdiae","sessile",0.000228,"primary producer",14.08,"GJBP4.csv"
"Gracilaria sp.","sessile",0.000228,"primary producer",14,"GJBP4.csv"
"Plocamium brasiliense","sessile",0.000228,"primary producer",7.8,"GJBP4.csv"
