"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Insecta","swimming",0.01,"invertebrate",0.001,"L4P4.csv"
"Actinia equina","sessile",1.89,"invertebrate",17.04,"L4P4.csv"
"Nassariidae","walking",1.13,"invertebrate",1.13,"L4P4.csv"
"Coryphoblennius galerita","swimming",0.18,"ectotherm vertebrate",2.03,"L4P4.csv"
"Polychaeta","walking",0.01,"invertebrate",0.01,"L4P4.csv"
"Lipophrys pholis","swimming",0.32,"ectotherm vertebrate",3.89,"L4P4.csv"
"Palaemon longirostris","swimming",0.38,"invertebrate",3.8,"L4P4.csv"
"Palaemon elegans","swimming",0.15,"invertebrate",1.62,"L4P4.csv"
"PhytoP","other",1e-04,"primary producer",2.5,"L4P4.csv"
"Procerodes sp.","walking",0.01,"invertebrate",0.01,"L4P4.csv"
"Zooplankton","swimming",0.001,"invertebrate",4,"L4P4.csv"
"Gammaridae","swimming",0.01,"invertebrate",0.001,"L4P4.csv"
"Venerupis sp.","sessile",0.01,"invertebrate",0.1,"L4P4.csv"
"Musculus costulatus","sessile",0.01,"invertebrate",0.19,"L4P4.csv"
"Ectoprocta","sessile",1.5,"invertebrate",1.5,"L4P4.csv"
"Aulactinia verrucosa","sessile",0.5,"invertebrate",1,"L4P4.csv"
"Sagartia elegans","sessile",0.31,"invertebrate",3.1,"L4P4.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"L4P4.csv"
"Oligochaeta","walking",0.01,"invertebrate",0.01,"L4P4.csv"
"Mytilus galloprovincialis","sessile",0.61,"invertebrate",12.28,"L4P4.csv"
"Modiolula phaseolina","sessile",0.067,"invertebrate",0.13,"L4P4.csv"
"Tanaidacea","walking",0.01,"invertebrate",0.001,"L4P4.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",168,"L4P4.csv"
"Sphaeromatidae","walking",0.01,"invertebrate",0.001,"L4P4.csv"
"Omalogyra atomus","walking",7e-04,"invertebrate",0.014,"L4P4.csv"
"Actinia fragacea","sessile",9.42,"invertebrate",18.83,"L4P4.csv"
"Barleeia sp.","walking",0.0018,"invertebrate",0.0036,"L4P4.csv"
"Acanthochitona crinita","walking",0.208,"invertebrate",0.21,"L4P4.csv"
"Lepidochitona cinerea","walking",0.01,"invertebrate",0.1,"L4P4.csv"
"Patella ulyssiponensis","walking",0.01,"invertebrate",0.1,"L4P4.csv"
"Gibbula umbilicalis","walking",0.26,"invertebrate",1.42,"L4P4.csv"
"Paracentrotus lividus","walking",0.01,"invertebrate",0.1,"L4P4.csv"
"Rissoidae","walking",0.01,"invertebrate",0.01,"L4P4.csv"
"Necora puber","walking",1.97,"invertebrate",3.94,"L4P4.csv"
"Ampithoidae","swimming",0.01,"invertebrate",0.001,"L4P4.csv"
"Codium sp.","sessile",0.000228,"primary producer",1090,"L4P4.csv"
"Bifurcaria bifurcata","sessile",0.000228,"primary producer",46.1,"L4P4.csv"
"Cystoseira sp.","sessile",0.000228,"primary producer",18.3,"L4P4.csv"
"Sphacelaria cirrosa","sessile",0.000228,"primary producer",75.67,"L4P4.csv"
"Dictyota dichotoma","sessile",0.000228,"primary producer",0.1,"L4P4.csv"
"Anemonia sulcata","sessile",18.23,"invertebrate",18.23,"L4P4.csv"
"Ellisolandia elongata","sessile",0.000228,"primary producer",5240,"L4P4.csv"
"Lysianassidae","swimming",0.01,"invertebrate",0.001,"L4P4.csv"
