"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"MBP1.csv"
"Gammaridae","swimming",9e-04,"invertebrate",0.019,"MBP1.csv"
"Zooplankton","swimming",0.001,"invertebrate",10,"MBP1.csv"
"Polychaeta","walking",2e-04,"invertebrate",2e-04,"MBP1.csv"
"Austrominius modestus","sessile",0.001,"invertebrate",2e-04,"MBP1.csv"
"Harparticoida","swimming",2e-04,"invertebrate",0.001,"MBP1.csv"
"Ostracoda","swimming",0.001,"invertebrate",0.001,"MBP1.csv"
"Membranipora membranaceae","sessile",0.01,"invertebrate",0.01,"MBP1.csv"
"Cumacea","walking",2e-04,"invertebrate",2e-04,"MBP1.csv"
"Procerodes littoralis","walking",0.01,"invertebrate",0.1,"MBP1.csv"
"Stenothoidae","swimming",0.0035,"invertebrate",0.017,"MBP1.csv"
"Oligochaeta","walking",0.0013,"invertebrate",0.012,"MBP1.csv"
"Carcinus maenas","walking",0.01,"invertebrate",0.1,"MBP1.csv"
"Palaemon serratus","swimming",0.01,"invertebrate",0.1,"MBP1.csv"
"Tanaidacea","walking",0.002,"invertebrate",0.004,"MBP1.csv"
"Colpomenia peregrina","sessile",0.000228,"primary producer",0.1,"MBP1.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"MBP1.csv"
"Tonicella rubra","walking",0.01,"invertebrate",0.1,"MBP1.csv"
"Littorina saxatilis","walking",0.01,"invertebrate",0.1,"MBP1.csv"
"Littorina littorea","walking",0.0158,"invertebrate",0.158,"MBP1.csv"
"Patella vulgata","other",0.01,"invertebrate",0.1,"MBP1.csv"
"Patella depressa","walking",0.01,"invertebrate",0.1,"MBP1.csv"
"Patella ulyssiponensis","walking",0.01,"invertebrate",0.1,"MBP1.csv"
"Gibbula umbilicalis","walking",0.079,"invertebrate",0.794,"MBP1.csv"
"Gibbula cineraria","walking",0.01,"invertebrate",0.1,"MBP1.csv"
"Phorcus lineatus","walking",0.01,"invertebrate",0.1,"MBP1.csv"
"Sphaeromatidae","walking",2e-04,"invertebrate",2e-04,"MBP1.csv"
"Pagurus bernhardus","walking",0.01,"invertebrate",0.1,"MBP1.csv"
"Insecta","swimming",2e-04,"invertebrate",3e-04,"MBP1.csv"
"Oshurkovia littoralis","sessile",0.01,"invertebrate",0.01,"MBP1.csv"
"Fucus serratus","sessile",0.000228,"primary producer",282,"MBP1.csv"
"Fucus vesiculosus","sessile",0.000228,"primary producer",603.33,"MBP1.csv"
"Rhodomela confervoides","sessile",0.000228,"primary producer",0.1,"MBP1.csv"
"Corallina officinalis","sessile",0.000228,"primary producer",0.1,"MBP1.csv"
