"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"PC1P3.csv"
"Gammaridae","swimming",5e-04,"invertebrate",0.008,"PC1P3.csv"
"Zooplankton","swimming",0.001,"invertebrate",2,"PC1P3.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"PC1P3.csv"
"Amphipholis squamata","walking",0.0024,"invertebrate",0.009,"PC1P3.csv"
"Priapulida","walking",0.0077,"invertebrate",0.0077,"PC1P3.csv"
"Coryphoblennius galerita","swimming",0.01,"ectotherm vertebrate",0.1,"PC1P3.csv"
"Tanaidacea","walking",0.0019,"invertebrate",0.0039,"PC1P3.csv"
"Leucothoidae","swimming",9e-04,"invertebrate",0.0018,"PC1P3.csv"
"Lysianassidae","swimming",7e-04,"invertebrate",0.0013,"PC1P3.csv"
"Insecta","swimming",2e-04,"invertebrate",2e-04,"PC1P3.csv"
"Polychaeta","walking",0.0027,"invertebrate",0.027,"PC1P3.csv"
"Oligochaeta","walking",3e-04,"invertebrate",0.0013,"PC1P3.csv"
"Caulerpa webbiana","sessile",0.000228,"primary producer",12.33,"PC1P3.csv"
"Liza ramada","swimming",0.57,"ectotherm vertebrate",8.55,"PC1P3.csv"
"Omalogyra atomus","walking",4e-04,"invertebrate",0.004,"PC1P3.csv"
"Tricolia sp.","walking",9e-04,"invertebrate",0.0018,"PC1P3.csv"
"Barleeia sp.","walking",0.0011,"invertebrate",0.013,"PC1P3.csv"
"Caprella sp.","walking",2e-04,"invertebrate",5e-04,"PC1P3.csv"
"Palaemon elegans","swimming",0.87,"invertebrate",3.49,"PC1P3.csv"
"Halopteris filicina","sessile",0.000228,"primary producer",103300,"PC1P3.csv"
"Sargassum vulgare","sessile",0.000228,"primary producer",35.3,"PC1P3.csv"
"Padina pavonica","sessile",0.000228,"primary producer",94700,"PC1P3.csv"
"Corallina sp.","sessile",0.000228,"primary producer",0.01,"PC1P3.csv"
"Tricleocarpa cylindrica","sessile",0.000228,"primary producer",43000,"PC1P3.csv"
