"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",0.5,"PGSBP2.csv"
"Hymeniacidon heliophila","sessile",0.01,"invertebrate",0.1,"PGSBP2.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"PGSBP2.csv"
"Zooplankton","swimming",0.001,"invertebrate",3,"PGSBP2.csv"
"Protopalythoa variabilis","sessile",0.01,"invertebrate",0.1,"PGSBP2.csv"
"Clibanarius vittatus","walking",0.01,"invertebrate",0.1,"PGSBP2.csv"
"Holothuria grisea","walking",89,"invertebrate",89,"PGSBP2.csv"
"Cumacea","walking",0.01,"invertebrate",0.001,"PGSBP2.csv"
"Tanaidacea","walking",0.01,"invertebrate",0.001,"PGSBP2.csv"
"Isopoda","walking",0.01,"invertebrate",0.001,"PGSBP2.csv"
"Gammaridae","swimming",0.01,"invertebrate",0.001,"PGSBP2.csv"
"Polychaeta","walking",0.01,"invertebrate",0.01,"PGSBP2.csv"
"Padina sp.","sessile",0.000228,"primary producer",2.43,"PGSBP2.csv"
"Ischnochiton striolatus","walking",0.3,"invertebrate",0.3,"PGSBP2.csv"
"Tegula viridula","walking",0.76,"invertebrate",1.53,"PGSBP2.csv"
"Cerithium atratum","walking",0.01,"invertebrate",0.1,"PGSBP2.csv"
"Bathygobius soporator","swimming",0.41,"ectotherm vertebrate",3.24,"PGSBP2.csv"
"Alpheus formosus","walking",0.01,"invertebrate",0.1,"PGSBP2.csv"
"Palaemon northropi","swimming",0.23,"invertebrate",4.44,"PGSBP2.csv"
"Dictyota sp","sessile",0.000228,"primary producer",815,"PGSBP2.csv"
"Acanthophora spicifera","sessile",0.000228,"primary producer",48.8,"PGSBP2.csv"
"Hypnea musciformis","sessile",0.000228,"primary producer",25.9,"PGSBP2.csv"
"Lithophyllum","sessile",0.000228,"primary producer",0.01,"PGSBP2.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"PGSBP2.csv"
"Eurypanopeus abreviatus","walking",0.01,"invertebrate",0.1,"PGSBP2.csv"
"Ophiactis savignyiÃ¡","walking",0.86,"invertebrate",NA,"PGSBP2.csv"
"Morula nodulosa","walking",0.7,"invertebrate",0.7,"PGSBP2.csv"
"Bunodosoma cangicum","sessile",5.5,"invertebrate",5.5,"PGSBP2.csv"
"Pagurus sp.","walking",0.94,"invertebrate",14.12,"PGSBP2.csv"
