"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Pachygrapsus transversus","walking",0.36,"invertebrate",2.54,"PGUBP3.csv"
"Scartella cristata","swimming",0.36,"ectotherm vertebrate",2.63,"PGUBP3.csv"
"PhytoP","other",1e-04,"primary producer",0.5,"PGUBP3.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"PGUBP3.csv"
"Zooplankton","swimming",0.001,"invertebrate",3,"PGUBP3.csv"
"Petaloconchus sp","sessile",0.36,"invertebrate",0.36,"PGUBP3.csv"
"Isognomon bicolor","sessile",0.98,"invertebrate",16.67,"PGUBP3.csv"
"Tanaidacea","walking",0.01,"invertebrate",0.001,"PGUBP3.csv"
"Isopoda","walking",0.01,"invertebrate",0.001,"PGUBP3.csv"
"Sebidae","swimming",0.01,"invertebrate",0.001,"PGUBP3.csv"
"Polychaeta","walking",0.01,"invertebrate",0.01,"PGUBP3.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",296.5,"PGUBP3.csv"
"Fissurella clenchi","walking",0.12,"invertebrate",0.12,"PGUBP3.csv"
"Eriphia gonagra","walking",0.63,"invertebrate",0.63,"PGUBP3.csv"
"Chaetomorpha gracilis","other",0.000228,"primary producer",0.01,"PGUBP3.csv"
"Sargassum cymosum","sessile",0.000228,"primary producer",16,"PGUBP3.csv"
"Colpomenia peregrina","sessile",0.000228,"primary producer",0.01,"PGUBP3.csv"
"Hypnea musciformis","sessile",0.000228,"primary producer",107.4,"PGUBP3.csv"
"Gelidium sp.","sessile",0.000228,"primary producer",0.01,"PGUBP3.csv"
"Stramonita haemastoma","walking",2.71,"invertebrate",8.13,"PGUBP3.csv"
"Padina sp.","sessile",0.000228,"primary producer",9.72,"PGUBP3.csv"
