"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"PP2I2.csv"
"Mytilus sp.","sessile",2.5684,"invertebrate",35.41,"PP2I2.csv"
"Zooplankton","swimming",0.001,"invertebrate",10,"PP2I2.csv"
"Aulactinia stella","sessile",0.3521,"invertebrate",1.76,"PP2I2.csv"
"Balanus crenatus","sessile",0.0762,"invertebrate",0.08,"PP2I2.csv"
"Gammarus oceanicus","swimming",0.2098,"invertebrate",2.3,"PP2I2.csv"
"Ulvaria obscura","sessile",0.000228,"primary producer",26.42,"PP2I2.csv"
"Littorina littorea","walking",0.0156,"invertebrate",0.02,"PP2I2.csv"
"Littorina obtusata","walking",0.0723,"invertebrate",0.79,"PP2I2.csv"
"Littorina saxatilis","walking",0.0722,"invertebrate",0.65,"PP2I2.csv"
"Testudinalia testudinalis","walking",0.4527,"invertebrate",4.53,"PP2I2.csv"
"Jaera (Jaera) albifrons","swimming",0.0026,"invertebrate",0.077,"PP2I2.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"PP2I2.csv"
"Dictyosiphon foeniculaceus","sessile",0.000228,"primary producer",18.7,"PP2I2.csv"
"Fucus","sessile",0.000228,"primary producer",1403.85,"PP2I2.csv"
"Chordaria flagelliformis","sessile",0.000228,"primary producer",2.97,"PP2I2.csv"
"Ralfsia fungiformis","sessile",0.000228,"primary producer",18.06,"PP2I2.csv"
"Ralfsia verrucosa","sessile",0.000228,"primary producer",0.1,"PP2I2.csv"
"Coilodesme bulligera","sessile",0.000228,"primary producer",12.59,"PP2I2.csv"
"Clathromorphum circumscriptum","sessile",0.000228,"primary producer",0.1,"PP2I2.csv"
"Diatomophyceae","sessile",2e-04,"primary producer",1.67,"PP2I2.csv"
