"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"RMP3.csv"
"Batzella inops","sessile",0.01,"invertebrate",0.1,"RMP3.csv"
"Gammaridae","swimming",2e-04,"invertebrate",6e-04,"RMP3.csv"
"Zooplankton","swimming",0.001,"invertebrate",2,"RMP3.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"RMP3.csv"
"Gibbula umbilicalis","walking",0.022,"invertebrate",0.022,"RMP3.csv"
"Lipophrys pholis","swimming",0.22,"ectotherm vertebrate",1.56,"RMP3.csv"
"Ulva sp.","sessile",0.000228,"primary producer",90,"RMP3.csv"
"Gibbula pennanti","walking",0.34,"invertebrate",6.82,"RMP3.csv"
"Phorcus lineatus","walking",2.42,"invertebrate",2.42,"RMP3.csv"
"Omalogyra atomus","walking",3e-04,"invertebrate",0.0042,"RMP3.csv"
"Stenothoidae","swimming",0.0016,"invertebrate",0.0016,"RMP3.csv"
"Lepadogaster zebrina","swimming",0.01,"ectotherm vertebrate",0.1,"RMP3.csv"
"Lophozozymus incisus","walking",0.385,"invertebrate",0.39,"RMP3.csv"
"Insecta","swimming",3e-04,"invertebrate",0.001,"RMP3.csv"
"Polychaeta","walking",0.001,"invertebrate",0.001,"RMP3.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"RMP3.csv"
