"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Insecta","swimming",6e-04,"invertebrate",0.008,"RV2P1.csv"
"Nassariidae","walking",0.11,"invertebrate",0.11,"RV2P1.csv"
"Polychaeta","walking",0.0013,"invertebrate",0.26,"RV2P1.csv"
"Palaemon longirostris","swimming",0.118,"invertebrate",0.24,"RV2P1.csv"
"Gobius paganellus","swimming",0.25,"ectotherm vertebrate",4.99,"RV2P1.csv"
"Carcinus maenas","walking",0.154,"invertebrate",0.46,"RV2P1.csv"
"PhytoP","other",1e-04,"primary producer",2.5,"RV2P1.csv"
"Zooplankton","swimming",0.001,"invertebrate",4,"RV2P1.csv"
"Tricolia pullus","walking",0.0095,"invertebrate",0.009,"RV2P1.csv"
"Gammaridae","swimming",0.0019,"invertebrate",0.007,"RV2P1.csv"
"Ophiuroidea","walking",0.0061,"invertebrate",0.1,"RV2P1.csv"
"Musculus costulatus","sessile",0.0075,"invertebrate",0.36,"RV2P1.csv"
"Modiolula phaseolina","sessile",0.0176,"invertebrate",0.02,"RV2P1.csv"
"Petricolinae","sessile",0.01,"invertebrate",0.01,"RV2P1.csv"
"Cardiidae","sessile",0.0016,"invertebrate",0.002,"RV2P1.csv"
"Angulus tenuis","sessile",0.002,"invertebrate",0.002,"RV2P1.csv"
"Turtonia minuta","sessile",0.001,"invertebrate",0.007,"RV2P1.csv"
"Aulactinia verrucosa","sessile",0.4,"invertebrate",0.4,"RV2P1.csv"
"Sagartia elegans","sessile",0.01,"invertebrate",0.1,"RV2P1.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"RV2P1.csv"
"Oligochaeta","walking",0.0017,"invertebrate",0.03,"RV2P1.csv"
"Lipophrys pholis","swimming",0.36,"ectotherm vertebrate",3.9,"RV2P1.csv"
"Mytilus galloprovincialis","sessile",0.266,"invertebrate",5.31,"RV2P1.csv"
"Lipophrys trigloides","swimming",0.34,"ectotherm vertebrate",2.4,"RV2P1.csv"
"Tanaidacea","walking",9e-04,"invertebrate",0.02,"RV2P1.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",1004,"RV2P1.csv"
"Paracentrotus lividus","walking",7.97,"invertebrate",55.77,"RV2P1.csv"
"Acanthochitona crinita","walking",0.036,"invertebrate",0.04,"RV2P1.csv"
"Lepidochitona cinerea","walking",0.002,"invertebrate",0.002,"RV2P1.csv"
"Patella depressa","walking",6.64,"invertebrate",13.27,"RV2P1.csv"
"Gibbula umbilicalis","walking",0.215,"invertebrate",4.29,"RV2P1.csv"
"Rissoidae","walking",0.0019,"invertebrate",0.002,"RV2P1.csv"
"Hydrobia sp.","walking",0.0015,"invertebrate",0.003,"RV2P1.csv"
"Omalogyra atomus","walking",7e-04,"invertebrate",0.006,"RV2P1.csv"
"Barleeia sp.","walking",0.0026,"invertebrate",0.04,"RV2P1.csv"
"Ampithoidae","swimming",0.0038,"invertebrate",0.02,"RV2P1.csv"
"Stenothoidae","swimming",0.0012,"invertebrate",0.002,"RV2P1.csv"
"Palaemon elegans","swimming",1.01,"invertebrate",2.01,"RV2P1.csv"
"Lophozozymus incisus","walking",1.15,"invertebrate",2.3,"RV2P1.csv"
"Pirimela denticulata","walking",0.009,"invertebrate",0.009,"RV2P1.csv"
"Codium sp.","sessile",0.000228,"primary producer",21.9,"RV2P1.csv"
"Leathesia marina","sessile",0.000228,"primary producer",27.03,"RV2P1.csv"
"Colpomenia peregrina","sessile",0.000228,"primary producer",43.45,"RV2P1.csv"
"Cystoseira sp.","sessile",0.000228,"primary producer",8.43,"RV2P1.csv"
"Sphacelaria cirrosa","sessile",0.000228,"primary producer",77.3,"RV2P1.csv"
"Anemonia sulcata","sessile",34.33,"invertebrate",206,"RV2P1.csv"
"Asparagopsis armata","sessile",0.000228,"primary producer",76.4,"RV2P1.csv"
"Ellisolandia elongata","sessile",0.000228,"primary producer",3200,"RV2P1.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",0.01,"RV2P1.csv"
"Ceramium ciliatum","sessile",0.000228,"primary producer",0.1,"RV2P1.csv"
"Nemertea","walking",5e-04,"invertebrate",5e-04,"RV2P1.csv"
"Chrysallida pellucida","walking",0.0052,"invertebrate",0.005,"RV2P1.csv"
"Nucella sp.","walking",0.0064,"invertebrate",0.006,"RV2P1.csv"
