"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"SF1M4.csv"
"Mytilus sp.","sessile",2.4119,"invertebrate",26.52,"SF1M4.csv"
"Zooplankton","swimming",0.001,"invertebrate",10,"SF1M4.csv"
"Hediste diversicolor","walking",0.0115,"invertebrate",0.03,"SF1M4.csv"
"Oligochaeta","walking",0.0011,"invertebrate",0.008,"SF1M4.csv"
"Macoma balthica","sessile",0.0576,"invertebrate",0.06,"SF1M4.csv"
"Gammarus oceanicus","swimming",0.1525,"invertebrate",1.52,"SF1M4.csv"
"Balanus crenatus","sessile",0.0955,"invertebrate",0.09,"SF1M4.csv"
"Fucus","sessile",0.000228,"primary producer",13.41,"SF1M4.csv"
"Testudinalia testudinalis","walking",0.2328,"invertebrate",0.7,"SF1M4.csv"
"Littorina obtusata","walking",0.0834,"invertebrate",1.49,"SF1M4.csv"
"Littorina saxatilis","walking",0.0467,"invertebrate",0.93,"SF1M4.csv"
"Petalonia fascia","sessile",0.000228,"primary producer",2.29,"SF1M4.csv"
"Ralfsia fungiformis","sessile",0.000228,"primary producer",0.1,"SF1M4.csv"
"Ralfsia verrucosa","sessile",0.000228,"primary producer",0.1,"SF1M4.csv"
