"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"SF2I3.csv"
"Naineris quadricuspida","walking",0.0042,"invertebrate",0.004,"SF2I3.csv"
"Mytilus sp.","sessile",0.9823,"invertebrate",16.85,"SF2I3.csv"
"Zooplankton","swimming",0.001,"invertebrate",10,"SF2I3.csv"
"Oligochaeta","walking",2e-04,"invertebrate",2e-04,"SF2I3.csv"
"Gammarus oceanicus","swimming",0.1977,"invertebrate",1.98,"SF2I3.csv"
"Ulvaria obscura","sessile",0.000228,"primary producer",2.13,"SF2I3.csv"
"Testudinalia testudinalis","walking",0.2621,"invertebrate",2.79,"SF2I3.csv"
"Littorina saxatilis","walking",0.0944,"invertebrate",0.09,"SF2I3.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"SF2I3.csv"
"Ralfsia verrucosa","sessile",0.000228,"primary producer",0.1,"SF2I3.csv"
"Rhodomela confervoides","sessile",0.000228,"primary producer",102.08,"SF2I3.csv"
"Polysiphonia sp.","sessile",0.000228,"primary producer",26.55,"SF2I3.csv"
"Clathromorphum circumscriptum","sessile",0.000228,"primary producer",0.1,"SF2I3.csv"
"Diatomophyceae","sessile",2e-04,"primary producer",13,"SF2I3.csv"
