"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",0.5,"SP1.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"SP1.csv"
"Zooplankton","swimming",0.001,"invertebrate",3,"SP1.csv"
"Tetraclita stalactifera","sessile",0.008,"invertebrate",0.008,"SP1.csv"
"Eurypanopeus abreviatus","walking",0.01,"invertebrate",0.1,"SP1.csv"
"Crassostrea virginica","sessile",10.85,"invertebrate",10.85,"SP1.csv"
"Tanaidacea","walking",0.01,"invertebrate",0.001,"SP1.csv"
"Polychaeta","walking",0.01,"invertebrate",0.01,"SP1.csv"
"Bathygobius soporator","swimming",4.41,"ectotherm vertebrate",105.79,"SP1.csv"
"Palaemon northropi","swimming",0.206,"invertebrate",1.03,"SP1.csv"
"Callinectes sapidus","walking",3.89,"invertebrate",3.86,"SP1.csv"
