"","Oocyctis sp.","Diaptomus minutus","Cryptomonas ovata","Keratella taurocephala","Gymnodinium palustre","Tropocyclops prasinus","Mallomonas sp.","Trichocerca cylindrica","Navicula sp.","Bosmina longirostris","Trichotria tetractis","Botryococcus braunii","copepod nauplii","Mesocyclops edax","Peridinium inconspicuum"
"Oocyctis sp.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaptomus minutus",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cryptomonas ovata",0,1,0,1,0,0,0,1,0,1,1,0,1,0,0
"Keratella taurocephala",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Gymnodinium palustre",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Tropocyclops prasinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mallomonas sp.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trichocerca cylindrica",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Navicula sp.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bosmina longirostris",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Trichotria tetractis",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Botryococcus braunii",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"copepod nauplii",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Mesocyclops edax",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Peridinium inconspicuum",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
