"","benthic detritus","Pimephales notatus","Ictalurus nebulosus","Luxilus cornutus","fish fry","Chydorus sphaericus","Catostomus commersoni","fish eggs","Perca flavescens","Oocyctis sp.","Daphnia catawba","Daphnia galeata","Daphnia longiremis","Daphnia retrocurva","Diaptomus minutus","Gymnodinium palustre","Tropocyclops prasinus","Holopedium gibberum","Mesocyclops edax","Lyngbya sp.","Mallomonas sp.","Cyclops vernalis","Fragilaria crotonensis","Sphaerocystis schroeteri","Tabellaria fenestrata","Tabellaria flocculosa","Chrysocapsa planktonica","Epishura lacustris","Chrysosphaerella longispina","Dictyosphaerium pulchellum","Tetraedron caudatum","Schroederia setigera","Melosira sp.","Asterionella formosa","Pediastrum tetras","Cosmarium sp.","Arthrodesmus incus","Scenedesmus sp.","Cyclotella sp.","Crucigenia quadrata","Crucigenia tetrapaedia","Rhabdoderma sp.","Botryococcus braunii","Ankistrodesmus spiralis","Merismopedia tenuissima","Leptodora kindtii","Chroococcus limneticus","Aphanocapsa sp.","Anacystis incerta","copepod nauplii","Salvelinus fontinalis large","Salvelinus fontinalis small","Colletheca mutabilis","Keratella crassa","Bosmina longirostris","Notemigonus crysoleucas","Gastropus stylifer","Polyarthra vulgaris","Fundulus diaphanus","Conochiloides unicornis","Kelicottia longispina","Diaphanosoma birgei","Keratella cochlearis","Peridinium inconspicuum","nanoflagellates "
"benthic detritus",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pimephales notatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ictalurus nebulosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxilus cornutus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"fish fry",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chydorus sphaericus",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Catostomus commersoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"fish eggs",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Perca flavescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oocyctis sp.",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
