,benthic detritus,Acantholeberis curvirostris,Chydorus sphaericus,Oocyctis sp.,Diaptomus minutus,Cryptomonas erosa,Keratella taurocephala,Cryptomonas ovata,Gymnodinium palustre,Cyclops scutifer,Mallomonas sp.,Dinobryon bavaricum,Dinobryon sp.,Navicula sp.,Monostyla lunaris,Diceras sp.,Merismopedia punctata,copepod nauplii,Peridinium inconspicuum
benthic detritus,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acantholeberis curvirostris,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chydorus sphaericus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Oocyctis sp.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diaptomus minutus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cryptomonas erosa,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Keratella taurocephala,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cryptomonas ovata,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Gymnodinium palustre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cyclops scutifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mallomonas sp.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinobryon bavaricum,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinobryon sp.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navicula sp.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monostyla lunaris,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Diceras sp.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merismopedia punctata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copepod nauplii,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Peridinium inconspicuum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
