"","benthic detritus","Rhinichthys atratulus","Luxilus cornutus","Semotilus atromaculatus","fish fry","Catostomus commersoni","fish eggs","Oocyctis sp.","Daphnia catawba","Daphnia galeata","Diaptomus minutus","Cryptomonas erosa","Keratella cochlearis","Keratella taurocephala","Kelicottia longispina","Holopedium gibberum","Mallomonas sp.","Staurastrum sp.","Pleurosigma sp.","Trichocerca cylindrica","Conochiloides unicornis","Dinobryon divergens","Sphaerocystis schroeteri","Chrysocapsa planktonica","Ploesoma truncatum","Navicula sp.","Spondylosium planum","Chrysosphaerella longispina","Dictyosphaerium pulchellum","Schroederia setigera","Polyarthra major","Asterionella formosa","Bosmina longirostris","Keratella crassa","Arthrodesmus incus","Elakatrothrix gelatinosa","Crucigenia quadrata","Crucigenia rectangularis","Botryococcus braunii","Ankistrodesmus falcatus","copepod nauplii","Tropocyclops prasinus","Mesocyclops edax","Cyclops bicuspidatus","Epishura lacustris","Salvelinus fontinalis large","Salvelinus fontinalis small","Oncorhynchus mykiss","Semotilus corporalis"
"benthic detritus",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhinichthys atratulus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"Luxilus cornutus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"Semotilus atromaculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"fish fry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"Catostomus commersoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"fish eggs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oocyctis sp.",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daphnia catawba",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Daphnia galeata",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
