"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Balsam lake_Acantholeberis curvirostris","Acantholeberis curvirostris","Adirondack lakes","Balsam lake","Acantholeberis curvirostris","species","water flea",NA,"invertebrate","swimming",4.01e-05,"USA",-74.8,43.63,"lakes",593,1,"","Balsam lake","Acantholeberis curvirostris",1,0,93,0,0,NA,9.3e-05,"zooplankton",-4.03151705144607,-4.39685562737982,NA,NA,-4.03151705144607,9.29999999999999e-05,3.7293e-09,"g.ml"
"2","Balsam lake_Ankistrodesmus sp.","Ankistrodesmus sp.","Adirondack lakes","Balsam lake","Ankistrodesmus sp.","genus","green algae",NA,"primary producer","floating",2.57e-11,"USA",-74.8,43.63,"lakes",593,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"phytoplankton",NA,-10.5900668766687,NA,NA,NA,NA,NA,"g.ml"
"3","Balsam lake_Ankistrodesmus spiralis","Ankistrodesmus spiralis","Adirondack lakes","Balsam lake","Ankistrodesmus spiralis","species","green algae",NA,"primary producer","floating",2.57e-11,"USA",-74.8,43.63,"lakes",593,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"phytoplankton",NA,-10.5900668766687,NA,NA,NA,NA,NA,"g.ml"
"4","Balsam lake_Beauchampiella eudactylota","Beauchampiella eudactylota","Adirondack lakes","Balsam lake","Beauchampiella eudactylota","species","rotifer",NA,"invertebrate","swimming",2.25e-05,"USA",-74.8,43.63,"lakes",593,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooplankton",NA,-4.64781748188864,NA,NA,NA,NA,NA,"g.ml"
"5","Balsam lake_benthic detritus","benthic detritus","Adirondack lakes","Balsam lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.8,43.63,"lakes",593,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"6","Balsam lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Balsam lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.8,43.63,"lakes",593,1,"","Balsam lake","Bosmina longirostris",1,0,586,0,0,NA,0.000586,"zooplankton",-3.23210238398191,-5.80966830182971,NA,NA,-3.23210238398191,0.000586,9.083e-10,"g.ml"
"7","Balsam lake_Catostomus commersoni","Catostomus commersoni","Adirondack lakes","Balsam lake","Catostomus commersoni","species","white sucker",NA,"ectotherm vertebrate","swimming",60,"USA",-74.8,43.63,"lakes",593,1,"","Balsam lake","Catostomus commersoni",1,0,0,61,30.65326633,1.99000000010766,NA,"fish",NA,1.77815125038364,0.298853076433201,-7.51745174474167,-7.51745174474167,3.03772360024919e-08,1.82263416014951e-06,"g.ml"
"8","Balsam lake_Ceratium carolinianum","Ceratium carolinianum","Adirondack lakes","Balsam lake","Ceratium carolinianum","species","dinoflagellate",NA,"primary producer","swimming",2.57e-09,"USA",-74.8,43.63,"lakes",593,1,"","Balsam lake","Ceratium carolinianum",1,0.3,0,0,0,NA,0.3,"phytoplankton",-0.522878745280338,-8.59006687666871,NA,NA,-0.522878745280338,0.3,7.71e-10,"g.ml"
"9","Balsam lake_Chroococcus limneticus","Chroococcus limneticus","Adirondack lakes","Balsam lake","Chroococcus limneticus","species","cyanobacteria",NA,"primary producer","floating",1.53e-11,"USA",-74.8,43.63,"lakes",593,1,"","Balsam lake","Chroococcus limneticus",1,10,0,0,0,NA,10,"phytoplankton",1,-10.8153085691824,NA,NA,1,10,1.53e-10,"g.ml"
"10","Balsam lake_Chrosomus eos","Chrosomus eos","Adirondack lakes","Balsam lake","Chrosomus eos","species","northern redbelly dace",NA,"ectotherm vertebrate","swimming",2.4,"USA",-74.8,43.63,"lakes",593,1,"","Balsam lake","Chrosomus eos",2,0,0,5,29.67032967,0.168518518520391,NA,"fish",NA,0.380211241711606,-0.773352367497049,-8.58965718867193,-8.58965718867193,2.57242553146094e-09,6.17382127550627e-09,"g.ml"
"11","Balsam lake_Chydorus bicornutus","Chydorus bicornutus","Adirondack lakes","Balsam lake","Chydorus bicornutus","species","water flea",NA,"invertebrate","swimming",2.18e-06,"USA",-74.8,43.63,"lakes",593,1,"","Balsam lake","Chydorus bicornutus",1,0,15278,0,0,NA,0.015278,"zooplankton",-1.81593349430834,-5.66154350639539,NA,NA,-1.81593349430834,0.015278,3.330604e-08,"g.ml"
"12","Balsam lake_Chydorus sphaericus","Chydorus sphaericus","Adirondack lakes","Balsam lake","Chydorus sphaericus","species","water flea",NA,"invertebrate","swimming",2.18e-06,"USA",-74.8,43.63,"lakes",593,1,"","Balsam lake","Chydorus sphaericus",1,0,401,0,0,NA,0.000401,"zooplankton",-3.39685562737982,-5.66154350639539,NA,NA,-3.39685562737982,0.000401,8.7418e-10,"g.ml"
"13","Balsam lake_Closterium sp.","Closterium sp.","Adirondack lakes","Balsam lake","Closterium sp.","genus","phytoplankton",NA,"primary producer","floating",9.14e-11,"USA",-74.8,43.63,"lakes",593,1,"","Balsam lake","Closterium sp.",1,1.5,0,0,0,NA,1.5,"phytoplankton",0.176091259055681,-10.0390538042662,NA,NA,0.176091259055681,1.5,1.371e-10,"g.ml"
