"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Bridge brook lake_Anacystis incerta","Anacystis incerta","Adirondack lakes","Bridge brook lake","Anacystis incerta","species","cyanobacteria",NA,"primary producer","floating",4.99e-12,"USA",-74.57,44.16,"lakes",486,1,"","Bridge brook lake","Anacystis incerta",1,7,0,0,0,NA,7,"phytoplankton",0.845098040014257,-11.3018994543766,NA,NA,0.845098040014257,7,3.493e-11,"g.ml"
"2","Bridge brook lake_Ankistrodesmus falcatus","Ankistrodesmus falcatus","Adirondack lakes","Bridge brook lake","Ankistrodesmus falcatus","species","green algae",NA,"primary producer","floating",2.57e-11,"USA",-74.57,44.16,"lakes",486,1,"","Bridge brook lake","Ankistrodesmus falcatus",1,360.5,0,0,0,NA,360.5,"phytoplankton",2.55690526905545,-10.5900668766687,NA,NA,2.55690526905545,360.5,9.26485e-09,"g.ml"
"3","Bridge brook lake_Aphanocapsa sp.","Aphanocapsa sp.","Adirondack lakes","Bridge brook lake","Aphanocapsa sp.","genus","cyanobacteria",NA,"primary producer","floating",7.82e-12,"USA",-74.57,44.16,"lakes",486,1,"","Bridge brook lake","Aphanocapsa sp.",1,52.5,0,0,0,NA,52.5,"phytoplankton",1.72015930340596,-11.1067932469402,NA,NA,1.72015930340596,52.5,4.1055e-10,"g.ml"
"4","Bridge brook lake_Aphanothece sp.","Aphanothece sp.","Adirondack lakes","Bridge brook lake","Aphanothece sp.","genus","cyanobacteria",NA,"primary producer","floating",1.51e-10,"USA",-74.57,44.16,"lakes",486,1,"","Bridge brook lake","Aphanothece sp.",1,147,0,0,0,NA,147,"phytoplankton",2.16731733474818,-9.82102305270683,NA,NA,2.16731733474818,147,2.2197e-08,"g.ml"
"5","Bridge brook lake_Asplanchna sp.","Asplanchna sp.","Adirondack lakes","Bridge brook lake","Asplanchna sp.","genus","rotifer",NA,"invertebrate","swimming",7.35e-06,"USA",-74.57,44.16,"lakes",486,1,"","Bridge brook lake","Asplanchna sp.",1,0,1953,0,0,NA,0.001953,"zooplankton",-2.70929775671215,-5.1337126609158,NA,NA,-2.70929775671215,0.001953,1.435455e-08,"g.ml"
"6","Bridge brook lake_benthic detritus","benthic detritus","Adirondack lakes","Bridge brook lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.57,44.16,"lakes",486,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"7","Bridge brook lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Bridge brook lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.57,44.16,"lakes",486,1,"","Bridge brook lake","Bosmina longirostris",1,0,8310,0,0,NA,0.00831,"zooplankton",-2.08039897621589,-5.80966830182971,NA,NA,-2.08039897621589,0.00831,1.28805e-08,"g.ml"
"8","Bridge brook lake_Botryococcus braunii","Botryococcus braunii","Adirondack lakes","Bridge brook lake","Botryococcus braunii","species","phytoplankton",NA,"primary producer","floating",3.64e-11,"USA",-74.57,44.16,"lakes",486,1,"","Bridge brook lake","Botryococcus braunii",1,10.5,0,0,0,NA,10.5,"phytoplankton",1.02118929906994,-10.4388986163509,NA,NA,1.02118929906994,10.5,3.822e-10,"g.ml"
"9","Bridge brook lake_Catostomus commersoni","Catostomus commersoni","Adirondack lakes","Bridge brook lake","Catostomus commersoni","species","white sucker",NA,"ectotherm vertebrate","swimming",170,"USA",-74.57,44.16,"lakes",486,1,"","Bridge brook lake","Catostomus commersoni",2,0,0,147,143.9849624,1.02093994782333,NA,"fish",NA,2.23044892137827,0.00900019742876315,-7.80730462374611,-7.80730462374611,1.55845898179514e-08,2.64938026905174e-06,"g.ml"
"10","Bridge brook lake_Chroococcus limneticus","Chroococcus limneticus","Adirondack lakes","Bridge brook lake","Chroococcus limneticus","species","cyanobacteria",NA,"primary producer","floating",1.53e-11,"USA",-74.57,44.16,"lakes",486,1,"","Bridge brook lake","Chroococcus limneticus",1,234.5,0,0,0,NA,234.5,"phytoplankton",2.3701428470511,-10.8153085691824,NA,NA,2.3701428470511,234.5,3.58785e-09,"g.ml"
