"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Chub pond_Ambloplites rupestris","Ambloplites rupestris","Adirondack lakes","Chub pond","Ambloplites rupestris","species","rock bass",NA,"ectotherm vertebrate","swimming",97,"USA",-75.06,43.55,"lakes",485,1,"","Chub pond","Ambloplites rupestris",1,0,0,6,46.15384615,0.130000000010833,NA,"fish",NA,1.98677173426624,-0.886056647656972,-8.70236146883185,-8.70236146883185,1.98444255298462e-09,1.92490927639508e-07,"g.ml"
"2","Chub pond_Asplanchna sp.","Asplanchna sp.","Adirondack lakes","Chub pond","Asplanchna sp.","genus","rotifer",NA,"invertebrate","swimming",7.35e-06,"USA",-75.06,43.55,"lakes",485,1,"","Chub pond","Asplanchna sp.",1,0,78,0,0,NA,7.8e-05,"zooplankton",-4.10790539730952,-5.1337126609158,NA,NA,-4.10790539730952,7.80000000000001e-05,5.733e-10,"g.ml"
"3","Chub pond_benthic detritus","benthic detritus","Adirondack lakes","Chub pond","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-75.06,43.55,"lakes",485,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"4","Chub pond_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Chub pond","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-75.06,43.55,"lakes",485,1,"","Chub pond","Bosmina longirostris",1,0,6514,0,0,NA,0.006514,"zooplankton",-2.18615224577115,-5.80966830182971,NA,NA,-2.18615224577115,0.006514,1.00967e-08,"g.ml"
"5","Chub pond_Catostomus catostomus","Catostomus catostomus","Adirondack lakes","Chub pond","Catostomus catostomus","species","longnose sucker",NA,"ectotherm vertebrate","swimming",300,"USA",-75.06,43.55,"lakes",485,1,"","Chub pond","Catostomus catostomus",1,0,0,1,50,0.02,NA,"fish",NA,2.47712125471966,-1.69897000433602,-9.51527482551089,-9.51527482551089,3.05298854279886e-10,9.15896562839657e-08,"g.ml"
"6","Chub pond_Catostomus commersoni","Catostomus commersoni","Adirondack lakes","Chub pond","Catostomus commersoni","species","white sucker",NA,"ectotherm vertebrate","swimming",252,"USA",-75.06,43.55,"lakes",485,1,"","Chub pond","Catostomus commersoni",1,0,0,87,47.2826087,1.8399999998308,NA,"fish",NA,2.40140054078154,0.264817822969601,-7.55148699820527,-7.55148699820527,2.80874945911667e-08,7.078048636974e-06,"g.ml"
"7","Chub pond_Ceriodaphnia quadrangula","Ceriodaphnia quadrangula","Adirondack lakes","Chub pond","Ceriodaphnia quadrangula","species","water flea",NA,"invertebrate","swimming",5.85e-06,"USA",-75.06,43.55,"lakes",485,1,"","Chub pond","Ceriodaphnia quadrangula",1,0,35,0,0,NA,3.5e-05,"zooplankton",-4.45593195564972,-5.23284413391782,NA,NA,-4.45593195564972,3.5e-05,2.0475e-10,"g.ml"
"8","Chub pond_Chroococcus limneticus","Chroococcus limneticus","Adirondack lakes","Chub pond","Chroococcus limneticus","species","cyanobacteria",NA,"primary producer","floating",1.53e-11,"USA",-75.06,43.55,"lakes",485,1,"","Chub pond","Chroococcus limneticus",1,1.4,0,0,0,NA,1.4,"phytoplankton",0.146128035678238,-10.8153085691824,NA,NA,0.146128035678238,1.4,2.142e-11,"g.ml"
"9","Chub pond_Chrysosphaerella longispina","Chrysosphaerella longispina","Adirondack lakes","Chub pond","Chrysosphaerella longispina","species","phytoplankton",NA,"primary producer","floating",7.65e-10,"USA",-75.06,43.55,"lakes",485,1,"","Chub pond","Chrysosphaerella longispina",1,2.1,0,0,0,NA,2.1,"phytoplankton",0.322219294733919,-9.11633856484638,NA,NA,0.322219294733919,2.1,1.6065e-09,"g.ml"
"10","Chub pond_Coelastrum cambricum","Coelastrum cambricum","Adirondack lakes","Chub pond","Coelastrum cambricum","species","phytoplankton",NA,"primary producer","floating",1.49e-09,"USA",-75.06,43.55,"lakes",485,1,"","Chub pond","Coelastrum cambricum",1,1.6,0,0,0,NA,1.6,"phytoplankton",0.204119982655925,-8.82681373158773,NA,NA,0.204119982655925,1.6,2.384e-09,"g.ml"
"11","Chub pond_Colletheca mutabilis","Colletheca mutabilis","Adirondack lakes","Chub pond","Colletheca mutabilis","species","rotifer",NA,"invertebrate","swimming",3.21e-05,"USA",-75.06,43.55,"lakes",485,1,"","Chub pond","Colletheca mutabilis",1,0,547,0,0,NA,0.000547,"zooplankton",-3.26201267366657,-4.49349496759513,NA,NA,-3.26201267366657,0.000547,1.75587e-08,"g.ml"
