"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Deep lake_Acantholeberis curvirostris","Acantholeberis curvirostris","Adirondack lakes","Deep lake","Acantholeberis curvirostris","species","water flea",NA,"invertebrate","swimming",4.01e-05,"USA",-74.66,43.62,"lakes",789,1,"","Deep lake","Acantholeberis curvirostris",1,0,4,0,0,NA,4e-06,"zooplankton",-5.39794000867204,-4.39685562737982,NA,NA,-5.39794000867204,4e-06,1.604e-10,"g.ml"
"2","Deep lake_benthic detritus","benthic detritus","Adirondack lakes","Deep lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.66,43.62,"lakes",789,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"3","Deep lake_Chydorus sphaericus","Chydorus sphaericus","Adirondack lakes","Deep lake","Chydorus sphaericus","species","water flea",NA,"invertebrate","swimming",2.18e-06,"USA",-74.66,43.62,"lakes",789,1,"","Deep lake","Chydorus sphaericus",1,0,12,0,0,NA,1.2e-05,"zooplankton",-4.92081875395237,-5.66154350639539,NA,NA,-4.92081875395237,1.2e-05,2.616e-11,"g.ml"
"4","Deep lake_copepod nauplii","copepod nauplii","Adirondack lakes","Deep lake","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.66,43.62,"lakes",789,1,"","Deep lake","copepod nauplii",1,0,156,0,0,NA,0.000156,"zooplankton",-3.80687540164554,-5.55284196865778,NA,NA,-3.80687540164554,0.000156,4.368e-10,"g.ml"
"5","Deep lake_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","Deep lake","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.66,43.62,"lakes",789,1,"","Deep lake","Cryptomonas erosa",1,44.8,0,0,0,NA,44.8,"phytoplankton",1.65127801399814,-10.3233063903751,NA,NA,1.65127801399814,44.8,2.128e-09,"g.ml"
"6","Deep lake_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","Deep lake","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.66,43.62,"lakes",789,1,"","Deep lake","Cryptomonas ovata",1,8.8,0,0,0,NA,8.8,"phytoplankton",0.944482672150169,-10.3233063903751,NA,NA,0.944482672150169,8.8,4.18e-10,"g.ml"
"7","Deep lake_Cyclops scutifer","Cyclops scutifer","Adirondack lakes","Deep lake","Cyclops scutifer","species","copepod",NA,"invertebrate","swimming",2.24e-05,"USA",-74.66,43.62,"lakes",789,1,"","Deep lake","Cyclops scutifer",1,0,4,0,0,NA,4e-06,"zooplankton",-5.39794000867204,-4.64975198166584,NA,NA,-5.39794000867204,4e-06,8.96e-11,"g.ml"
"8","Deep lake_Diaptomus minutus","Diaptomus minutus","Adirondack lakes","Deep lake","Diaptomus minutus","species","copepod",NA,"invertebrate","swimming",1.44e-05,"USA",-74.66,43.62,"lakes",789,1,"","Deep lake","Diaptomus minutus",1,0,19146,0,0,NA,0.019146,"zooplankton",-1.71792194542285,-4.84163750790475,NA,NA,-1.71792194542285,0.019146,2.757024e-07,"g.ml"
"9","Deep lake_Diceras sp.","Diceras sp.","Adirondack lakes","Deep lake","Diceras sp.","genus","golden-brown algae",NA,"primary producer","floating",8.86e-11,"USA",-74.66,43.62,"lakes",789,1,"","Deep lake","Diceras sp.",1,33.5,0,0,0,NA,33.5,"phytoplankton",1.52504480703685,-10.052566278113,NA,NA,1.52504480703685,33.5,2.9681e-09,"g.ml"
"10","Deep lake_Dinobryon bavaricum","Dinobryon bavaricum","Adirondack lakes","Deep lake","Dinobryon bavaricum","species","golden-brown algae",NA,"primary producer","floating",1.36e-09,"USA",-74.66,43.62,"lakes",789,1,"","Deep lake","Dinobryon bavaricum",1,0.3,0,0,0,NA,0.3,"phytoplankton",-0.522878745280338,-8.86646109162978,NA,NA,-0.522878745280338,0.3,4.08e-10,"g.ml"
"11","Deep lake_Dinobryon sp.","Dinobryon sp.","Adirondack lakes","Deep lake","Dinobryon sp.","genus","golden-brown algae",NA,"primary producer","floating",1.36e-09,"USA",-74.66,43.62,"lakes",789,1,"","Deep lake","Dinobryon sp.",1,1.4,0,0,0,NA,1.4,"phytoplankton",0.146128035678238,-8.86646109162978,NA,NA,0.146128035678238,1.4,1.904e-09,"g.ml"
"12","Deep lake_Gymnodinium palustre","Gymnodinium palustre","Adirondack lakes","Deep lake","Gymnodinium palustre","species","phytoplankton",NA,"primary producer","floating",9.39e-09,"USA",-74.66,43.62,"lakes",789,1,"","Deep lake","Gymnodinium palustre",1,10.5,0,0,0,NA,10.5,"phytoplankton",1.02118929906994,-8.02733440773389,NA,NA,1.02118929906994,10.5,9.8595e-08,"g.ml"
"13","Deep lake_Keratella taurocephala","Keratella taurocephala","Adirondack lakes","Deep lake","Keratella taurocephala","species","rotifer",NA,"invertebrate","swimming",1e-08,"USA",-74.66,43.62,"lakes",789,1,"","Deep lake","Keratella taurocephala",1,0,41109,0,0,NA,0.041109,"zooplankton",-1.38606308755349,-8,NA,NA,-1.38606308755349,0.041109,4.1109e-10,"g.ml"
"14","Deep lake_Mallomonas sp.","Mallomonas sp.","Adirondack lakes","Deep lake","Mallomonas sp.","genus","golden-brown algae",NA,"primary producer","floating",5.65e-09,"USA",-74.66,43.62,"lakes",789,1,"","Deep lake","Mallomonas sp.",1,8.8,0,0,0,NA,8.8,"phytoplankton",0.944482672150169,-8.24795155218056,NA,NA,0.944482672150169,8.8,4.972e-08,"g.ml"
"15","Deep lake_Merismopedia punctata","Merismopedia punctata","Adirondack lakes","Deep lake","Merismopedia punctata","species","cyanobacteria",NA,"primary producer","floating",2.41e-11,"USA",-74.66,43.62,"lakes",789,1,"","Deep lake","Merismopedia punctata",1,5.6,0,0,0,NA,5.6,"phytoplankton",0.7481880270062,-10.6179829574251,NA,NA,0.7481880270062,5.6,1.3496e-10,"g.ml"
"16","Deep lake_Monostyla lunaris","Monostyla lunaris","Adirondack lakes","Deep lake","Monostyla lunaris","species","rotifer",NA,"invertebrate","swimming",1.37e-06,"USA",-74.66,43.62,"lakes",789,1,"","Deep lake","Monostyla lunaris",1,0,10,0,0,NA,1e-05,"zooplankton",-5,-5.86327943284359,NA,NA,-5,1e-05,1.37e-11,"g.ml"
"17","Deep lake_Navicula sp.","Navicula sp.","Adirondack lakes","Deep lake","Navicula sp.","genus","diatom",NA,"primary producer","floating",9.01e-10,"USA",-74.66,43.62,"lakes",789,1,"","Deep lake","Navicula sp.",1,0.7,0,0,0,NA,0.7,"phytoplankton",-0.154901959985743,-9.04527520902094,NA,NA,-0.154901959985743,0.7,6.307e-10,"g.ml"
"18","Deep lake_Oocyctis sp.","Oocyctis sp.","Adirondack lakes","Deep lake","Oocyctis sp.","genus","green algae",NA,"primary producer","floating",8.61e-08,"USA",-74.66,43.62,"lakes",789,1,"","Deep lake","Oocyctis sp.",1,1.5,0,0,0,NA,1.5,"phytoplankton",0.176091259055681,-7.06499684854635,NA,NA,0.176091259055681,1.5,1.2915e-07,"g.ml"
