"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Falls lake_benthic detritus","benthic detritus","Adirondack lakes","Falls lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.68,43.63,"lakes",759,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"2","Falls lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Falls lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.68,43.63,"lakes",759,1,"","Falls lake","Bosmina longirostris",1,0,415,0,0,NA,0.000415,"zooplankton",-3.38195190328791,-5.80966830182971,NA,NA,-3.38195190328791,0.000415,6.4325e-10,"g.ml"
"3","Falls lake_Botryococcus braunii","Botryococcus braunii","Adirondack lakes","Falls lake","Botryococcus braunii","species","phytoplankton",NA,"primary producer","floating",3.64e-11,"USA",-74.68,43.63,"lakes",759,1,"","Falls lake","Botryococcus braunii",1,0,0,0,0,NA,NA,"phytoplankton",NA,-10.4388986163509,NA,NA,NA,NA,NA,"g.ml"
"4","Falls lake_Chydorus sphaericus","Chydorus sphaericus","Adirondack lakes","Falls lake","Chydorus sphaericus","species","water flea",NA,"invertebrate","swimming",2.18e-06,"USA",-74.68,43.63,"lakes",759,1,"","Falls lake","Chydorus sphaericus",1,0,13,0,0,NA,1.3e-05,"zooplankton",-4.88605664769316,-5.66154350639539,NA,NA,-4.88605664769316,1.3e-05,2.834e-11,"g.ml"
"5","Falls lake_Closterium sp.","Closterium sp.","Adirondack lakes","Falls lake","Closterium sp.","genus","phytoplankton",NA,"primary producer","floating",9.14e-11,"USA",-74.68,43.63,"lakes",759,1,"","Falls lake","Closterium sp.",1,0,0,0,0,NA,NA,"phytoplankton",NA,-10.0390538042662,NA,NA,NA,NA,NA,"g.ml"
"6","Falls lake_Conochiloides dossuarius","Conochiloides dossuarius","Adirondack lakes","Falls lake","Conochiloides dossuarius","species","rotifer",NA,"invertebrate","swimming",1.83e-06,"USA",-74.68,43.63,"lakes",759,1,"","Falls lake","Conochiloides dossuarius",1,0,56,0,0,NA,5.6e-05,"zooplankton",-4.2518119729938,-5.73754891026957,NA,NA,-4.2518119729938,5.6e-05,1.0248e-10,"g.ml"
"7","Falls lake_copepod nauplii","copepod nauplii","Adirondack lakes","Falls lake","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.68,43.63,"lakes",759,1,"","Falls lake","copepod nauplii",1,0,2344,0,0,NA,0.002344,"zooplankton",-2.63004239265395,-5.55284196865778,NA,NA,-2.63004239265395,0.002344,6.5632e-09,"g.ml"
"8","Falls lake_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","Falls lake","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.68,43.63,"lakes",759,1,"","Falls lake","Cryptomonas erosa",1,12.9,0,0,0,NA,12.9,"phytoplankton",1.11058971029925,-10.3233063903751,NA,NA,1.11058971029925,12.9,6.1275e-10,"g.ml"
"9","Falls lake_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","Falls lake","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.68,43.63,"lakes",759,1,"","Falls lake","Cryptomonas ovata",1,3.5,0,0,0,NA,3.5,"phytoplankton",0.544068044350276,-10.3233063903751,NA,NA,0.544068044350276,3.5,1.6625e-10,"g.ml"
"10","Falls lake_Daphnia catawba","Daphnia catawba","Adirondack lakes","Falls lake","Daphnia catawba","species","daphnia",NA,"invertebrate","swimming",1e-05,"USA",-74.68,43.63,"lakes",759,1,"","Falls lake","Daphnia catawba",1,0,172,0,0,NA,0.000172,"zooplankton",-3.76447155309245,-5,NA,NA,-3.76447155309245,0.000172,1.72e-09,"g.ml"
