"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Fawn lake_Acroperus harpae","Acroperus harpae","Adirondack lakes","Fawn lake","Acroperus harpae","species","water flea",NA,"invertebrate","swimming",3.2e-06,"USA",-74.78,43.71,"lakes",594,1,"","Fawn lake","Acroperus harpae",1,0,286,0,0,NA,0.000286,"zooplankton",-3.54363396687096,-5.49485002168009,NA,NA,-3.54363396687096,0.000286,9.152e-10,"g.ml"
"2","Fawn lake_Alona rectangula","Alona rectangula","Adirondack lakes","Fawn lake","Alona rectangula","species","water flea",NA,"invertebrate","swimming",4.42e-06,"USA",-74.78,43.71,"lakes",594,1,"","Fawn lake","Alona rectangula",1,0,1571,0,0,NA,0.001571,"zooplankton",-2.80382381496003,-5.35457773065091,NA,NA,-2.80382381496003,0.001571,6.94382e-09,"g.ml"
"3","Fawn lake_Ankistrodesmus falcatus","Ankistrodesmus falcatus","Adirondack lakes","Fawn lake","Ankistrodesmus falcatus","species","green algae",NA,"primary producer","floating",2.57e-11,"USA",-74.78,43.71,"lakes",594,1,"","Fawn lake","Ankistrodesmus falcatus",1,0.5,0,0,0,NA,0.5,"phytoplankton",-0.301029995663981,-10.5900668766687,NA,NA,-0.301029995663981,0.5,1.285e-11,"g.ml"
"4","Fawn lake_benthic detritus","benthic detritus","Adirondack lakes","Fawn lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.78,43.71,"lakes",594,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"5","Fawn lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Fawn lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.78,43.71,"lakes",594,1,"","Fawn lake","Bosmina longirostris",1,0,21857,0,0,NA,0.021857,"zooplankton",-1.66040944773196,-5.80966830182971,NA,NA,-1.66040944773196,0.021857,3.387835e-08,"g.ml"
"6","Fawn lake_Chydorus sphaericus","Chydorus sphaericus","Adirondack lakes","Fawn lake","Chydorus sphaericus","species","water flea",NA,"invertebrate","swimming",2.18e-06,"USA",-74.78,43.71,"lakes",594,1,"","Fawn lake","Chydorus sphaericus",1,0,571,0,0,NA,0.000571,"zooplankton",-3.24336389175415,-5.66154350639539,NA,NA,-3.24336389175415,0.000571,1.24478e-09,"g.ml"
"7","Fawn lake_copepod nauplii","copepod nauplii","Adirondack lakes","Fawn lake","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.78,43.71,"lakes",594,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooplankton",NA,-5.55284196865778,NA,NA,NA,NA,NA,"g.ml"
"8","Fawn lake_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","Fawn lake","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.78,43.71,"lakes",594,1,"","Fawn lake","Cryptomonas erosa",1,13.5,0,0,0,NA,13.5,"phytoplankton",1.13033376849501,-10.3233063903751,NA,NA,1.13033376849501,13.5,6.4125e-10,"g.ml"
"9","Fawn lake_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","Fawn lake","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.78,43.71,"lakes",594,1,"","Fawn lake","Cryptomonas ovata",1,5.3,0,0,0,NA,5.3,"phytoplankton",0.724275869600789,-10.3233063903751,NA,NA,0.724275869600789,5.3,2.5175e-10,"g.ml"
"10","Fawn lake_Diaptomus minutus","Diaptomus minutus","Adirondack lakes","Fawn lake","Diaptomus minutus","species","copepod",NA,"invertebrate","swimming",1.44e-05,"USA",-74.78,43.71,"lakes",594,1,"","Fawn lake","Diaptomus minutus",1,0,65571,0,0,NA,0.065571,"zooplankton",-1.1832881930123,-4.84163750790475,NA,NA,-1.1832881930123,0.065571,9.442224e-07,"g.ml"
