"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Helldiver pond_Arthrodesmus incus","Arthrodesmus incus","Adirondack lakes","Helldiver pond","Arthrodesmus incus","species","phytoplankton",NA,"primary producer","floating",2.39e-10,"USA",-74.7,43.67,"lakes",566,1,"","Helldiver pond","Arthrodesmus incus",1,52.5,0,0,0,NA,52.5,"phytoplankton",1.72015930340596,-9.62160209905186,NA,NA,1.72015930340596,52.5,1.25475e-08,"g.ml"
"2","Helldiver pond_Asterionella formosa","Asterionella formosa","Adirondack lakes","Helldiver pond","Asterionella formosa","species","phytoplankton",NA,"primary producer","floating",5.12e-10,"USA",-74.7,43.67,"lakes",566,1,"","Helldiver pond","Asterionella formosa",1,17.5,0,0,0,NA,17.5,"phytoplankton",1.24303804868629,-9.29073003902417,NA,NA,1.24303804868629,17.5,8.96e-09,"g.ml"
"3","Helldiver pond_benthic detritus","benthic detritus","Adirondack lakes","Helldiver pond","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.7,43.67,"lakes",566,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"4","Helldiver pond_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Helldiver pond","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.7,43.67,"lakes",566,1,"","Helldiver pond","Bosmina longirostris",1,0,16197,0,0,NA,0.016197,"zooplankton",-1.7905654178091,-5.80966830182971,NA,NA,-1.7905654178091,0.016197,2.510535e-08,"g.ml"
"5","Helldiver pond_Carteria sp.","Carteria sp.","Adirondack lakes","Helldiver pond","Carteria sp.","genus","phytoplankton",NA,"primary producer","floating",9.71e-09,"USA",-74.7,43.67,"lakes",566,1,"","Helldiver pond","Carteria sp.",1,7.6,0,0,0,NA,7.6,"phytoplankton",0.880813592280791,-8.01278077009199,NA,NA,0.880813592280791,7.6,7.3796e-08,"g.ml"
"6","Helldiver pond_Catostomus commersoni","Catostomus commersoni","Adirondack lakes","Helldiver pond","Catostomus commersoni","species","white sucker",NA,"ectotherm vertebrate","swimming",520,"USA",-74.7,43.67,"lakes",566,1,"","Helldiver pond","Catostomus commersoni",1,0,0,2,40,0.05,NA,"fish",NA,2.7160033436348,-1.30102999566398,-9.11733481683886,-9.11733481683886,7.63247135699714e-10,3.96888510563851e-07,"g.ml"
"7","Helldiver pond_Conochiloides dossuarius","Conochiloides dossuarius","Adirondack lakes","Helldiver pond","Conochiloides dossuarius","species","rotifer",NA,"invertebrate","swimming",1.83e-06,"USA",-74.7,43.67,"lakes",566,1,"","Helldiver pond","Conochiloides dossuarius",1,0,11621,0,0,NA,0.011621,"zooplankton",-1.93475649881354,-5.73754891026957,NA,NA,-1.93475649881354,0.011621,2.126643e-08,"g.ml"
"8","Helldiver pond_copepod nauplii","copepod nauplii","Adirondack lakes","Helldiver pond","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.7,43.67,"lakes",566,1,"","Helldiver pond","copepod nauplii",1,0,36719,0,0,NA,0.036719,"zooplankton",-1.43510915482362,-5.55284196865778,NA,NA,-1.43510915482362,0.036719,1.028132e-07,"g.ml"
"9","Helldiver pond_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","Helldiver pond","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.7,43.67,"lakes",566,1,"","Helldiver pond","Cryptomonas erosa",1,7.6,0,0,0,NA,7.6,"phytoplankton",0.880813592280791,-10.3233063903751,NA,NA,0.880813592280791,7.6,3.61e-10,"g.ml"
"10","Helldiver pond_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","Helldiver pond","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.7,43.67,"lakes",566,1,"","Helldiver pond","Cryptomonas ovata",1,57.8,0,0,0,NA,57.8,"phytoplankton",1.76192783842053,-10.3233063903751,NA,NA,1.76192783842053,57.8,2.7455e-09,"g.ml"
