"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Horseshoe Lake_Ankistrodesmus falcatus","Ankistrodesmus falcatus","Adirondack lakes","Horseshoe Lake","Ankistrodesmus falcatus","species","green algae",NA,"primary producer","floating",2.57e-11,"USA",-74.36,44.32,"lakes",480,1,"","Horseshoe Lake","Ankistrodesmus falcatus",1,68.6,0,0,0,NA,68.6,"phytoplankton",1.83632411570675,-10.5900668766687,NA,NA,1.83632411570675,68.6,1.76302e-09,"g.ml"
"2","Horseshoe Lake_Arthrodesmus incus","Arthrodesmus incus","Adirondack lakes","Horseshoe Lake","Arthrodesmus incus","species","phytoplankton",NA,"primary producer","floating",2.39e-10,"USA",-74.36,44.32,"lakes",480,1,"","Horseshoe Lake","Arthrodesmus incus",1,0.3,0,0,0,NA,0.3,"phytoplankton",-0.522878745280338,-9.62160209905186,NA,NA,-0.522878745280338,0.3,7.17e-11,"g.ml"
"3","Horseshoe Lake_Asterionella formosa","Asterionella formosa","Adirondack lakes","Horseshoe Lake","Asterionella formosa","species","phytoplankton",NA,"primary producer","floating",5.12e-10,"USA",-74.36,44.32,"lakes",480,1,"","Horseshoe Lake","Asterionella formosa",1,4.2,0,0,0,NA,4.2,"phytoplankton",0.6232492903979,-9.29073003902417,NA,NA,0.6232492903979,4.2,2.1504e-09,"g.ml"
"4","Horseshoe Lake_benthic detritus","benthic detritus","Adirondack lakes","Horseshoe Lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.36,44.32,"lakes",480,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"5","Horseshoe Lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Horseshoe Lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.36,44.32,"lakes",480,1,"","Horseshoe Lake","Bosmina longirostris",1,0,20,0,0,NA,2e-05,"zooplankton",-4.69897000433602,-5.80966830182971,NA,NA,-4.69897000433602,2e-05,3.1e-11,"g.ml"
"6","Horseshoe Lake_Botryococcus braunii","Botryococcus braunii","Adirondack lakes","Horseshoe Lake","Botryococcus braunii","species","phytoplankton",NA,"primary producer","floating",3.64e-11,"USA",-74.36,44.32,"lakes",480,1,"","Horseshoe Lake","Botryococcus braunii",1,7.3,0,0,0,NA,7.3,"phytoplankton",0.863322860120456,-10.4388986163509,NA,NA,0.863322860120456,7.3,2.6572e-10,"g.ml"
"7","Horseshoe Lake_Catostomus commersoni","Catostomus commersoni","Adirondack lakes","Horseshoe Lake","Catostomus commersoni","species","white sucker",NA,"ectotherm vertebrate","swimming",261,"USA",-74.36,44.32,"lakes",480,1,"","Horseshoe Lake","Catostomus commersoni",1,0,0,11,91.66666667,0.119999999995636,NA,"fish",NA,2.41664050733828,-0.920818753968168,-8.73712357514304,-8.73712357514304,1.8317931256127e-09,4.78098005784915e-07,"g.ml"
"8","Horseshoe Lake_Chrysocapsa planktonica","Chrysocapsa planktonica","Adirondack lakes","Horseshoe Lake","Chrysocapsa planktonica","species","phytoplankton",NA,"primary producer","floating",1e-09,"USA",-74.36,44.32,"lakes",480,1,"","Horseshoe Lake","Chrysocapsa planktonica",1,44.2,0,0,0,NA,44.2,"phytoplankton",1.64542226934909,-9,NA,NA,1.64542226934909,44.2,4.42e-08,"g.ml"
"9","Horseshoe Lake_Chrysosphaerella longispina","Chrysosphaerella longispina","Adirondack lakes","Horseshoe Lake","Chrysosphaerella longispina","species","phytoplankton",NA,"primary producer","floating",7.65e-10,"USA",-74.36,44.32,"lakes",480,1,"","Horseshoe Lake","Chrysosphaerella longispina",1,18.3,0,0,0,NA,18.3,"phytoplankton",1.26245108973043,-9.11633856484638,NA,NA,1.26245108973043,18.3,1.39995e-08,"g.ml"
"10","Horseshoe Lake_Conochiloides unicornis","Conochiloides unicornis","Adirondack lakes","Horseshoe Lake","Conochiloides unicornis","species","rotifer",NA,"invertebrate","swimming",3.18e-07,"USA",-74.36,44.32,"lakes",480,1,"","Horseshoe Lake","Conochiloides unicornis",1,0,3255,0,0,NA,0.003255,"zooplankton",-2.48744900709579,-6.49757288001557,NA,NA,-2.48744900709579,0.003255,1.03509e-09,"g.ml"
