"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Loon Lake_Ankistrodesmus falcatus","Ankistrodesmus falcatus","Adirondack lakes","Loon Lake","Ankistrodesmus falcatus","species","green algae",NA,"primary producer","floating",2.57e-11,"USA",-74.17,44.49,"lakes",513,1,"","Loon Lake","Ankistrodesmus falcatus",1,47.3,0,0,0,NA,47.3,"phytoplankton",1.67486114073781,-10.5900668766687,NA,NA,1.67486114073781,47.3,1.21561e-09,"g.ml"
"2","Loon Lake_Aphanothece sp.","Aphanothece sp.","Adirondack lakes","Loon Lake","Aphanothece sp.","genus","cyanobacteria",NA,"primary producer","floating",1.51e-10,"USA",-74.17,44.49,"lakes",513,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"phytoplankton",NA,-9.82102305270683,NA,NA,NA,NA,NA,"g.ml"
"3","Loon Lake_Ascomorpha ecaudis","Ascomorpha ecaudis","Adirondack lakes","Loon Lake","Ascomorpha ecaudis","species","rotifer",NA,"invertebrate","swimming",3.18e-07,"USA",-74.17,44.49,"lakes",513,1,"","Loon Lake","Ascomorpha ecaudis",1,0,844,0,0,NA,0.000844,"zooplankton",-3.07365755337434,-6.49757288001557,NA,NA,-3.07365755337434,0.000844,2.68392e-10,"g.ml"
"4","Loon Lake_Asterionella formosa","Asterionella formosa","Adirondack lakes","Loon Lake","Asterionella formosa","species","phytoplankton",NA,"primary producer","floating",5.12e-10,"USA",-74.17,44.49,"lakes",513,1,"","Loon Lake","Asterionella formosa",1,17.5,0,0,0,NA,17.5,"phytoplankton",1.24303804868629,-9.29073003902417,NA,NA,1.24303804868629,17.5,8.96e-09,"g.ml"
"5","Loon Lake_benthic detritus","benthic detritus","Adirondack lakes","Loon Lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.17,44.49,"lakes",513,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"6","Loon Lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Loon Lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.17,44.49,"lakes",513,1,"","Loon Lake","Bosmina longirostris",1,0,6016,0,0,NA,0.006016,"zooplankton",-2.22069217241641,-5.80966830182971,NA,NA,-2.22069217241641,0.006016,9.3248e-09,"g.ml"
"7","Loon Lake_Ceriodaphnia quadrangula","Ceriodaphnia quadrangula","Adirondack lakes","Loon Lake","Ceriodaphnia quadrangula","species","water flea",NA,"invertebrate","swimming",5.85e-06,"USA",-74.17,44.49,"lakes",513,1,"","Loon Lake","Ceriodaphnia quadrangula",1,0,2177,0,0,NA,0.002177,"zooplankton",-2.66214157095891,-5.23284413391782,NA,NA,-2.66214157095891,0.002177,1.273545e-08,"g.ml"
"8","Loon Lake_Chrysosphaerella longispina","Chrysosphaerella longispina","Adirondack lakes","Loon Lake","Chrysosphaerella longispina","species","phytoplankton",NA,"primary producer","floating",7.65e-10,"USA",-74.17,44.49,"lakes",513,1,"","Loon Lake","Chrysosphaerella longispina",2,4912.1,0,0,0,NA,4912.1,"phytoplankton",3.69126719954315,-9.11633856484638,NA,NA,3.69126719954315,4912.1,3.7577565e-06,"g.ml"
"9","Loon Lake_Chydorus sphaericus","Chydorus sphaericus","Adirondack lakes","Loon Lake","Chydorus sphaericus","species","water flea",NA,"invertebrate","swimming",2.18e-06,"USA",-74.17,44.49,"lakes",513,1,"","Loon Lake","Chydorus sphaericus",1,0,16,0,0,NA,1.6e-05,"zooplankton",-4.79588001734407,-5.66154350639539,NA,NA,-4.79588001734407,1.6e-05,3.488e-11,"g.ml"
"10","Loon Lake_Conochiloides dossuarius","Conochiloides dossuarius","Adirondack lakes","Loon Lake","Conochiloides dossuarius","species","rotifer",NA,"invertebrate","swimming",1.83e-06,"USA",-74.17,44.49,"lakes",513,1,"","Loon Lake","Conochiloides dossuarius",1,0,2531,0,0,NA,0.002531,"zooplankton",-2.59670785484175,-5.73754891026957,NA,NA,-2.59670785484175,0.002531,4.63173e-09,"g.ml"
