"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Lost Lake East_Anabaena flos-aquae","Anabaena flos-aquae","Adirondack lakes","Lost Lake East","Anabaena flos-aquae","species","cyanobacteria",NA,"primary producer","floating",5.51e-11,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Anabaena flos-aquae",2,61.4,0,0,0,NA,61.4,"phytoplankton",1.78816837114117,-10.2588484011482,NA,NA,1.78816837114117,61.4,3.38314e-09,"g.ml"
"2","Lost Lake East_Ankistrodesmus falcatus","Ankistrodesmus falcatus","Adirondack lakes","Lost Lake East","Ankistrodesmus falcatus","species","green algae",NA,"primary producer","floating",2.57e-11,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Ankistrodesmus falcatus",1,14,0,0,0,NA,14,"phytoplankton",1.14612803567824,-10.5900668766687,NA,NA,1.14612803567824,14,3.598e-10,"g.ml"
"3","Lost Lake East_Aphanothece sp.","Aphanothece sp.","Adirondack lakes","Lost Lake East","Aphanothece sp.","genus","cyanobacteria",NA,"primary producer","floating",1.51e-10,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Aphanothece sp.",1,61.3,0,0,0,NA,61.3,"phytoplankton",1.78746047451842,-9.82102305270683,NA,NA,1.78746047451842,61.3,9.2563e-09,"g.ml"
"4","Lost Lake East_Asplanchna sp.","Asplanchna sp.","Adirondack lakes","Lost Lake East","Asplanchna sp.","genus","rotifer",NA,"invertebrate","swimming",7.35e-06,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Asplanchna sp.",1,0,65,0,0,NA,6.5e-05,"zooplankton",-4.18708664335714,-5.1337126609158,NA,NA,-4.18708664335714,6.5e-05,4.7775e-10,"g.ml"
"5","Lost Lake East_benthic detritus","benthic detritus","Adirondack lakes","Lost Lake East","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.67,43.69,"lakes",583,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"6","Lost Lake East_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Lost Lake East","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Bosmina longirostris",1,0,18,0,0,NA,1.8e-05,"zooplankton",-4.74472749489669,-5.80966830182971,NA,NA,-4.74472749489669,1.8e-05,2.79e-11,"g.ml"
"7","Lost Lake East_Chrysocapsa planktonica","Chrysocapsa planktonica","Adirondack lakes","Lost Lake East","Chrysocapsa planktonica","species","phytoplankton",NA,"primary producer","floating",1e-09,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Chrysocapsa planktonica",1,309.8,0,0,0,NA,309.8,"phytoplankton",2.49108141342319,-9,NA,NA,2.49108141342319,309.8,3.098e-07,"g.ml"
"8","Lost Lake East_Conochiloides unicornis","Conochiloides unicornis","Adirondack lakes","Lost Lake East","Conochiloides unicornis","species","rotifer",NA,"invertebrate","swimming",3.18e-07,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Conochiloides unicornis",1,0,2995,0,0,NA,0.002995,"zooplankton",-2.52360317327467,-6.49757288001557,NA,NA,-2.52360317327467,0.002995,9.5241e-10,"g.ml"
"9","Lost Lake East_copepod nauplii","copepod nauplii","Adirondack lakes","Lost Lake East","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.67,43.69,"lakes",583,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooplankton",NA,-5.55284196865778,NA,NA,NA,NA,NA,"g.ml"
"10","Lost Lake East_Crucigenia crucifera","Crucigenia crucifera","Adirondack lakes","Lost Lake East","Crucigenia crucifera","species","green algae",NA,"primary producer","floating",8.23e-11,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Crucigenia crucifera",1,113.8,0,0,0,NA,113.8,"phytoplankton",2.05614226205905,-10.0846001647877,NA,NA,2.05614226205905,113.8,9.36574e-09,"g.ml"
"11","Lost Lake East_Crucigenia quadrata","Crucigenia quadrata","Adirondack lakes","Lost Lake East","Crucigenia quadrata","species","green algae",NA,"primary producer","floating",8.23e-11,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Crucigenia quadrata",1,133,0,0,0,NA,133,"phytoplankton",2.12385164096709,-10.0846001647877,NA,NA,2.12385164096709,133,1.09459e-08,"g.ml"
"12","Lost Lake East_Crucigenia rectangularis","Crucigenia rectangularis","Adirondack lakes","Lost Lake East","Crucigenia rectangularis","species","green algae",NA,"primary producer","floating",8.23e-11,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Crucigenia rectangularis",1,35,0,0,0,NA,35,"phytoplankton",1.54406804435028,-10.0846001647877,NA,NA,1.54406804435028,35,2.8805e-09,"g.ml"
"13","Lost Lake East_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","Lost Lake East","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Cryptomonas erosa",2,435.7,0,0,0,NA,435.7,"phytoplankton",2.63918755993575,-10.3233063903751,NA,NA,2.63918755993575,435.7,2.069575e-08,"g.ml"
"14","Lost Lake East_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","Lost Lake East","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Cryptomonas ovata",1,29.8,0,0,0,NA,29.8,"phytoplankton",1.47421626407626,-10.3233063903751,NA,NA,1.47421626407626,29.8,1.4155e-09,"g.ml"
"15","Lost Lake East_Daphnia pulex","Daphnia pulex","Adirondack lakes","Lost Lake East","Daphnia pulex","species","daphnia",NA,"invertebrate","swimming",5.8e-05,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Daphnia pulex",1,0,2119,0,0,NA,0.002119,"zooplankton",-2.67386904328921,-4.23657200643706,NA,NA,-2.67386904328921,0.002119,1.22902e-07,"g.ml"
"16","Lost Lake East_Diaptomus minutus","Diaptomus minutus","Adirondack lakes","Lost Lake East","Diaptomus minutus","species","copepod",NA,"invertebrate","swimming",1.44e-05,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Diaptomus minutus",1,0,7991,0,0,NA,0.007991,"zooplankton",-2.09739886933347,-4.84163750790475,NA,NA,-2.09739886933347,0.007991,1.150704e-07,"g.ml"
"17","Lost Lake East_Dinobryon divergens","Dinobryon divergens","Adirondack lakes","Lost Lake East","Dinobryon divergens","species","golden-brown algae",NA,"primary producer","floating",1.36e-09,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Dinobryon divergens",1,36.8,0,0,0,NA,36.8,"phytoplankton",1.56584781867352,-8.86646109162978,NA,NA,1.56584781867352,36.8,5.0048e-08,"g.ml"
"18","Lost Lake East_Elakatrothrix gelatinosa","Elakatrothrix gelatinosa","Adirondack lakes","Lost Lake East","Elakatrothrix gelatinosa","species","phytoplankton",NA,"primary producer","floating",1.96e-10,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Elakatrothrix gelatinosa",1,10.5,0,0,0,NA,10.5,"phytoplankton",1.02118929906994,-9.70774392864352,NA,NA,1.02118929906994,10.5,2.058e-09,"g.ml"
"19","Lost Lake East_Epishura lacustris","Epishura lacustris","Adirondack lakes","Lost Lake East","Epishura lacustris","species","copepod",NA,"invertebrate","swimming",0.000122,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Epishura lacustris",1,0,15,0,0,NA,1.5e-05,"zooplankton",-4.82390874094432,-3.91364016932525,NA,NA,-4.82390874094432,1.5e-05,1.83e-09,"g.ml"
"20","Lost Lake East_fish eggs","fish eggs","Adirondack lakes","Lost Lake East","fish eggs",NA,NA,"larvae","ectotherm vertebrate","floating",0.0201,"USA",-74.67,43.69,"lakes",583,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,-1.69680394257951,NA,NA,NA,NA,NA,"g.ml"
"21","Lost Lake East_fish fry","fish fry","Adirondack lakes","Lost Lake East","fish fry",NA,NA,"larvae","ectotherm vertebrate","swimming",0.016,"USA",-74.67,43.69,"lakes",583,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,-1.79588001734408,NA,NA,-5.55966031693396,2.75638376369601e-06,4.41021402191361e-08,"g.ml"
"22","Lost Lake East_Holopedium gibberum","Holopedium gibberum","Adirondack lakes","Lost Lake East","Holopedium gibberum","species","cladocera",NA,"invertebrate","swimming",6.82e-05,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Holopedium gibberum",1,0,1187,0,0,NA,0.001187,"zooplankton",-2.92554928104541,-4.16621562534352,NA,NA,-2.92554928104541,0.001187,8.09534e-08,"g.ml"
"23","Lost Lake East_Kelicottia longispina","Kelicottia longispina","Adirondack lakes","Lost Lake East","Kelicottia longispina","species","rotifer",NA,"invertebrate","swimming",2e-08,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Kelicottia longispina",1,0,521,0,0,NA,0.000521,"zooplankton",-3.28316227670048,-7.69897000433602,NA,NA,-3.28316227670048,0.000521,1.042e-11,"g.ml"
"24","Lost Lake East_Keratella cochlearis","Keratella cochlearis","Adirondack lakes","Lost Lake East","Keratella cochlearis","species","rotifer",NA,"invertebrate","swimming",1e-08,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Keratella cochlearis",1,0,326,0,0,NA,0.000326,"zooplankton",-3.48678239993206,-8,NA,NA,-3.48678239993206,0.000326,3.26e-12,"g.ml"
"25","Lost Lake East_Keratella taurocephala","Keratella taurocephala","Adirondack lakes","Lost Lake East","Keratella taurocephala","species","rotifer",NA,"invertebrate","swimming",1e-08,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Keratella taurocephala",1,0,326,0,0,NA,0.000326,"zooplankton",-3.48678239993206,-8,NA,NA,-3.48678239993206,0.000326,3.26e-12,"g.ml"
"26","Lost Lake East_Keratella testudo","Keratella testudo","Adirondack lakes","Lost Lake East","Keratella testudo","species","rotifer",NA,"invertebrate","swimming",1e-08,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Keratella testudo",1,0,260,0,0,NA,0.00026,"zooplankton",-3.58502665202918,-8,NA,NA,-3.58502665202918,0.00026,2.6e-12,"g.ml"
"27","Lost Lake East_Mallomonas sp.","Mallomonas sp.","Adirondack lakes","Lost Lake East","Mallomonas sp.","genus","golden-brown algae",NA,"primary producer","floating",5.65e-09,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Mallomonas sp.",1,1.8,0,0,0,NA,1.8,"phytoplankton",0.255272505103306,-8.24795155218056,NA,NA,0.255272505103306,1.8,1.017e-08,"g.ml"
"28","Lost Lake East_Mesocyclops edax","Mesocyclops edax","Adirondack lakes","Lost Lake East","Mesocyclops edax","species","copepod",NA,"invertebrate","swimming",1e-05,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Mesocyclops edax",1,0,13985,0,0,NA,0.013985,"zooplankton",-1.85433752929245,-5,NA,NA,-1.85433752929245,0.013985,1.3985e-07,"g.ml"
"29","Lost Lake East_Navicula sp.","Navicula sp.","Adirondack lakes","Lost Lake East","Navicula sp.","genus","diatom",NA,"primary producer","floating",9.01e-10,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Navicula sp.",1,3.5,0,0,0,NA,3.5,"phytoplankton",0.544068044350276,-9.04527520902094,NA,NA,0.544068044350276,3.5,3.1535e-09,"g.ml"
"30","Lost Lake East_Nitzschia sp.","Nitzschia sp.","Adirondack lakes","Lost Lake East","Nitzschia sp.","genus","diatom",NA,"primary producer","floating",1.26e-10,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Nitzschia sp.",1,7,0,0,0,NA,7,"phytoplankton",0.845098040014257,-9.89962945488244,NA,NA,0.845098040014257,7,8.82e-10,"g.ml"
"31","Lost Lake East_Oocyctis sp.","Oocyctis sp.","Adirondack lakes","Lost Lake East","Oocyctis sp.","genus","green algae",NA,"primary producer","floating",8.61e-08,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Oocyctis sp.",1,253.8,0,0,0,NA,253.8,"phytoplankton",2.40449161775869,-7.06499684854635,NA,NA,2.40449161775869,253.8,2.185218e-05,"g.ml"
"32","Lost Lake East_Ploesoma truncatum","Ploesoma truncatum","Adirondack lakes","Lost Lake East","Ploesoma truncatum","species","rotifer",NA,"invertebrate","swimming",4.92e-07,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Ploesoma truncatum",1,0,195,0,0,NA,0.000195,"zooplankton",-3.70996538863748,-6.30803489723264,NA,NA,-3.70996538863748,0.000195,9.594e-11,"g.ml"
"33","Lost Lake East_Polyarthra major","Polyarthra major","Adirondack lakes","Lost Lake East","Polyarthra major","species","rotifer",NA,"invertebrate","swimming",8.55e-07,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Polyarthra major",1,0,409375,0,0,NA,0.409375,"zooplankton",-0.387878682664142,-6.06803388527183,NA,NA,-0.387878682664142,0.409375,3.50015625e-07,"g.ml"
"34","Lost Lake East_Quadrigula closterioides","Quadrigula closterioides","Adirondack lakes","Lost Lake East","Quadrigula closterioides","species","green algae",NA,"primary producer","floating",9.48e-10,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Quadrigula closterioides",1,38.5,0,0,0,NA,38.5,"phytoplankton",1.5854607295085,-9.02319166266193,NA,NA,1.5854607295085,38.5,3.6498e-08,"g.ml"
"35","Lost Lake East_Salvelinus fontinalis","Salvelinus fontinalis","Adirondack lakes","Lost Lake East","Salvelinus fontinalis","species","brook trout",NA,"ectotherm vertebrate","swimming",333,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Salvelinus fontinalis",1,0,0,12,20.33898305,0.590000000024583,NA,"fish",NA,2.52244423350632,-0.22914798833976,-8.04545280951464,-8.04545280951464,9.00631620163186e-09,2.99910329514341e-06,"g.ml"
"36","Lost Lake East_Scenedesmus arcuatus","Scenedesmus arcuatus","Adirondack lakes","Lost Lake East","Scenedesmus arcuatus","species","green algae",NA,"primary producer","floating",1.61e-10,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Scenedesmus arcuatus",1,35,0,0,0,NA,35,"phytoplankton",1.54406804435028,-9.79317412396815,NA,NA,1.54406804435028,35,5.635e-09,"g.ml"
"37","Lost Lake East_Scenedesmus sp.","Scenedesmus sp.","Adirondack lakes","Lost Lake East","Scenedesmus sp.","genus","green algae",NA,"primary producer","floating",1.61e-10,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Scenedesmus sp.",1,21,0,0,0,NA,21,"phytoplankton",1.32221929473392,-9.79317412396815,NA,NA,1.32221929473392,21,3.381e-09,"g.ml"
"38","Lost Lake East_Sphaerocystis schroeteri","Sphaerocystis schroeteri","Adirondack lakes","Lost Lake East","Sphaerocystis schroeteri","species","green algae",NA,"primary producer","floating",1.11e-09,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Sphaerocystis schroeteri",1,1380.8,0,0,0,NA,1380.8,"phytoplankton",3.14013077837113,-8.95467702121334,NA,NA,3.14013077837113,1380.8,1.532688e-06,"g.ml"
"39","Lost Lake East_Synchaeta sp.","Synchaeta sp.","Adirondack lakes","Lost Lake East","Synchaeta sp.","genus","rotifer",NA,"invertebrate","swimming",1.37e-05,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Synchaeta sp.",1,0,65,0,0,NA,6.5e-05,"zooplankton",-4.18708664335714,-4.86327943284359,NA,NA,-4.18708664335714,6.5e-05,8.905e-10,"g.ml"
"40","Lost Lake East_Synura sp.","Synura sp.","Adirondack lakes","Lost Lake East","Synura sp.","genus","colonial phytoplankton",NA,"primary producer","swimming",1.61e-10,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Synura sp.",1,5.3,0,0,0,NA,5.3,"phytoplankton",0.724275869600789,-9.79317412396815,NA,NA,0.724275869600789,5.3,8.533e-10,"g.ml"
"41","Lost Lake East_Trichocerca cylindrica","Trichocerca cylindrica","Adirondack lakes","Lost Lake East","Trichocerca cylindrica","species","rotifer",NA,"invertebrate","swimming",2.5e-07,"USA",-74.67,43.69,"lakes",583,1,"","Lost Lake East","Trichocerca cylindrica",1,0,130,0,0,NA,0.00013,"zooplankton",-3.88605664769316,-6.60205999132796,NA,NA,-3.88605664769316,0.00013,3.25e-11,"g.ml"
