"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Lower Sister Lake_Alona affinis","Alona affinis","Adirondack lakes","Lower Sister Lake","Alona affinis","species","water flea",NA,"invertebrate","swimming",3.2e-06,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Alona affinis",1,0,59,0,0,NA,5.9e-05,"zooplankton",-4.22914798835786,-5.49485002168009,NA,NA,-4.22914798835786,5.89999999999999e-05,1.888e-10,"g.ml"
"2","Lower Sister Lake_Asplanchna sp.","Asplanchna sp.","Adirondack lakes","Lower Sister Lake","Asplanchna sp.","genus","rotifer",NA,"invertebrate","swimming",7.35e-06,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Asplanchna sp.",1,0,4102,0,0,NA,0.004102,"zooplankton",-2.38700434396765,-5.1337126609158,NA,NA,-2.38700434396765,0.004102,3.01497e-08,"g.ml"
"3","Lower Sister Lake_benthic detritus","benthic detritus","Adirondack lakes","Lower Sister Lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.78,43.87,"lakes",588,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"4","Lower Sister Lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Lower Sister Lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Bosmina longirostris",1,0,13586,0,0,NA,0.013586,"zooplankton",-1.86690838974529,-5.80966830182971,NA,NA,-1.86690838974529,0.013586,2.10583e-08,"g.ml"
"5","Lower Sister Lake_Ceriodaphnia quadrangula","Ceriodaphnia quadrangula","Adirondack lakes","Lower Sister Lake","Ceriodaphnia quadrangula","species","water flea",NA,"invertebrate","swimming",5.85e-06,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Ceriodaphnia quadrangula",1,0,4988,0,0,NA,0.004988,"zooplankton",-2.30207355519349,-5.23284413391782,NA,NA,-2.30207355519349,0.004988,2.91798e-08,"g.ml"
"6","Lower Sister Lake_Chroococcus limneticus","Chroococcus limneticus","Adirondack lakes","Lower Sister Lake","Chroococcus limneticus","species","cyanobacteria",NA,"primary producer","floating",1.53e-11,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Chroococcus limneticus",1,14,0,0,0,NA,14,"phytoplankton",1.14612803567824,-10.8153085691824,NA,NA,1.14612803567824,14,2.142e-10,"g.ml"
"7","Lower Sister Lake_Chrysosphaerella longispina","Chrysosphaerella longispina","Adirondack lakes","Lower Sister Lake","Chrysosphaerella longispina","species","phytoplankton",NA,"primary producer","floating",7.65e-10,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Chrysosphaerella longispina",1,1072.8,0,0,0,NA,1072.8,"phytoplankton",3.03051876484354,-9.11633856484638,NA,NA,3.03051876484354,1072.8,8.20692e-07,"g.ml"
"8","Lower Sister Lake_Colletheca mutabilis","Colletheca mutabilis","Adirondack lakes","Lower Sister Lake","Colletheca mutabilis","species","rotifer",NA,"invertebrate","swimming",3.21e-05,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Colletheca mutabilis",1,0,1172,0,0,NA,0.001172,"zooplankton",-2.93107238831793,-4.49349496759513,NA,NA,-2.93107238831793,0.001172,3.76212e-08,"g.ml"
"9","Lower Sister Lake_Conochiloides unicornis","Conochiloides unicornis","Adirondack lakes","Lower Sister Lake","Conochiloides unicornis","species","rotifer",NA,"invertebrate","swimming",3.18e-07,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Conochiloides unicornis",1,0,1953,0,0,NA,0.001953,"zooplankton",-2.70929775671215,-6.49757288001557,NA,NA,-2.70929775671215,0.001953,6.21054e-10,"g.ml"
"10","Lower Sister Lake_copepod nauplii","copepod nauplii","Adirondack lakes","Lower Sister Lake","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","copepod nauplii",1,0,5078,0,0,NA,0.005078,"zooplankton",-2.2943073034623,-5.55284196865778,NA,NA,-2.2943073034623,0.005078,1.42184e-08,"g.ml"
"11","Lower Sister Lake_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","Lower Sister Lake","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Cryptomonas erosa",1,35,0,0,0,NA,35,"phytoplankton",1.54406804435028,-10.3233063903751,NA,NA,1.54406804435028,35,1.6625e-09,"g.ml"
"12","Lower Sister Lake_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","Lower Sister Lake","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Cryptomonas ovata",1,24.5,0,0,0,NA,24.5,"phytoplankton",1.38916608436453,-10.3233063903751,NA,NA,1.38916608436453,24.5,1.16375e-09,"g.ml"
"13","Lower Sister Lake_Daphnia catawba","Daphnia catawba","Adirondack lakes","Lower Sister Lake","Daphnia catawba","species","daphnia",NA,"invertebrate","swimming",1e-05,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Daphnia catawba",1,0,704,0,0,NA,0.000704,"zooplankton",-3.15242734085789,-5,NA,NA,-3.15242734085789,0.000704,7.04e-09,"g.ml"
"14","Lower Sister Lake_Diaptomus minutus","Diaptomus minutus","Adirondack lakes","Lower Sister Lake","Diaptomus minutus","species","copepod",NA,"invertebrate","swimming",1.44e-05,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Diaptomus minutus",1,0,56963,0,0,NA,0.056963,"zooplankton",-1.24440714631754,-4.84163750790475,NA,NA,-1.24440714631754,0.056963,8.202672e-07,"g.ml"
"15","Lower Sister Lake_Euchlanis triquetra","Euchlanis triquetra","Adirondack lakes","Lower Sister Lake","Euchlanis triquetra","species","rotifer",NA,"invertebrate","swimming",1.67e-06,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Euchlanis triquetra",1,0,195,0,0,NA,0.000195,"zooplankton",-3.70996538863748,-5.77728352885242,NA,NA,-3.70996538863748,0.000195,3.2565e-10,"g.ml"
"16","Lower Sister Lake_fish eggs","fish eggs","Adirondack lakes","Lower Sister Lake","fish eggs",NA,NA,"larvae","ectotherm vertebrate","floating",0.0201,"USA",-74.78,43.87,"lakes",588,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,-1.69680394257951,NA,NA,NA,NA,NA,"g.ml"
"17","Lower Sister Lake_fish fry","fish fry","Adirondack lakes","Lower Sister Lake","fish fry",NA,NA,"larvae","ectotherm vertebrate","swimming",0.016,"USA",-74.78,43.87,"lakes",588,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,-1.79588001734408,NA,NA,-5.55966031693396,2.75638376369601e-06,4.41021402191361e-08,"g.ml"
"18","Lower Sister Lake_Gastropus stylifer","Gastropus stylifer","Adirondack lakes","Lower Sister Lake","Gastropus stylifer","species","rotifer",NA,"invertebrate","swimming",8.55e-07,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Gastropus stylifer",1,0,781,0,0,NA,0.000781,"zooplankton",-3.1073489661227,-6.06803388527183,NA,NA,-3.1073489661227,0.000781,6.67755e-10,"g.ml"
"19","Lower Sister Lake_Holopedium gibberum","Holopedium gibberum","Adirondack lakes","Lower Sister Lake","Holopedium gibberum","species","cladocera",NA,"invertebrate","swimming",6.82e-05,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Holopedium gibberum",1,0,6602,0,0,NA,0.006602,"zooplankton",-2.18032448000571,-4.16621562534352,NA,NA,-2.18032448000571,0.006602,4.502564e-07,"g.ml"
"20","Lower Sister Lake_Ictalurus nebulosus","Ictalurus nebulosus","Adirondack lakes","Lower Sister Lake","Ictalurus nebulosus","species","brown bullhead",NA,"ectotherm vertebrate","swimming",155,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Ictalurus nebulosus",1,0,0,37,71.15384615,0.520000000028108,NA,"fish",NA,2.19033169817029,-0.283996656341725,-8.1003014775166,-8.1003014775166,7.93777021170608e-09,1.23035438281444e-06,"g.ml"
"21","Lower Sister Lake_Kelicottia longispina","Kelicottia longispina","Adirondack lakes","Lower Sister Lake","Kelicottia longispina","species","rotifer",NA,"invertebrate","swimming",2e-08,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Kelicottia longispina",1,0,586,0,0,NA,0.000586,"zooplankton",-3.23210238398191,-7.69897000433602,NA,NA,-3.23210238398191,0.000586,1.172e-11,"g.ml"
"22","Lower Sister Lake_Keratella taurocephala","Keratella taurocephala","Adirondack lakes","Lower Sister Lake","Keratella taurocephala","species","rotifer",NA,"invertebrate","swimming",1e-08,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Keratella taurocephala",1,0,109961,0,0,NA,0.109961,"zooplankton",-0.958761319278668,-8,NA,NA,-0.958761319278668,0.109961,1.09961e-09,"g.ml"
"23","Lower Sister Lake_Lepomis gibbosus","Lepomis gibbosus","Adirondack lakes","Lower Sister Lake","Lepomis gibbosus","species","pumpkinseed",NA,"ectotherm vertebrate","swimming",28,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Lepomis gibbosus",1,0,0,9,69.23076923,0.130000000001444,NA,"fish",NA,1.44715803134222,-0.886056647688338,-8.70236146886321,-8.70236146886321,1.9844425528413e-09,5.55643914795565e-08,"g.ml"
"24","Lower Sister Lake_Mallomonas sp.","Mallomonas sp.","Adirondack lakes","Lower Sister Lake","Mallomonas sp.","genus","golden-brown algae",NA,"primary producer","floating",5.65e-09,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Mallomonas sp.",2,15.8,0,0,0,NA,15.8,"phytoplankton",1.19865708695442,-8.24795155218056,NA,NA,1.19865708695442,15.8,8.927e-08,"g.ml"
"25","Lower Sister Lake_Merismopedia punctata","Merismopedia punctata","Adirondack lakes","Lower Sister Lake","Merismopedia punctata","species","cyanobacteria",NA,"primary producer","floating",2.41e-11,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Merismopedia punctata",1,56,0,0,0,NA,56,"phytoplankton",1.7481880270062,-10.6179829574251,NA,NA,1.7481880270062,56,1.3496e-09,"g.ml"
"26","Lower Sister Lake_Merismopedia tenuissima","Merismopedia tenuissima","Adirondack lakes","Lower Sister Lake","Merismopedia tenuissima","species","cyanobacteria",NA,"primary producer","floating",2.41e-11,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Merismopedia tenuissima",1,432952,0,0,0,NA,432952,"phytoplankton",5.63643975018556,-10.6179829574251,NA,NA,5.63643975018556,432952,1.04341432e-05,"g.ml"
"27","Lower Sister Lake_Mesocyclops edax","Mesocyclops edax","Adirondack lakes","Lower Sister Lake","Mesocyclops edax","species","copepod",NA,"invertebrate","swimming",1e-05,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Mesocyclops edax",1,0,801,0,0,NA,0.000801,"zooplankton",-3.09636748391576,-5,NA,NA,-3.09636748391576,0.000801,8.01e-09,"g.ml"
"28","Lower Sister Lake_Oocyctis sp.","Oocyctis sp.","Adirondack lakes","Lower Sister Lake","Oocyctis sp.","genus","green algae",NA,"primary producer","floating",8.61e-08,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Oocyctis sp.",1,35,0,0,0,NA,35,"phytoplankton",1.54406804435028,-7.06499684854635,NA,NA,1.54406804435028,35,3.0135e-06,"g.ml"
"29","Lower Sister Lake_Perca flavescens","Perca flavescens","Adirondack lakes","Lower Sister Lake","Perca flavescens","species","American yellow perch",NA,"ectotherm vertebrate","swimming",45,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Perca flavescens",2,0,0,178,96.69406393,1.84085757455453,NA,"fish",NA,1.65321251377534,0.26502018884198,-7.5512846323329,-7.5512846323329,2.81005854201972e-08,1.26452634390887e-06,"g.ml"
"30","Lower Sister Lake_Peridinium cinctum","Peridinium cinctum","Adirondack lakes","Lower Sister Lake","Peridinium cinctum","species","dinoflagellate",NA,"primary producer","swimming",5.6e-08,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Peridinium cinctum",1,463.8,0,0,0,NA,463.8,"phytoplankton",2.66633074430197,-7.2518119729938,NA,NA,2.66633074430197,463.8,2.59728e-05,"g.ml"
"31","Lower Sister Lake_Peridinium inconspicuum","Peridinium inconspicuum","Adirondack lakes","Lower Sister Lake","Peridinium inconspicuum","species","dinoflagellate",NA,"primary producer","swimming",5.6e-08,"USA",-74.78,43.87,"lakes",588,1,"","Lower Sister Lake","Peridinium inconspicuum",1,1.8,0,0,0,NA,1.8,"phytoplankton",0.255272505103306,-7.2518119729938,NA,NA,0.255272505103306,1.8,1.008e-07,"g.ml"
