"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Oswego Lake_benthic detritus","benthic detritus","Adirondack lakes","Oswego Lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.9,43.85,"lakes",654,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"2","Oswego Lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Oswego Lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.9,43.85,"lakes",654,1,"","Oswego Lake","Bosmina longirostris",1,0,21,0,0,NA,2.1e-05,"zooplankton",-4.67778070526608,-5.80966830182971,NA,NA,-4.67778070526608,2.1e-05,3.255e-11,"g.ml"
"3","Oswego Lake_Chydorus sphaericus","Chydorus sphaericus","Adirondack lakes","Oswego Lake","Chydorus sphaericus","species","water flea",NA,"invertebrate","swimming",2.18e-06,"USA",-74.9,43.85,"lakes",654,1,"","Oswego Lake","Chydorus sphaericus",1,0,62,0,0,NA,6.2e-05,"zooplankton",-4.20760831050175,-5.66154350639539,NA,NA,-4.20760831050175,6.20000000000001e-05,1.3516e-10,"g.ml"
"4","Oswego Lake_Conochiloides dossuarius","Conochiloides dossuarius","Adirondack lakes","Oswego Lake","Conochiloides dossuarius","species","rotifer",NA,"invertebrate","swimming",1.83e-06,"USA",-74.9,43.85,"lakes",654,1,"","Oswego Lake","Conochiloides dossuarius",1,0,11198,0,0,NA,0.011198,"zooplankton",-1.95085953684104,-5.73754891026957,NA,NA,-1.95085953684104,0.011198,2.049234e-08,"g.ml"
"5","Oswego Lake_copepod nauplii","copepod nauplii","Adirondack lakes","Oswego Lake","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.9,43.85,"lakes",654,1,"","Oswego Lake","copepod nauplii",1,0,4687,0,0,NA,0.004687,"zooplankton",-2.32910504647979,-5.55284196865778,NA,NA,-2.32910504647979,0.004687,1.31236e-08,"g.ml"
"6","Oswego Lake_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","Oswego Lake","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.9,43.85,"lakes",654,1,"","Oswego Lake","Cryptomonas erosa",1,41.3,0,0,0,NA,41.3,"phytoplankton",1.6159500516564,-10.3233063903751,NA,NA,1.6159500516564,41.3,1.96175e-09,"g.ml"
"7","Oswego Lake_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","Oswego Lake","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.9,43.85,"lakes",654,1,"","Oswego Lake","Cryptomonas ovata",1,6.3,0,0,0,NA,6.3,"phytoplankton",0.799340549453582,-10.3233063903751,NA,NA,0.799340549453582,6.3,2.9925e-10,"g.ml"
"8","Oswego Lake_Cyclops vernalis","Cyclops vernalis","Adirondack lakes","Oswego Lake","Cyclops vernalis","species","copepod",NA,"invertebrate","swimming",2.24e-05,"USA",-74.9,43.85,"lakes",654,1,"","Oswego Lake","Cyclops vernalis",1,0,312,0,0,NA,0.000312,"zooplankton",-3.50584540598156,-4.64975198166584,NA,NA,-3.50584540598156,0.000312,6.9888e-09,"g.ml"
"9","Oswego Lake_Daphnia pulex","Daphnia pulex","Adirondack lakes","Oswego Lake","Daphnia pulex","species","daphnia",NA,"invertebrate","swimming",5.8e-05,"USA",-74.9,43.85,"lakes",654,1,"","Oswego Lake","Daphnia pulex",1,0,4829,0,0,NA,0.004829,"zooplankton",-2.31614279459965,-4.23657200643706,NA,NA,-2.31614279459965,0.004829,2.80082e-07,"g.ml"
"10","Oswego Lake_Diaphanosoma birgei","Diaphanosoma birgei","Adirondack lakes","Oswego Lake","Diaphanosoma birgei","species","cladocera",NA,"invertebrate","swimming",4.01e-05,"USA",-74.9,43.85,"lakes",654,1,"","Oswego Lake","Diaphanosoma birgei",1,0,21,0,0,NA,2.1e-05,"zooplankton",-4.67778070526608,-4.39685562737982,NA,NA,-4.67778070526608,2.1e-05,8.421e-10,"g.ml"
