"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Twelfth Tee Lake_Arthrodesmus incus","Arthrodesmus incus","Adirondack lakes","Twelfth Tee Lake","Arthrodesmus incus","species","phytoplankton",NA,"primary producer","floating",2.39e-10,"USA",-74.34,44.34,"lakes",494,1,"","Twelfth Tee Lake","Arthrodesmus incus",1,0.8,0,0,0,NA,0.8,"phytoplankton",-0.0969100130080564,-9.62160209905186,NA,NA,-0.0969100130080564,0.8,1.912e-10,"g.ml"
"2","Twelfth Tee Lake_benthic detritus","benthic detritus","Adirondack lakes","Twelfth Tee Lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.34,44.34,"lakes",494,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"3","Twelfth Tee Lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Twelfth Tee Lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.34,44.34,"lakes",494,1,"","Twelfth Tee Lake","Bosmina longirostris",1,0,18359,0,0,NA,0.018359,"zooplankton",-1.73615097816253,-5.80966830182971,NA,NA,-1.73615097816253,0.018359,2.845645e-08,"g.ml"
"4","Twelfth Tee Lake_Botryococcus braunii","Botryococcus braunii","Adirondack lakes","Twelfth Tee Lake","Botryococcus braunii","species","phytoplankton",NA,"primary producer","floating",3.64e-11,"USA",-74.34,44.34,"lakes",494,1,"","Twelfth Tee Lake","Botryococcus braunii",1,46.7,0,0,0,NA,46.7,"phytoplankton",1.66931688056611,-10.4388986163509,NA,NA,1.66931688056611,46.7,1.69988e-09,"g.ml"
"5","Twelfth Tee Lake_Conochiloides dossuarius","Conochiloides dossuarius","Adirondack lakes","Twelfth Tee Lake","Conochiloides dossuarius","species","rotifer",NA,"invertebrate","swimming",1.83e-06,"USA",-74.34,44.34,"lakes",494,1,"","Twelfth Tee Lake","Conochiloides dossuarius",1,0,142,0,0,NA,0.000142,"zooplankton",-3.84771165561694,-5.73754891026957,NA,NA,-3.84771165561694,0.000142,2.5986e-10,"g.ml"
"6","Twelfth Tee Lake_copepod nauplii","copepod nauplii","Adirondack lakes","Twelfth Tee Lake","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.34,44.34,"lakes",494,1,"","Twelfth Tee Lake","copepod nauplii",1,0,27841,0,0,NA,0.027841,"zooplankton",-1.55531516968352,-5.55284196865778,NA,NA,-1.55531516968352,0.027841,7.79548e-08,"g.ml"
"7","Twelfth Tee Lake_Crucigenia quadrata","Crucigenia quadrata","Adirondack lakes","Twelfth Tee Lake","Crucigenia quadrata","species","green algae",NA,"primary producer","floating",8.23e-11,"USA",-74.34,44.34,"lakes",494,1,"","Twelfth Tee Lake","Crucigenia quadrata",1,21,0,0,0,NA,21,"phytoplankton",1.32221929473392,-10.0846001647877,NA,NA,1.32221929473392,21,1.7283e-09,"g.ml"
"8","Twelfth Tee Lake_Crucigenia tetrapaedia","Crucigenia tetrapaedia","Adirondack lakes","Twelfth Tee Lake","Crucigenia tetrapaedia","species","green algae",NA,"primary producer","floating",8.23e-11,"USA",-74.34,44.34,"lakes",494,1,"","Twelfth Tee Lake","Crucigenia tetrapaedia",1,84,0,0,0,NA,84,"phytoplankton",1.92427928606188,-10.0846001647877,NA,NA,1.92427928606188,84,6.9132e-09,"g.ml"
"9","Twelfth Tee Lake_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","Twelfth Tee Lake","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.34,44.34,"lakes",494,1,"","Twelfth Tee Lake","Cryptomonas erosa",1,304.5,0,0,0,NA,304.5,"phytoplankton",2.48358729696889,-10.3233063903751,NA,NA,2.48358729696889,304.5,1.446375e-08,"g.ml"
"10","Twelfth Tee Lake_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","Twelfth Tee Lake","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.34,44.34,"lakes",494,1,"","Twelfth Tee Lake","Cryptomonas ovata",1,8.8,0,0,0,NA,8.8,"phytoplankton",0.944482672150169,-10.3233063903751,NA,NA,0.944482672150169,8.8,4.18e-10,"g.ml"
