"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Twin Lake West_Acantholeberis curvirostris","Acantholeberis curvirostris","Adirondack lakes","Twin Lake West","Acantholeberis curvirostris","species","water flea",NA,"invertebrate","swimming",4.01e-05,"USA",-74.64,43.62,"lakes",810,1,"","Twin Lake West","Acantholeberis curvirostris",1,0,13,0,0,NA,1.3e-05,"zooplankton",-4.88605664769316,-4.39685562737982,NA,NA,-4.88605664769316,1.3e-05,5.213e-10,"g.ml"
"2","Twin Lake West_Asterionella formosa","Asterionella formosa","Adirondack lakes","Twin Lake West","Asterionella formosa","species","phytoplankton",NA,"primary producer","floating",5.12e-10,"USA",-74.64,43.62,"lakes",810,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"phytoplankton",NA,-9.29073003902417,NA,NA,NA,NA,NA,"g.ml"
"3","Twin Lake West_benthic detritus","benthic detritus","Adirondack lakes","Twin Lake West","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.64,43.62,"lakes",810,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"4","Twin Lake West_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Twin Lake West","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.64,43.62,"lakes",810,1,"","Twin Lake West","Bosmina longirostris",1,0,19118,0,0,NA,0.019118,"zooplankton",-1.71855754272913,-5.80966830182971,NA,NA,-1.71855754272913,0.019118,2.96329e-08,"g.ml"
"5","Twin Lake West_Chydorus sphaericus","Chydorus sphaericus","Adirondack lakes","Twin Lake West","Chydorus sphaericus","species","water flea",NA,"invertebrate","swimming",2.18e-06,"USA",-74.64,43.62,"lakes",810,1,"","Twin Lake West","Chydorus sphaericus",1,0,26,0,0,NA,2.6e-05,"zooplankton",-4.58502665202918,-5.66154350639539,NA,NA,-4.58502665202918,2.6e-05,5.668e-11,"g.ml"
"6","Twin Lake West_Closterium sp.","Closterium sp.","Adirondack lakes","Twin Lake West","Closterium sp.","genus","phytoplankton",NA,"primary producer","floating",9.14e-11,"USA",-74.64,43.62,"lakes",810,1,"","Twin Lake West","Closterium sp.",1,0.1,0,0,0,NA,0.1,"phytoplankton",-1,-10.0390538042662,NA,NA,-1,0.1,9.14e-12,"g.ml"
"7","Twin Lake West_Conochiloides dossuarius","Conochiloides dossuarius","Adirondack lakes","Twin Lake West","Conochiloides dossuarius","species","rotifer",NA,"invertebrate","swimming",1.83e-06,"USA",-74.64,43.62,"lakes",810,1,"","Twin Lake West","Conochiloides dossuarius",1,0,3385,0,0,NA,0.003385,"zooplankton",-2.47044132697884,-5.73754891026957,NA,NA,-2.47044132697884,0.003385,6.19455e-09,"g.ml"
"8","Twin Lake West_copepod nauplii","copepod nauplii","Adirondack lakes","Twin Lake West","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.64,43.62,"lakes",810,1,"","Twin Lake West","copepod nauplii",2,0,19532,0,0,NA,0.019532,"zooplankton",-1.70925328438791,-5.55284196865778,NA,NA,-1.70925328438791,0.019532,5.46896e-08,"g.ml"
"9","Twin Lake West_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","Twin Lake West","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.64,43.62,"lakes",810,1,"","Twin Lake West","Cryptomonas erosa",1,1.1,0,0,0,NA,1.1,"phytoplankton",0.0413926851582251,-10.3233063903751,NA,NA,0.0413926851582251,1.1,5.225e-11,"g.ml"
"10","Twin Lake West_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","Twin Lake West","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.64,43.62,"lakes",810,1,"","Twin Lake West","Cryptomonas ovata",1,10.5,0,0,0,NA,10.5,"phytoplankton",1.02118929906994,-10.3233063903751,NA,NA,1.02118929906994,10.5,4.9875e-10,"g.ml"
"11","Twin Lake West_Diaphanosoma birgei","Diaphanosoma birgei","Adirondack lakes","Twin Lake West","Diaphanosoma birgei","species","cladocera",NA,"invertebrate","swimming",4.01e-05,"USA",-74.64,43.62,"lakes",810,1,"","Twin Lake West","Diaphanosoma birgei",1,0,8099,0,0,NA,0.008099,"zooplankton",-2.09156860103399,-4.39685562737982,NA,NA,-2.09156860103399,0.008099,3.247699e-07,"g.ml"
"12","Twin Lake West_Diaptomus leptopus","Diaptomus leptopus","Adirondack lakes","Twin Lake West","Diaptomus leptopus","species","copepod",NA,"invertebrate","swimming",1.01e-05,"USA",-74.64,43.62,"lakes",810,1,"","Twin Lake West","Diaptomus leptopus",1,0,91,0,0,NA,9.1e-05,"zooplankton",-4.04095860767891,-4.99567862621736,NA,NA,-4.04095860767891,9.10000000000001e-05,9.19100000000001e-10,"g.ml"
"13","Twin Lake West_Diaptomus minutus","Diaptomus minutus","Adirondack lakes","Twin Lake West","Diaptomus minutus","species","copepod",NA,"invertebrate","swimming",1.44e-05,"USA",-74.64,43.62,"lakes",810,1,"","Twin Lake West","Diaptomus minutus",1,0,22066,0,0,NA,0.022066,"zooplankton",-1.65627638615738,-4.84163750790475,NA,NA,-1.65627638615738,0.022066,3.177504e-07,"g.ml"
"14","Twin Lake West_Dinobryon sp.","Dinobryon sp.","Adirondack lakes","Twin Lake West","Dinobryon sp.","genus","golden-brown algae",NA,"primary producer","floating",1.36e-09,"USA",-74.64,43.62,"lakes",810,1,"","Twin Lake West","Dinobryon sp.",1,0.3,0,0,0,NA,0.3,"phytoplankton",-0.522878745280338,-8.86646109162978,NA,NA,-0.522878745280338,0.3,4.08e-10,"g.ml"
"15","Twin Lake West_Holopedium gibberum","Holopedium gibberum","Adirondack lakes","Twin Lake West","Holopedium gibberum","species","cladocera",NA,"invertebrate","swimming",6.82e-05,"USA",-74.64,43.62,"lakes",810,1,"","Twin Lake West","Holopedium gibberum",1,0,26,0,0,NA,2.6e-05,"zooplankton",-4.58502665202918,-4.16621562534352,NA,NA,-4.58502665202918,2.6e-05,1.7732e-09,"g.ml"
"16","Twin Lake West_Keratella taurocephala","Keratella taurocephala","Adirondack lakes","Twin Lake West","Keratella taurocephala","species","rotifer",NA,"invertebrate","swimming",1e-08,"USA",-74.64,43.62,"lakes",810,1,"","Twin Lake West","Keratella taurocephala",1,0,137891,0,0,NA,0.137891,"zooplankton",-0.86046407884149,-8,NA,NA,-0.86046407884149,0.137891,1.37891e-09,"g.ml"
"17","Twin Lake West_Lepadella triptera","Lepadella triptera","Adirondack lakes","Twin Lake West","Lepadella triptera","species","rotifer",NA,"invertebrate","swimming",7.43e-08,"USA",-74.64,43.62,"lakes",810,1,"","Twin Lake West","Lepadella triptera",1,0,130,0,0,NA,0.00013,"zooplankton",-3.88605664769316,-7.12901118623942,NA,NA,-3.88605664769316,0.00013,9.659e-12,"g.ml"
