"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Whipple Lake_Aphanothece sp.","Aphanothece sp.","Adirondack lakes","Whipple Lake","Aphanothece sp.","genus","cyanobacteria",NA,"primary producer","floating",1.51e-10,"USA",-74.3,44.39,"lakes",493,1,"","Whipple Lake","Aphanothece sp.",1,154,0,0,0,NA,154,"phytoplankton",2.18752072083646,-9.82102305270683,NA,NA,2.18752072083646,154,2.3254e-08,"g.ml"
"2","Whipple Lake_benthic detritus","benthic detritus","Adirondack lakes","Whipple Lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.3,44.39,"lakes",493,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"3","Whipple Lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Whipple Lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.3,44.39,"lakes",493,1,"","Whipple Lake","Bosmina longirostris",1,0,23263,0,0,NA,0.023263,"zooplankton",-1.63333427931384,-5.80966830182971,NA,NA,-1.63333427931384,0.023263,3.605765e-08,"g.ml"
"4","Whipple Lake_Catostomus commersoni","Catostomus commersoni","Adirondack lakes","Whipple Lake","Catostomus commersoni","species","white sucker",NA,"ectotherm vertebrate","swimming",97,"USA",-74.3,44.39,"lakes",493,1,"","Whipple Lake","Catostomus commersoni",3,0,0,46,83.64663024,0.549932494208269,NA,"fish",NA,1.98677173426624,-0.259690618127881,-8.07599543930276,-8.07599543930276,8.39468802065319e-09,8.1428473800336e-07,"g.ml"
"5","Whipple Lake_Ceriodaphnia quadrangula","Ceriodaphnia quadrangula","Adirondack lakes","Whipple Lake","Ceriodaphnia quadrangula","species","water flea",NA,"invertebrate","swimming",5.85e-06,"USA",-74.3,44.39,"lakes",493,1,"","Whipple Lake","Ceriodaphnia quadrangula",1,0,52547,0,0,NA,0.052547,"zooplankton",-1.27945207355842,-5.23284413391782,NA,NA,-1.27945207355842,0.052547,3.0739995e-07,"g.ml"
"6","Whipple Lake_Chrosomus eos","Chrosomus eos","Adirondack lakes","Whipple Lake","Chrosomus eos","species","northern redbelly dace",NA,"ectotherm vertebrate","swimming",1.9,"USA",-74.3,44.39,"lakes",493,1,"","Whipple Lake","Chrosomus eos",1,0,0,43,27.92207792,1.5400000001146,NA,"fish",NA,0.278753600952829,0.187520720868783,-7.62878410030609,-7.62878410030609,2.35080117813006e-08,4.46652223844711e-08,"g.ml"
"7","Whipple Lake_copepod nauplii","copepod nauplii","Adirondack lakes","Whipple Lake","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.3,44.39,"lakes",493,1,"","Whipple Lake","copepod nauplii",1,0,47812,0,0,NA,0.047812,"zooplankton",-1.3204630891677,-5.55284196865778,NA,NA,-1.3204630891677,0.047812,1.338736e-07,"g.ml"
"8","Whipple Lake_Cosmarium sp.","Cosmarium sp.","Adirondack lakes","Whipple Lake","Cosmarium sp.","genus","phytoplankton",NA,"primary producer","floating",3.49e-10,"USA",-74.3,44.39,"lakes",493,1,"","Whipple Lake","Cosmarium sp.",1,63.5,0,0,0,NA,63.5,"phytoplankton",1.80277372529198,-9.45717457304082,NA,NA,1.80277372529198,63.5,2.21615e-08,"g.ml"
"9","Whipple Lake_Daphnia ambigua","Daphnia ambigua","Adirondack lakes","Whipple Lake","Daphnia ambigua","species","daphnia",NA,"invertebrate","swimming",1e-05,"USA",-74.3,44.39,"lakes",493,1,"","Whipple Lake","Daphnia ambigua",1,0,962,0,0,NA,0.000962,"zooplankton",-3.01682492796219,-5,NA,NA,-3.01682492796219,0.000962,9.62e-09,"g.ml"
"10","Whipple Lake_Diaphanosoma birgei","Diaphanosoma birgei","Adirondack lakes","Whipple Lake","Diaphanosoma birgei","species","cladocera",NA,"invertebrate","swimming",4.01e-05,"USA",-74.3,44.39,"lakes",493,1,"","Whipple Lake","Diaphanosoma birgei",1,0,2183,0,0,NA,0.002183,"zooplankton",-2.66094626429086,-4.39685562737982,NA,NA,-2.66094626429086,0.002183,8.75383e-08,"g.ml"
