FW_name,ecosystem.type,study_ID,lat,metric,avg
AP1,Marine,Intertidal rockpools,-23.812962,Chl-a,3.388634443283081
AP2,Marine,Intertidal rockpools,-23.812993,Chl-a,3.388634443283081
AP3,Marine,Intertidal rockpools,-23.813024,Chl-a,3.388634443283081
AP4,Marine,Intertidal rockpools,-23.813107,Chl-a,3.388634443283081
BP1,Marine,Intertidal rockpools,-23.524249,Chl-a,1.8965937174856664
BP2,Marine,Intertidal rockpools,-23.524136,Chl-a,1.8966937061393392
BP3,Marine,Intertidal rockpools,-23.523881,Chl-a,1.897608268524194
CGP1,Marine,Intertidal rockpools,-23.8226002,Chl-a,3.388634443283081
CGP2,Marine,Intertidal rockpools,-23.82601,Chl-a,3.388634443283081
CGP3,Marine,Intertidal rockpools,-23.825912,Chl-a,3.388634443283081
CR1P1,Marine,Intertidal rockpools,38.709952,Chl-a,2.4439984275221067
CR1P2,Marine,Intertidal rockpools,38.710015,Chl-a,2.4440710342963703
CR1P3,Marine,Intertidal rockpools,38.709936,Chl-a,2.443528192921689
CR1P4,Marine,Intertidal rockpools,38.709946,Chl-a,2.44180159679445
CR2P1,Marine,Intertidal rockpools,38.710621,Chl-a,2.4384004749468904
CR2P2,Marine,Intertidal rockpools,38.71063,Chl-a,2.4388422181463647
CR2P3,Marine,Intertidal rockpools,38.71067,Chl-a,2.4389283304806693
CR2P4,Marine,Intertidal rockpools,38.710653,Chl-a,2.4389283304806693
F1P1,Marine,Intertidal rockpools,-25.969864,Chl-a,0.6966936442965552
F1P2,Marine,Intertidal rockpools,-25.969947,Chl-a,0.6938912608190222
F1P3,Marine,Intertidal rockpools,-25.970258,Chl-a,0.6848902833336995
F1P4,Marine,Intertidal rockpools,-25.970464,Chl-a,0.6826520967767353
F2P1,Marine,Intertidal rockpools,-25.971056,Chl-a,0.6713167813763407
F2P2,Marine,Intertidal rockpools,-25.971186,Chl-a,0.6719229520502545
F2P3,Marine,Intertidal rockpools,-25.971569,Chl-a,0.6711996597903117
F2P4,Marine,Intertidal rockpools,-25.971744,Chl-a,0.6701685617898258
FP1,Marine,Intertidal rockpools,-23.529452,Chl-a,1.8561611748178592
FXAP1,Marine,Intertidal rockpools,-3.2116634,Chl-a,1.4275790443912442
FXAP2,Marine,Intertidal rockpools,-3.216738,Chl-a,1.4323264546442351
FXAP3,Marine,Intertidal rockpools,-3.216667,Chl-a,1.4316001894885373
FXAP4,Marine,Intertidal rockpools,-3.216639,Chl-a,1.4322833422833063
FXBP1,Marine,Intertidal rockpools,-3.217707,Chl-a,1.447790361465292
FXBP2,Marine,Intertidal rockpools,-3.217727,Chl-a,1.4468820770229918
FXBP3,Marine,Intertidal rockpools,-3.217815,Chl-a,1.4497175525341717
FXBP4,Marine,Intertidal rockpools,-3.217817,Chl-a,1.4489136819533486
GJAP1,Marine,Intertidal rockpools,-3.23754,Chl-a,1.367292240435975
GJAP2,Marine,Intertidal rockpools,-3.237669,Chl-a,1.3680119204428167
GJAP3,Marine,Intertidal rockpools,-3.237576,Chl-a,1.3684057896433313
GJAP4,Marine,Intertidal rockpools,-3.23772,Chl-a,1.3670526981044524
GJBP1,Marine,Intertidal rockpools,-3.239132,Chl-a,1.3614477514453531
GJBP2,Marine,Intertidal rockpools,-3.2391122,Chl-a,1.3605152327227807
GJBP3,Marine,Intertidal rockpools,-3.239011,Chl-a,1.3609699816275869
GJBP4,Marine,Intertidal rockpools,-3.239112,Chl-a,1.3605152327227807
L1P1,Marine,Intertidal rockpools,39.286564,Chl-a,1.878028745081887
L1P2,Marine,Intertidal rockpools,39.286564,Chl-a,1.8790923906233157
L1P3,Marine,Intertidal rockpools,39.286584,Chl-a,1.8790923906233157
L1P4,Marine,Intertidal rockpools,39.286595,Chl-a,1.8778268876722304
L2P1,Marine,Intertidal rockpools,39.286558,Chl-a,1.8724463729115275
L2P2,Marine,Intertidal rockpools,39.286575,Chl-a,1.8724463729115275
L2P3,Marine,Intertidal rockpools,39.286569,Chl-a,1.8724463729115275
L2P4,Marine,Intertidal rockpools,39.286623,Chl-a,1.87037729391288
L3P1,Marine,Intertidal rockpools,39.241002,Chl-a,2.268562229510346
L3P2,Marine,Intertidal rockpools,39.240973,Chl-a,2.268562229510346
L3P3,Marine,Intertidal rockpools,39.241035,Chl-a,2.267337721776744
L3P4,Marine,Intertidal rockpools,39.241023,Chl-a,2.267337721776744
L4P1,Marine,Intertidal rockpools,39.241695,Chl-a,2.2568694380074064
L4P2,Marine,Intertidal rockpools,39.241695,Chl-a,2.257413166063326
L4P3,Marine,Intertidal rockpools,39.241812,Chl-a,2.255537309988732
L4P4,Marine,Intertidal rockpools,39.241808,Chl-a,2.255537309988732
MBP1,Marine,Intertidal rockpools,50.357325,Chl-a,3.34780383423755
MBP2,Marine,Intertidal rockpools,50.357154,Chl-a,3.344887019762026
MBP3,Marine,Intertidal rockpools,50.358082,Chl-a,3.363519746916635
MBP4,Marine,Intertidal rockpools,50.358041,Chl-a,3.3570128662485472
PC1P1,Marine,Intertidal rockpools,32.775718,Chl-a,0.22070017877814851
PC1P2,Marine,Intertidal rockpools,32.775723,Chl-a,0.22070017877814851
PC1P3,Marine,Intertidal rockpools,32.775719,Chl-a,0.22070017877814851
PC1P4,Marine,Intertidal rockpools,32.775718,Chl-a,0.22070017877814851
PC2P1,Marine,Intertidal rockpools,32.775966,Chl-a,0.2205367406361849
PC2P2,Marine,Intertidal rockpools,32.775963,Chl-a,0.2205367406361849
PC2P3,Marine,Intertidal rockpools,32.776023,Chl-a,0.22043630754810636
PC2P4,Marine,Intertidal rockpools,32.776016,Chl-a,0.22043630754810636
PC2P5,Marine,Intertidal rockpools,32.77602,Chl-a,0.22043630754810636
PGSBP1,Marine,Intertidal rockpools,-23.824578,Chl-a,3.388634443283081
PGSBP2,Marine,Intertidal rockpools,-23.824949,Chl-a,3.388634443283081
PGUBP1,Marine,Intertidal rockpools,-23.466834,Chl-a,1.500201933121567
PGUBP2,Marine,Intertidal rockpools,-23.466831,Chl-a,1.500201933121567
PGUBP3,Marine,Intertidal rockpools,-23.466854,Chl-a,1.500201933121567
PGUBP4,Marine,Intertidal rockpools,-23.466893,Chl-a,1.5000173250834146
PP1I1,Marine,Intertidal rockpools,48.493018,Chl-a,7.447057133033629
PP1I2,Marine,Intertidal rockpools,48.492827,Chl-a,7.4461110826398516
PP1I3,Marine,Intertidal rockpools,48.49427,Chl-a,7.456450574350036
PP1I4,Marine,Intertidal rockpools,48.4938,Chl-a,7.454468015726509
PP2I1,Marine,Intertidal rockpools,48.496957,Chl-a,7.484680499021823
PP2I2,Marine,Intertidal rockpools,48.497064,Chl-a,7.485662513054335
PP2I3,Marine,Intertidal rockpools,48.497064,Chl-a,7.485662513054335
PP2I4,Marine,Intertidal rockpools,48.497256,Chl-a,7.487588784027101
PP2M1,Marine,Intertidal rockpools,48.497597,Chl-a,7.490726147460939
PP2M2,Marine,Intertidal rockpools,48.497686,Chl-a,7.491706590270997
PP2M3,Marine,Intertidal rockpools,48.497783,Chl-a,7.492883068084717
PP2M4,Marine,Intertidal rockpools,48.497865,Chl-a,7.493863510894776
RMP1,Marine,Intertidal rockpools,32.645518,Chl-a,0.18359592296466248
RMP2,Marine,Intertidal rockpools,32.645521,Chl-a,0.18361911046724777
RMP3,Marine,Intertidal rockpools,32.645613,Chl-a,0.18368163992864173
RMP4,Marine,Intertidal rockpools,32.645638,Chl-a,0.18368163992864173
RMP5,Marine,Intertidal rockpools,32.645678,Chl-a,0.18371908174146137
RV1P1,Marine,Intertidal rockpools,38.702144,Chl-a,2.578171647271734
RV1P2,Marine,Intertidal rockpools,38.702092,Chl-a,2.5783527702547624
RV1P3,Marine,Intertidal rockpools,38.702141,Chl-a,2.5795046589306714
RV1P4,Marine,Intertidal rockpools,38.702162,Chl-a,2.5793252676202543
RV2P1,Marine,Intertidal rockpools,38.701839,Chl-a,2.5867386883810943
RV2P2,Marine,Intertidal rockpools,38.701801,Chl-a,2.58879093216076
RV2P3,Marine,Intertidal rockpools,38.701801,Chl-a,2.589993766113952
RV2P4,Marine,Intertidal rockpools,38.70178,Chl-a,2.589993766113952
SF1I1,Marine,Intertidal rockpools,48.612351,Chl-a,8.028544171651204
SF1I2,Marine,Intertidal rockpools,48.612273,Chl-a,8.048186894276695
SF1I3,Marine,Intertidal rockpools,48.612238,Chl-a,8.028544171651204
SF1I4,Marine,Intertidal rockpools,48.612345,Chl-a,8.028544171651204
SF1M1,Marine,Intertidal rockpools,48.612117,Chl-a,7.973684575184283
SF1M2,Marine,Intertidal rockpools,48.612209,Chl-a,7.98647995178516
SF1M3,Marine,Intertidal rockpools,48.612074,Chl-a,7.973684575184283
SF1M4,Marine,Intertidal rockpools,48.612159,Chl-a,7.9938259376324625
SF2I1,Marine,Intertidal rockpools,48.612671,Chl-a,7.984569715017295
SF2I2,Marine,Intertidal rockpools,48.612735,Chl-a,8.006865723241717
SF2I3,Marine,Intertidal rockpools,48.612756,Chl-a,8.006865723241717
SF2I4,Marine,Intertidal rockpools,48.612827,Chl-a,8.009559734262151
SF2M1,Marine,Intertidal rockpools,48.612437,Chl-a,7.9916652739048
SF2M2,Marine,Intertidal rockpools,48.612451,Chl-a,7.981589386262089
SF2M3,Marine,Intertidal rockpools,48.612572,Chl-a,7.994638438408191
SF2M4,Marine,Intertidal rockpools,48.612274,Chl-a,7.956342900347766
SP1,Marine,Intertidal rockpools,-23.828842,Chl-a,3.388634443283081
WP1,Marine,Intertidal rockpools,50.31675,Chl-a,2.8708195708539455
WP2,Marine,Intertidal rockpools,50.316709,Chl-a,2.871399579767408
WP3,Marine,Intertidal rockpools,50.316572,Chl-a,2.8711854829912524
WP4,Marine,Intertidal rockpools,50.316449,Chl-a,2.873120471918694
fw1981,Marine,Baltic Sea,57.78,Chl-a,NA
fw1986,Marine,Baltic Sea,57.78,Chl-a,NA
fw1991,Marine,Baltic Sea,57.78,Chl-a,NA
fw1996,Marine,Baltic Sea,57.78,Chl-a,NA
fw2001,Marine,Baltic Sea,57.78,Chl-a,NA
fw2006,Marine,Baltic Sea,57.78,Chl-a,NA
fw2011,Marine,Baltic Sea,57.78,Chl-a,NA
AEW01,Soils,Biodiversity exploratories,48.48,NDVI,0.6196339874317934
AEW02,Soils,Biodiversity exploratories,48.38,NDVI,0.6984937161086698
AEW04,Soils,Biodiversity exploratories,48.4,NDVI,0.6215283980248192
