,Amphinemura wui,Bacteria,Beloneuria sp.,Chironomidae,Cordulegaster sp.,Detritus,Diatoms,Diplectrona modesta,Dixa sp.,Dolophilodes sp.,Ectopria thoracica,External,Fattigia pele,Fungi,Harpacticoida,Hexatoma spp.,Isoperla spp.,Lanthus vernalis,Lepidostoma spp.,Leuctra spp.,Lype diversa,Oligochaeta,Other detritus,Parapsyche cardis,Sciara spp.,Simulium spp.,Stenonema spp.,Tanypodinae,Tipula spp.,Wormaldia moesta
Amphinemura wui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,0.135578763,0,0,0.34,0,0,0,0.64,0.607082263,0.461441476,0.404776814,0,0.198342177,0,0.54,0,0,0,0.11,0.77,0.19,0.459530965,0,0.190243492,0.20864501,0.401677999,0.388035426,0,0.19,0.402962285
Beloneuria sp.,0,0,0,0,0.079252369,0,0,0,0,0,0,0,0,0,0,0,0,0.046024467,0,0,0,0,0,0,0,0,0,0,0,0
Chironomidae,0,0,0.302402308,0,0.254061917,0,0,0,0,0,0,0,0,0,0,0.233349799,0.920305596,0.033805075,0,0,0,0,0,0.129937324,0,0,0,0.598098247,0,0
Cordulegaster sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus,0.863953567,0,0,0.595867642,0,0,0,0.200652168,0.392471518,0.510067197,0.067524866,0,0.780515261,0,0.398095238,0,0,0,0.877235106,0.203258534,0.399402128,0.454893918,0,0.143804292,0.645227401,0.484083221,0.492717196,0,0.448840004,0.548684441
Diatoms,0,0,0,0,0,0,0,0.000354864,0,0.014196725,0.39775666,0,0.005365145,0,0,0,0,0,0.000940325,0,0.002570953,0.019603906,0,0.004283796,0.001580267,0.000472692,0.043000284,0,0.012503774,0.01358384
Diplectrona modesta,0,0,0,0,0.05760925,0,0,0,0,0,0,0,0,0,0,0,0,0.010223346,0,0,0,0,0,0,0,0,0,0,0,0
Dixa sp.,0,0,0,0,0.000497154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolophilodes sp.,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024645973,0,0,0,0,0,0
Ectopria thoracica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
External,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fattigia pele,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungi,0.00046767,0,0,0.064132358,0,0,0,0.007514931,0.000446219,0.014294602,0.12994166,0,0.015777417,0,0.061904762,0,0,0,0.011824568,0.026741466,0.020653006,0.065971211,0,0.007723714,0.043160824,0.061209476,0.076247094,0,0.070668322,0.017125728
Harpacticoida,0,0,0.046806467,0,0.042963482,0,0,0,0,0,0,0,0,0,0,0,0,0.00320722,0,0,0,0,0,0.003876385,0,0,0,0.036214617,0,0
Hexatoma spp.,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.067114358,0,0,0,0,0,0,0,0,0,0,0,0
Isoperla spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lanthus vernalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepidostoma spp.,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leuctra spp.,0,0,0,0,0.286981477,0,0,0,0,0,0,0,0,0,0,0,0,0.068693528,0,0,0,0,0,0,0,0,0,0,0,0
Lype diversa,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oligochaeta,0,0,0.014788041,0,0.003884979,0,0,0,0,0,0,0,0,0,0,0.011957588,0,0.002234973,0,0,0,0,0,0.030505893,0,0,0,0,0,0
Other detritus,0,0,0,0,0.06104306,0,0,0.151,0,0,0,0,0,0,0,0.332071084,0.079694404,0.022917381,0,0,0.387,0,0,0.069687634,0.101,0.053,0,0.150676285,0.278,0.018
Parapsyche cardis,0,0,0.203069489,0,0.130968332,0,0,0,0,0,0,0,0,0,0,0,0,0.19429117,0,0,0,0,0,0.316796679,0,0,0,0,0,0
Sciara spp.,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simulium spp.,0,0,0.013626999,0,0.019316543,0,0,0,0,0,0,0,0,0,0,0.086848358,,0.020385143,0,0,0,0,0,0.053647478,0,0,0,0.041696957,0,0
Stenonema spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070182707,0,0,0,0,0,0,0,0,0,0,0,0
Tanypodinae,0,0,0.034772635,0,0.045051236,0,0,0,0,0,0,0,0,0,0,0.122144407,0,0.014611324,0,0,0,0,0,0.003000106,0,0,0,0,0,0
Tipula spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wormaldia moesta,0,0,0.115410769,0,,0,0,0,0,0,0,0,0,0,0,,,0.025256245,0,0,0,0,0,0.012179815,0,0,0,0,0,0
