,Amphinemura wui,Bacteria,Beloneuria sp.,Chironomidae,Cordulegaster sp.,Detritus,Diatoms,Diplectrona modesta,Ectopria thoracica,Epeorus spp.,External,Fattigia pele,Fungi,Hexatoma spp.,Isoperla spp.,Lanthus vernalis,Lype diversa,Oligochaeta,Other detritus,Paraleptophlebia spp.,Parapsyche cardis,Rhyacophila spp.,Serratella spp.,Stenonema spp.,Tipula spp.,Wormaldia moesta
Amphinemura wui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,0.46,0,0,0.51,0,0,0,0.09,0.04,0.548,0,0.01,0,0,0,0,0.2,0.09,0,0.88857465,0.09,0,0.598100578,0.588430376,0.01,0.903574243
Beloneuria sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166591062,0,0,0,0,0
Chironomidae,0,0,0.037238695,0,0.683500237,0,0,0,0,0,0,0,0,0.617,0.194,0.086,0,0,0,0,0.006897927,0,0,0,0,0
Cordulegaster sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus,0.119121366,0,0,0.177518312,0,0,0,0.710000931,0.119784176,0,0,0.936112339,0,0,0,0,0.786773066,0.882106588,0,0,0.494584559,0,0,0,0.85958901,0
Diatoms,0.232836583,0,0,0.154140614,0,0,0,0.03998453,0.840215824,0.368090515,0,0.036024174,0,0,0,0,0.012820551,0.017672354,0,0.060312875,0.01998059,0,0.277524185,0.240798463,0.12,0.096425757
Diplectrona modesta,0,0,0.110284087,0,0,0,0,0,0,0,0,0,0,0,0.374049607,0.890723769,0,0,0,0,0,0.396311498,0,0,0,0
Ectopria thoracica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epeorus spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044399017,0,0,0,0,0,0,0,0,0,0,0
External,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fattigia pele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455676543,0,0,0,0
Fungi,0.188042051,0,0,0.158341073,0,0,0,0.080550114,0,0.084206133,0,0.017863486,0,0,0,0,0,0.010221058,0,0.051112475,0.033930113,0,0.124375236,0.170771161,0.009139755,0
Hexatoma spp.,0,0,0.147106866,0,0,0,0,0,0,0,0,0,0,0,0.056593433,0,0,0,0,0,0,0,0,0,0,0
Isoperla spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080996454,0,0,0,0,0,0,0,0,0,0,0
Lanthus vernalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lype diversa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oligochaeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other detritus,0,0,0,0,0.316499763,0,0,0.079464425,0,0,0,0,0,0,0.054832445,0.005511552,0,0,0,0,0.003622448,0,0,0,0,0
Paraleptophlebia spp.,0,0,0.012662428,0,0,0,0,0,0,0,0,0,0,0,0.086452836,,0,0,0,0,0.0266377,0,0,0,0,0
Parapsyche cardis,0,0,0.155824521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120198976,0,0,0,0
Rhyacophila spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151863472,0,0,0,0,0
Serratella spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010432038,0,0,0,0,0,0,0,0,0,0,0
Stenonema spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tipula spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wormaldia moesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062940144,0,0,0,0,0,0,0,0,0,0,0
