,Aeshna cf mixta,Ancylus fluviatilis,Anguilla anguilla,Animal detritus,Antocha sp.,Apsectrotanypus sp.,Barbus haasi,Bithynia tentaculata,Caenis luctuosa,Centroptilum luteolum,Chaetocladius sp.,Chironomus sp.,Parachondrostoma miegii,Cricotopus sp.,Detritus,Diatoms,Eukiefferiella sp.,Filamentous algae,Fungi,Gobio lozanoi,Habrophlebia fusca,Hydracarina,Hydropsyche exocellata,Leuctra cf inermis,Limnius volckmari,Luciobarbus graellsii,Nilotanypus sp.,Non-filamentous algae,Onychogomphus cf uncatus,Orthocladius sp.,Orectochilus villosus,Oulimnius rivularis (Adult),Palpomyia sp.,Parametriocnemus sp.,Paratrichocladius sp.,Philopotamus montanus,Plectrocnemia cf laetabilis,Radix sp.,Salmo trutta,Simulium erytrocephalum,Tanytarsus sp.,Vegetal material
Aeshna cf mixta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ancylus fluviatilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animal detritus,0,0.028,0,0,0.439,0,0,0.159,0.201,0,0.15,0.15,0,0.15,0,0,0.15,0,0,0,0,0,0.3,0,0,0.019,0,0,0,0.15,0.15,0.334,0,0.15,0.15,0,0,0.1,0,0.016,0.599,0
Antocha sp.,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apsectrotanypus sp.,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbus haasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0
Bithynia tentaculata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caenis luctuosa,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535,0,0,0,0,0,0,0,0,0,0,0,0,0
Centroptilum luteolum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetocladius sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironomus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0
Parachondrostoma miegii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0
Cricotopus sp.,0.288,0,0,0,0,0.5,0.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0.198,0,0,0,0,0,0,0,0,0.1,0,0.001,0,0
Detritus,0,0.496,0.017,0,0.015,0,0.1,0.159,0.255,0.4,0.157,0.157,0.284,0.157,0,0,0.157,0,0,0,0.25,0,0.15,0.25,0.323,0.206,0,0,0,0.157,0.157,0.333,1,0.157,0.157,0.34,0,0,0,0.222,0.091,0
Diatoms,0,0.207,0,0,0.321,0,0.1,0,0.201,0.1,0.265,0.265,0.383,0.265,0,0,0.265,0,0,0,0.25,0,0,0,0.323,0.277,0,0,0,0.265,0.265,0,0,0.265,0.265,0,0,0,0,0.575,0.133,0
Eukiefferiella sp.,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filamentous algae,0,0.03,0,0,0.107,0,0.096,0.145,0.027,0.25,0,0,0.028,0,0,0,0,0,0,0,0.25,0,0.55,0.25,0,0.184,0,0,0,0,0,0,0,0,0,0.25,0,0.4,0,0.11,0.021,0
Fungi,0,0.02,0,0,0.107,0,0.011,0,0.028,0,0.099,0.099,0.125,0.099,0,0,0.099,0,0,0,0,0,0,0,0.323,0.07,0,0,0,0.099,0.099,0,0,0.099,0.099,0,0,0,0,0.03,0,0
Gobio lozanoi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Habrophlebia fusca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydracarina,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydropsyche exocellata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leuctra cf inermis,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limnius volckmari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luciobarbus graellsii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
Nilotanypus sp.,0.096,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-filamentous algae,0,0.116,0,0,0,0,0.003,0.218,0,0.25,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.25,0.031,0.01,0,0,0,0,0,0,0,0,0,0.24,0,0.2,0,0.03,0,0
Onychogomphus cf uncatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladius sp.,0,0,0,0,0,0,0.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orectochilus villosus,0.048,0,0,0,0,0.5,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0
