,Aeshna cf mixta,Alona sp.,Ancylus fluviatilis,Animal detritus,Atherix ibis,Bacteria,Barbus haasi,Bithynia tentaculata,Brachyptera cf arcuata,Caenis luctuosa,Centroptilum luteolum,cf Serratella ignita,Chimarra cf marginata,Chironomus sp.,Chydorus sp.,Corynoneura sp.,Cricotopus sp.,Detritus,Diatoms,Filamentous algae,Fungi,Gobio lozanoi,Habrophlebia fusca,Hydracarina,Hydroptila sp.,Isoperla cf grammatica,Luciobarbus graellsii,Lumbriculidae,Naididae,Natrix maura,Nilotanypus sp.,Non-filamentous algae,Onychogomphus cf uncatus,Orthocladius sp.,Oulimnius rivularis,Oxygastra curtisii,Parachondrostoma miegii,Paracricotopus sp.,Parametriocnemus sp.,Paratanytarsus sp.,Paratrichocladius sp.,Pelophylax perezi,Potamopyrgus antipodarum,Prosimulium sp.,Psychodidae,Simulium erytrocephalum,Stenelmis consobrina,Synorthocladius sp.,Tinodes cf maculicornis,Tipulidae
Aeshna cf mixta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alona sp.,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ancylus fluviatilis,0,0.1,0.064,0,0,0,0,0.159,0.016,0.121,0,0.004,0,0.219,0.1,0.151,0.151,0,0,0,0,0,0,0,0,0.002,0,0.225,0.613,0,0,0,0,0.151,0.334,0,0,0.151,0.151,0.599,0.151,0,0,0.016,0.2,0.016,0,0.151,0,0
Animal detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993,0,0,0,0,0,0,0,0
Atherix ibis,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbus haasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bithynia tentaculata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachyptera cf arcuata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caenis luctuosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centroptilum luteolum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,0,0,0,0,0,0,0,0,0,0,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011
cf Serratella ignita,0,0.1,0.025,0,0,0,0.123,0.145,0.016,0.13,0.25,0.007,0.25,0,0.1,0.149,0.149,0,0,0,0,0,0.25,0,0.34,0.002,0.095,0.005,0.032,0,0,0,0,0.149,0,0,0.008,0.149,0.149,0.133,0.149,0,0.18,0.11,0.1,0.11,0,0.149,0.25,0.097
Chimarra cf marginata,0,0,0,0,0.5,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,0,0.25,0,0.079,0,0,0,0,0.5,0,0.056,0,0,0,0,0,0,0,0,0.007,0,0.001,0,0.001,0,0,0.1,0.003
Chironomus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chydorus sp.,0.984,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0.023,0,0,0,0,0,0,0.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynoneura sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cricotopus sp.,0,0.45,0.031,0,0,0,0.21,0.159,0.114,0.257,0.4,0.135,0.55,0.439,0.45,0.129,0.129,0,0,0,0,0,0.25,0,0.33,0.023,0.526,0.315,0.016,0,0,0,0,0.129,0.333,0,0.065,0.129,0.129,0,0.129,0,0.67,0.222,0.2,0.222,0.2,0.129,0.2,0.194
Detritus,0,0.1,0.103,0,0,0,0.333,0,0.472,0.078,0.1,0.033,0,0.001,0.1,0.001,0.366,0,0,0,0,0.119,0.25,0.25,0,0.023,0.151,0.315,0.228,0,0,0,0.218,0.366,0,0,0.041,0.366,0.366,0.091,0.366,0,0,0.575,0,0.575,0,0.366,0,0
Diatoms,0,0,0.464,0,0,0,0.091,0,0,0.098,0,0.033,0,0.107,0,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011
Filamentous algae,0,0,0.103,0,0,0,0.001,0,0,0.02,0,0.066,0,0.107,0,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gobio lozanoi,0,0,0.004,0,0,0,0.064,0,0,0.121,0,0.013,0,0,0,0.061,0.061,0,0,0,0,0,0,0,0,0,0.008,0.135,0.002,0,0,0,0,0.061,0,0,0.013,0.061,0.061,0,0.061,0,0,0.03,0,0.03,0,0.061,0,0
Habrophlebia fusca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydracarina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydroptila sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isoperla cf grammatica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luciobarbus graellsii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lumbriculidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naididae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
