,Anabolia furcata/nervosa,Ancylus fluviatilis,Baetis sp.,Biofilm,BOM,Calopteryx splendens,Chelicorophium curvispinum,Chironominae Gen. sp.,Cloeon dipterum,Coenagrion sp.,Dikerogammarus villosus,Erpobdella octoculata,Heptagenia sulphurea,Hydropsyche bulgaromanorum,Hydropsyche contubernalis,Jaera istri,Oligochaeta Gen. sp.,Ophiogomphus cecilia,Orthocladiinae Gen. sp.,Physidae Gen. sp.,Phytoplankton,Potamanthus luteus,Potamopyrgus antipodarum,Radix balthica,Simuliidae Gen. sp.,Sphaerium corneum,Tanypodinae Gen. sp.,t-POM
Anabolia furcata/nervosa,,,,,,,,,,0.011866667,,,,,,,,,,,,,,,,,0.038666667,
Ancylus fluviatilis,,,,,,,,,,,0.030333333,0.144866667,,,,,,,,,,,,,,,,
Baetis sp.,,,,,,,,,,0.086433333,,,,,,,,,,,,,,,,,0.032733333,
Biofilm,0.074866667,0.017766667,0.0731,,,,0.052633333,0.236533333,0.2496,,0.355366667,,0.2419,0.006,0.033633333,0.043266667,0.0567,,0.321233333,0.232633333,,0.0935,0.249333333,0.371533333,0.048233333,0.121033333,,
BOM,0.210166667,0.073633333,0.0585,,,,0.073366667,0.609566667,0.159833333,,0.459633333,,0.170166667,0.0167,0.067066667,0.265433333,0.250366667,,0.2718,0.0361,,0.153133333,0.293533333,0.451666667,0.034233333,0.028366667,,
Calopteryx splendens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelicorophium curvispinum,,,,,,,,,,0.086433333,,,,,,,,,,,,,,,,,0.032733333,
Chironominae Gen. sp.,,,,,,0.112166667,,,,0.025666667,0.0965,,,,,,,0.084133333,,,,,,,,,0.0952,
Cloeon dipterum,,,,,,0.0586,,,,0.109366667,0.004033333,,,,,,,,,,,,,,,,0.012566667,
Coenagrion sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dikerogammarus villosus,,,,,,0.067966667,,,,0.010433333,0.353233333,0.128433333,,,,,,,,,,,,,,,,
Erpobdella octoculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heptagenia sulphurea,,,,,,0.145933333,,,,0.115833333,0.140733333,0.060066667,,,,,,,,,,,,,,,,
Hydropsyche bulgaromanorum,,,,,,0.016266667,,,,0.086433333,0.013933333,,,,,,,,,,,,,,,,,
Hydropsyche contubernalis,,,,,,,,,,0.024566667,0.008966667,,,,,,,,,,,,,,,,0.020333333,
Jaera istri,,,,,,,,,,0.0197,,,,,,,,,,,,,,,,,0.019633333,
Oligochaeta Gen. sp.,,,,,,,,,,0.015833333,,,,,,,,,,,,,,,,,0.044533333,
Ophiogomphus cecilia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orthocladiinae Gen. sp.,,,,,,,,,,0.009066667,0.0886,,,,,,,0.1391,,,,,,,,,0.171866667,
Physidae Gen. sp.,,,,,,0.0539,,,,0.062733333,0.260633333,,,,,,,,,,,,,,,,,
Phytoplankton,0.039,0.0601,0.116833333,,,,0.022766667,0.093566667,0.166333333,,0.0738,,0.0969,0.241466667,0.0096,0.009066667,0.0146,,0.049366667,0.039366667,,0.024233333,0.067266667,0.0759,0.178033333,0.147033333,,
Potamanthus luteus,,,,,,0.116233333,,,,0.0317,0.1148,,,,,,,,,,,,,,,,0.0112,
Potamopyrgus antipodarum,,,,,,0.0539,,,,0.082933333,0.260633333,,,,,,,,,,,,,,,,0.0236,
Radix balthica,,,,,,0.05,,,,0.0803,0.3093,,,,,,,,,,,,,,,,0.041166667,
Simuliidae Gen. sp.,,,,,,,,,,0.022766667,0.0171,,,,,,,,,,,,,,,,0.009766667,
Sphaerium corneum,,,,,,0.052566667,,,,0.052566667,0.002933333,,,,,,,,,,,,,,,,,
Tanypodinae Gen. sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-POM,0.0047,0.176866667,0.078866667,,,,0.179133333,0.0461,0.079166667,,0.094966667,,0.1456,0.064766667,0.2179,0.0111,0.007066667,,0.014133333,0.019,,0.056833333,0.0453,0.0849,0.0669,0.030733333,,
